  Time           eno3       
HH:MM:SS   KB/s-in  KB/s-out
09:11:20  12669.17      0.00
09:11:25  28143.37      0.00
09:11:30  15534.90      0.00
09:11:35  20500.37      0.00
09:11:40  18430.54      0.00
09:11:45  15443.70      0.00
09:11:50   6088.98      0.00
09:11:55  10206.77      0.00
09:12:00  10607.97      0.00
09:12:05  12004.81      0.00
09:12:10  16774.31      0.00
09:12:16  20652.06      0.00
09:12:21  12987.65      0.00
09:12:26  19853.56      0.00
09:12:31  17007.50      0.00
09:12:36  18631.40      0.00
09:12:41  16469.91      0.00
09:12:46  17430.67      0.00
09:12:51  14875.84      0.00
09:12:56  17890.61      0.00
09:13:01  14051.52      0.00
09:13:06  14419.07      0.00
09:13:11  13354.37      0.00
09:13:16  17114.89      0.00
09:13:21  29583.44      0.00
09:13:26  21836.97      0.00
09:13:31  20055.26      0.00
09:13:36  10636.44      0.00
09:13:41   8384.85      0.00
09:13:46  10485.13      0.00
09:13:51   7957.21      0.00
09:13:56  10820.11      0.00
09:14:01  23476.85      0.00
09:14:06  33485.32      0.00
09:14:11   6281.22      0.00
09:14:16   5801.37      0.00
09:14:21   5900.15      0.00
09:14:26   5563.92      0.00
09:14:31   5028.39      0.00
09:14:36   5201.98      0.00
09:14:41   5527.40      0.00
09:14:46   5083.67      0.00
09:14:51   5572.47      0.00
09:14:56  12138.12      0.00
09:15:01   7980.10      0.00
09:15:06  15418.27      0.00
09:15:11   7557.80      0.00
09:15:16   7572.62      0.00
09:15:21   6477.91      0.00
09:15:26   7839.12      0.00
09:15:31   7441.60      0.00
09:15:36   6736.88      0.00
09:15:41   5827.45      0.00
09:15:46   5344.15      0.00
09:15:51   2987.70      0.00
09:15:56   4473.47      0.00
09:16:01  10211.11      0.00
09:16:06  21150.06      0.00
09:16:11  58542.40      0.00
09:16:16  59670.75      0.00
09:16:21  60250.83      0.00
09:16:26  60403.58      0.00
09:16:31  58919.73      0.00
09:16:36  60679.83      0.00
09:16:41  59843.78      0.00
09:16:46  87408.51      0.00
09:16:51  119134.6      0.00
09:16:56  64180.48      0.00
09:17:01  64853.57      0.00
09:17:06  62961.10      0.00
09:17:11  62334.39      0.00
09:17:16  64721.87      0.00
09:17:21  61139.26      0.00
09:17:26  64496.49      0.00
09:17:31  64201.16      0.00
09:17:36  63906.06      0.00
09:17:41  62111.77      0.00
09:17:46  26163.61      0.00
09:17:51   5021.27      0.00
09:17:56   3941.07      0.00
09:18:01   3498.45      0.00
09:18:06   3634.37      0.00
09:18:11   4262.35      0.00
09:18:16   4025.41      0.00
09:18:21   4015.47      0.00
09:18:26   3897.91      0.00
09:18:31   4160.57      0.00
09:18:36  11495.98      0.00
09:18:41   4909.11      0.00
09:18:46   6129.68      0.00
09:18:51   7001.87      0.00
09:18:56   6354.83      0.00
09:19:01   7988.72      0.00
09:19:06   8717.93      0.00
09:19:11   8654.87      0.00
09:19:16  10956.76      0.00
09:19:21   9610.69      0.00
09:19:26   9727.61      0.00
09:19:31  10138.28      0.00
09:19:36   8226.68      0.00
09:19:41   8452.99      0.00
09:19:46  14897.99      0.00
09:19:51   7339.31      0.00
09:19:56   7494.39      0.00
09:20:01   4012.65      0.00
09:20:06   4428.60      0.00
09:20:11   2703.47      0.00
09:20:16   3676.12      0.00
09:20:21   3472.45      0.00
09:20:26   3523.46      0.00
09:20:31  14862.50      0.00
09:20:36   7700.49      0.00
09:20:41   3718.68      0.00
09:20:46  18364.02      0.00
09:20:51  10449.63      0.00
09:20:56  23040.67      0.00
09:21:01  23772.16      0.00
09:21:06  11088.16      0.00
09:21:11  10550.48      0.00
09:21:16   7282.34      0.00
09:21:21   8428.76      0.00
09:21:26   8237.83      0.00
09:21:31   9310.30      0.00
09:21:36   7591.64      0.00
09:21:41   6680.30      0.00
09:21:46   5983.53      0.00
09:21:51   4587.04      0.00
09:21:56   2782.94      0.00
09:22:01   2955.86      0.00
09:22:06   4331.46      0.00
09:22:11   3702.35      0.00
09:22:16  20351.87      0.00
09:22:21  18610.51      0.00
09:22:26  15981.32      0.00
09:22:31   2991.37      0.00
09:22:36  16711.23      0.00
09:22:41  15179.29      0.00
09:22:46  17171.59      0.00
09:22:51  18806.99      0.00
09:22:56  18216.79      0.00
09:23:01  21887.83      0.00
09:23:06  21498.85      0.00
09:23:11  20193.67      0.00
09:23:16  20409.43      0.00
09:23:21  21001.06      0.00
09:23:26  20248.97      0.00
09:23:31  20421.32      0.00
09:23:36  23891.20      0.00
09:23:41  20614.96      0.00
09:23:46  19224.06      0.00
09:23:51  18019.02      0.00
09:23:56  17182.28      0.00
09:24:01  15590.22      0.00
09:24:06  16015.51      0.00
09:24:11  15434.65      0.00
09:24:16  16812.39      0.00
09:24:21  107209.9      0.00
09:24:26  116899.7      0.00
09:24:31  106890.1      0.00
09:24:36  119206.1      0.00
09:24:41  45518.50      0.00
09:24:46  19253.69      0.00
09:24:51  18097.99      0.00
09:24:56  18951.45      0.00
09:25:01  20952.78      0.00
09:25:06  19599.10      0.00
09:25:11  18597.89      0.00
09:25:16  24295.11      0.00
09:25:21  19185.01      0.00
09:25:26  19025.79      0.00
09:25:31  12377.36      0.00
09:25:36  10330.23      0.00
09:25:41   7765.07      0.00
09:25:46  10378.20      0.00
09:25:51  64206.69      0.00
09:25:56  108770.9      0.00
09:26:01  101070.9      0.00
09:26:06  122276.2      0.00
09:26:11  68765.29      0.00
09:26:16  17901.85      0.00
09:26:21  16686.52      0.00
09:26:26  15708.18      0.00
09:26:31  16626.84      0.00
09:26:36  18306.20      0.00
09:26:41  15466.76      0.00
09:26:46  22283.09      0.00
09:26:51  17767.73      0.00
09:26:56  17081.00      0.00
09:27:01  20816.89      0.00
09:27:06  29802.50      0.00
09:27:11  108509.1      0.00
09:27:16  93059.90      0.00
09:27:21  104611.9      0.00
09:27:26  105098.1      0.00
09:27:31  21404.84      0.00
09:27:36  20660.22      0.00
09:27:41  20228.74      0.00
09:27:46  15538.63      0.00
09:27:51  19823.31      0.00
09:27:56  14874.54      0.00
09:28:01  18369.19      0.00
09:28:06  14409.77      0.00
09:28:11  45019.40      0.00
09:28:16  18788.53      0.00
09:28:21  16277.09      0.00
09:28:27  16742.08      0.00
09:28:32  21467.01      0.00
09:28:37  18771.85      0.00
09:28:42  14612.81      0.00
09:28:47  18907.58      0.00
09:28:52  20266.52      0.00
09:28:57  17793.02      0.00
09:29:02  21321.11      0.00
09:29:07  22583.36      0.00
09:29:12  19953.61      0.00
09:29:17  11892.63      0.00
09:29:22  23897.81      0.00
09:29:27  25789.73      0.00
09:29:32  25446.58      0.00
09:29:37  24296.54      0.00
09:29:42  20601.06      0.00
09:29:47  19469.00      0.00
09:29:52  18620.62      0.00
09:29:57  18555.18      0.00
09:30:02  16074.60      0.00
09:30:07  15400.24      0.00
09:30:12  17851.08      0.00
09:30:17  17299.57      0.00
09:30:22  14009.00      0.00
09:30:27  16772.86      0.00
09:30:32  17270.75      0.00
09:30:37  16504.95      0.00
09:30:42  15393.60      0.00
09:30:47  16899.95      0.00
09:30:52  17016.94      0.00
09:30:57  20621.10      0.00
09:31:02  30042.51      0.00
09:31:07  20167.61      0.00
09:31:12  23327.68      0.00
09:31:17  19830.26      0.00
09:31:22  25315.75      0.00
09:31:27  72233.64      0.00
09:31:32  125580.6      0.00
09:31:37  114921.2      0.00
09:31:42  125026.1      0.00
09:31:47  89997.81      0.00
09:31:52  22563.47      0.00
09:31:57  18047.49      0.00
09:32:02  17565.88      0.00
09:32:07  15710.72      0.00
09:32:12  45071.01      0.00
09:32:17  120919.9      0.00
09:32:22  106836.7      0.00
09:32:27  122806.3      0.00
09:32:32  98136.39      0.00
09:32:37  15256.13      0.00
09:32:42  14809.98      0.00
09:32:47  16362.51      0.00
09:32:52  18559.60      0.00
09:32:57  22147.86      0.00
09:33:02  19831.83      0.00
09:33:07  20879.81      0.00
09:33:12  17582.33      0.00
09:33:17  19758.99      0.00
09:33:22  19970.33      0.00
09:33:27  18259.99      0.00
09:33:32  19878.53      0.00
09:33:37  20173.87      0.00
09:33:42  18398.76      0.00
09:33:47  16897.88      0.00
09:33:52  23316.70      0.00
09:33:57  16190.32      0.00
09:34:02  15365.30      0.00
09:34:07  16724.17      0.00
09:34:12  11740.78      0.00
09:34:17  15096.97      0.00
09:34:22  15574.18      0.00
09:34:27  17167.49      0.00
09:34:32  19847.41      0.00
09:34:37  22311.54      0.00
09:34:42  21762.22      0.00
09:34:47  20974.38      0.00
09:34:52  20870.70      0.00
09:34:57  22800.19      0.00
09:35:02  21447.75      0.00
09:35:07  22268.79      0.00
09:35:12  22269.57      0.00
09:35:17  22484.47      0.00
09:35:22  44262.84      0.00
09:35:27  21846.64      0.00
09:35:32  27964.87      0.00
09:35:37  20769.22      0.00
09:35:42  26342.58      0.00
09:35:47  21069.34      0.00
09:35:52  21285.37      0.00
09:35:57  15846.09      0.00
09:36:02  18216.62      0.00
09:36:07  16886.93      0.00
09:36:12  18841.02      0.00
09:36:17  17488.12      0.00
09:36:22  18103.08      0.00
09:36:27  18581.83      0.00
09:36:32  20678.54      0.00
09:36:37  17905.04      0.00
09:36:42  16933.56      0.00
09:36:47  18803.97      0.00
09:36:52  17940.94      0.00
09:36:57  18407.09      0.00
09:37:02  19139.05      0.00
09:37:07  19834.52      0.00
09:37:12  19452.62      0.00
09:37:17  19571.07      0.00
09:37:22  18430.86      0.00
09:37:27  20751.85      0.00
09:37:32  20204.63      0.00
09:37:37  18814.48      0.00
09:37:42  22979.77      0.00
09:37:47  19393.67      0.00
09:37:52  32774.89      0.00
09:37:57  15738.72      0.00
09:38:02  20136.21      0.00
09:38:07  20247.63      0.00
09:38:12  16930.24      0.00
09:38:17  15548.20      0.00
09:38:22  16680.07      0.00
09:38:27  22210.04      0.00
09:38:32  16363.25      0.00
09:38:37  16131.81      0.00
09:38:42  15672.57      0.00
09:38:47  17976.29      0.00
09:38:52  16801.99      0.00
09:38:57  21189.82      0.00
09:39:02  18196.22      0.00
09:39:07  20813.36      0.00
09:39:12  18613.82      0.00
09:39:17  34287.50      0.00
09:39:22  17731.42      0.00
09:39:27  23916.76      0.00
09:39:32  19659.79      0.00
09:39:37  21487.40      0.00
09:39:42  20796.61      0.00
09:39:47  22938.00      0.00
09:39:52  24566.65      0.00
09:39:57  25913.75      0.00
09:40:02  21467.04      0.00
09:40:07  20172.29      0.00
09:40:12  21151.91      0.00
09:40:17  19238.07      0.00
09:40:22  18083.43      0.00
09:40:27  17282.75      0.00
09:40:32  15540.64      0.00
09:40:37  17348.95      0.00
09:40:42  20995.30      0.00
09:40:47  20043.82      0.00
09:40:52  20053.75      0.00
09:40:57  18813.43      0.00
09:41:02  22157.44      0.00
09:41:07  19903.25      0.00
09:41:12  18836.34      0.00
09:41:17  17917.56      0.00
09:41:22  17231.87      0.00
09:41:27  36284.75      0.00
09:41:32  23209.57      0.00
09:41:37  17718.25      0.00
09:41:42  16288.54      0.00
09:41:47  17981.87      0.00
09:41:52  16485.58      0.00
09:41:57  15565.41      0.00
09:42:02  20785.15      0.00
09:42:07  25616.94      0.00
09:42:12   6268.39      0.00
09:42:17   4199.53      0.00
09:42:22   3271.36      0.00
09:42:27   3424.17      0.00
09:42:32   5072.90      0.00
09:42:37   4693.24      0.00
09:42:42   8628.13      0.00
09:42:47   5009.65      0.00
09:42:52   6748.56      0.00
09:42:57   7722.53      0.00
09:43:02   6403.90      0.00
09:43:07   5899.34      0.00
09:43:12   8880.62      0.00
09:43:17   5210.61      0.00
09:43:22  10532.86      0.00
09:43:27   7886.71      0.00
09:43:32   4793.89      0.00
09:43:37   5530.82      0.00
09:43:42   2402.74      0.00
09:43:47   3829.09      0.00
09:43:52   3150.43      0.00
09:43:57   3682.17      0.00
09:44:02   3336.81      0.00
09:44:07   3391.36      0.00
09:44:12   3976.43      0.00
09:44:17   4326.33      0.00
09:44:22   3657.00      0.00
09:44:27   5130.62      0.00
09:44:33  39924.84      0.00
09:44:38  42050.60      0.00
09:44:43  73524.53      0.00
09:44:48   5853.36      0.00
09:44:53   6516.34      0.00
09:44:58   7188.79      0.00
09:45:03  12816.99      0.00
09:45:08   7790.56      0.00
09:45:13   6088.15      0.00
09:45:18   3683.68      0.00
09:45:23   4790.92      0.00
09:45:28   9600.64      0.00
09:45:33   8883.62      0.00
09:45:38   5390.45      0.00
09:45:43   4747.05      0.00
09:45:48   6258.43      0.00
09:45:53   3742.67      0.00
09:45:58  11142.17      0.00
09:46:03   4117.31      0.00
09:46:08   3648.43      0.00
09:46:13   4773.34      0.00
09:46:18   3961.98      0.00
09:46:23   3602.65      0.00
09:46:28  30644.61      0.00
09:46:33  113143.4      0.00
09:46:38  100067.8      0.00
09:46:43  112883.8      0.00
09:46:48  96742.39      0.00
09:46:53   5573.13      0.00
09:46:58   8279.52      0.00
09:47:03   4599.22      0.00
09:47:08   5635.11      0.00
09:47:13   4705.43      0.00
09:47:18   7308.30      0.00
09:47:23   4439.18      0.00
09:47:28   2751.72      0.00
09:47:33   3561.11      0.00
09:47:38   4485.80      0.00
09:47:43   5655.27      0.00
09:47:48   3422.77      0.00
09:47:53   5180.59      0.00
09:47:58   4717.84      0.00
09:48:03   3529.48      0.00
09:48:08   3342.06      0.00
09:48:13   3530.64      0.00
09:48:18   4474.96      0.00
09:48:23   4150.85      0.00
09:48:28   2810.94      0.00
09:48:33   3768.53      0.00
09:48:38  12911.54      0.00
09:48:43  15915.83      0.00
09:48:48   4911.97      0.00
09:48:53   3772.44      0.00
09:48:58   5048.51      0.00
09:49:03   6110.54      0.00
09:49:08   3280.03      0.00
09:49:13   3187.42      0.00
09:49:18   3480.77      0.00
09:49:23   2909.90      0.00
09:49:28   4125.40      0.00
09:49:33   4336.65      0.00
09:49:38   3792.27      0.00
09:49:43   5865.49      0.00
09:49:48   8212.23      0.00
09:49:53   6018.47      0.00
09:49:58   4387.87      0.00
09:50:03   3770.74      0.00
09:50:08   3617.23      0.00
09:50:13   3474.50      0.00
09:50:18   3329.97      0.00
09:50:23   2711.22      0.00
09:50:28   2938.41      0.00
09:50:33   2968.00      0.00
09:50:38   2477.16      0.00
09:50:43   2262.92      0.00
09:50:48   3797.37      0.00
09:50:53   3592.33      0.00
09:50:58   2530.57      0.00
09:51:03   4126.22      0.00
09:51:08   4929.42      0.00
09:51:13   4552.01      0.00
09:51:18   3854.92      0.00
09:51:23   4252.00      0.00
09:51:28   5623.18      0.00
09:51:33   2579.79      0.00
09:51:38   3939.34      0.00
09:51:43   4594.57      0.00
09:51:48  18894.10      0.00
09:51:53   5245.62      0.00
09:51:58   3299.18      0.00
09:52:03   4051.21      0.00
09:52:08   3411.68      0.00
09:52:13   3598.52      0.00
09:52:18   4121.45      0.00
09:52:23   4210.51      0.00
09:52:28   4077.29      0.00
09:52:33   3018.29      0.00
09:52:38   3876.09      0.00
09:52:43   4165.93      0.00
09:52:48   4261.06      0.00
09:52:53  10751.13      0.00
09:52:58  19086.20      0.00
09:53:03  16857.00      0.00
09:53:08  18956.25      0.00
09:53:13  17774.22      0.00
09:53:18  12496.41      0.00
09:53:23   4335.79      0.00
09:53:28   3105.91      0.00
09:53:33   3822.89      0.00
09:53:38   2260.19      0.00
09:53:43   2475.18      0.00
09:53:48   3410.45      0.00
09:53:53   2763.93      0.00
09:53:58   4367.61      0.00
09:54:03   5901.51      0.00
09:54:08   4718.81      0.00
09:54:13   4022.55      0.00
09:54:18  11036.40      0.00
09:54:23   5271.95      0.00
09:54:28   2712.05      0.00
09:54:33   8790.82      0.00
09:54:38   7100.90      0.00
09:54:43   5485.22      0.00
09:54:48   8023.97      0.00
09:54:53   6018.72      0.00
09:54:58   4216.85      0.00
09:55:03  15492.21      0.00
09:55:08   3969.47      0.00
09:55:13   3426.08      0.00
09:55:18   4064.17      0.00
09:55:23   4002.89      0.00
09:55:28   2938.21      0.00
09:55:33   2885.15      0.00
09:55:38   3399.51      0.00
09:55:43  21921.02      0.00
09:55:48   3345.80      0.00
09:55:53   3828.22      0.00
09:55:58  11011.64      0.00
09:56:03  115617.7      0.00
09:56:08  104384.0      0.00
09:56:13  106163.4      0.00
09:56:18  117225.2      0.00
09:56:23  14589.63      0.00
09:56:28  41531.74      0.00
09:56:33   7834.18      0.00
09:56:38   4662.66      0.00
09:56:43   2844.18      0.00
09:56:48   2416.53      0.00
09:56:53   2737.49      0.00
09:56:58   4357.03      0.00
09:57:03   4897.66      0.00
09:57:08  23887.96      0.00
09:57:13   3284.07      0.00
09:57:18   6432.48      0.00
09:57:23   5054.49      0.00
09:57:28   3736.82      0.00
09:57:33   3241.14      0.00
09:57:38   3522.86      0.00
09:57:43   5166.64      0.00
09:57:48   4976.81      0.00
09:57:53   3082.33      0.00
09:57:58  16320.60      0.00
09:58:03   3867.34      0.00
09:58:08   3689.92      0.00
09:58:13   3953.12      0.00
09:58:18   5475.34      0.00
09:58:23   4079.49      0.00
09:58:28   3021.00      0.00
09:58:33   4386.03      0.00
09:58:38   3858.95      0.00
09:58:43   3651.97      0.00
09:58:48   4241.36      0.00
09:58:53   4761.03      0.00
09:58:58   3893.89      0.00
09:59:03   6089.39      0.00
09:59:08  13585.30      0.00
09:59:13   3904.03      0.00
09:59:18   4149.14      0.00
09:59:23   6987.42      0.00
09:59:28   3817.13      0.00
09:59:33   3845.10      0.00
09:59:38   4218.49      0.00
09:59:43   4144.36      0.00
09:59:48   2926.26      0.00
09:59:53   4619.46      0.00
09:59:58  16084.39      0.00
10:00:03   3835.57      0.00
10:00:08   4272.65      0.00
10:00:13   6150.76      0.00
10:00:18   5098.98      0.00
10:00:23   9569.56      0.00
10:00:28   4822.49      0.00
10:00:33   5615.33      0.00
10:00:38   7283.58      0.00
