Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.421875,[0],1,0,3,0
2,0.0,90.77734375,"[0, 31]",34,0,43,1
3,51.5,91.33984375,"[0, 31]",34,0,43,1
4,39.6,91.33984375,"[0, 31]",34,0,43,1
5,37.6,91.59375,"[0, 31]",34,0,43,1
6,82.2,91.8515625,"[0, 31]",34,0,43,1
7,89.1,92.3671875,"[0, 31]",34,0,43,1
8,96.0,92.62109375,"[0, 31]",34,0,43,1
9,103.0,93.24609375,"[0, 31]",34,0,43,1
10,99.0,93.328125,"[0, 31]",34,0,43,1
11,78.2,93.53515625,"[0, 31]",34,0,43,1
12,44.6,94.23828125,"[0, 31]",34,0,43,1
13,39.6,94.23828125,"[0, 31]",34,0,43,1
14,37.6,94.8203125,"[0, 31]",34,0,43,1
15,56.4,94.8203125,"[0, 31]",34,0,43,1
16,47.5,94.8203125,"[0, 31]",34,0,43,1
17,56.4,94.8203125,"[0, 31]",34,0,43,1
18,60.4,94.8203125,"[0, 31]",34,0,43,1
19,43.5,95.27734375,"[0, 31]",34,0,43,1
20,59.3,95.359375,"[0, 31]",34,0,43,1
21,47.5,95.48046875,"[0, 31]",34,0,43,1
22,42.5,96.03125,"[0, 31]",34,0,43,1
23,40.5,96.21875,"[0, 31]",34,0,43,1
24,40.5,97.12890625,"[0, 31]",34,0,43,1
25,48.5,97.83203125,"[0, 31]",34,0,43,1
26,58.4,98.0546875,"[0, 31]",34,0,43,1
27,48.5,98.53515625,"[0, 31]",34,0,43,1
28,52.4,98.7890625,"[0, 31]",34,0,43,1
29,44.5,98.7890625,"[0, 31]",34,0,43,1
30,23.7,98.7890625,"[0, 31]",34,0,43,1
31,17.8,98.7890625,"[0, 31]",34,0,43,1
32,14.8,98.94921875,"[0, 31]",34,0,43,1
33,10.9,99.09765625,"[0, 31]",34,0,43,1
34,12.9,99.10546875,"[0, 31]",34,0,43,1
35,21.8,99.10546875,"[0, 31]",34,0,43,1
36,19.8,99.12890625,"[0, 31]",34,0,43,1
37,18.8,99.2265625,"[0, 31]",34,0,43,1
38,18.8,99.234375,"[0, 31]",34,0,43,1
39,19.8,99.234375,"[0, 31]",34,0,43,1
40,23.7,99.234375,"[0, 31]",34,0,43,1
41,20.8,99.234375,"[0, 31]",34,0,43,1
42,19.8,99.2421875,"[0, 31]",34,0,43,1
43,26.7,99.24609375,"[0, 31]",34,0,43,1
44,22.8,99.24609375,"[0, 31]",34,0,43,1
45,26.7,99.2734375,"[0, 31]",34,0,43,1
46,27.7,99.83203125,"[0, 31]",34,0,43,1
47,31.7,99.875,"[0, 31]",34,0,43,1
48,33.6,100.1796875,"[0, 31]",34,0,43,1
49,25.7,100.20703125,"[0, 31]",34,0,43,1
50,33.6,100.875,"[0, 31]",34,0,43,1
51,28.7,100.875,"[0, 31]",34,0,43,1
52,26.7,101.44140625,"[0, 31]",34,0,43,1
53,27.7,102.203125,"[0, 31]",34,0,43,1
54,34.6,103.05859375,"[0, 31]",34,0,43,1
55,37.6,103.828125,"[0, 31]",34,0,43,1
56,37.6,104.2890625,"[0, 31]",34,0,43,1
57,36.6,104.2890625,"[0, 31]",34,0,43,1
58,36.6,105.06640625,"[0, 31]",34,0,43,1
59,29.7,105.32421875,"[0, 31]",34,0,43,1
60,20.8,105.56640625,"[0, 31]",34,0,43,1
61,19.8,105.80078125,"[0, 31]",34,0,43,1
62,26.7,105.80078125,"[0, 31]",34,0,43,1
63,30.7,105.80078125,"[0, 31]",34,0,43,1
64,23.7,105.80078125,"[0, 31]",34,0,43,1
65,29.7,105.80078125,"[0, 31]",34,0,43,1
66,35.6,105.9765625,"[0, 31]",34,0,43,1
67,34.6,105.9765625,"[0, 31]",34,0,43,1
