Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label,label,category,subcategory,scenario
192.168.249.73-192.168.19.166-0-0-1,192.168.249.73,0,192.168.19.166,0,1,2025-03-11 15:16:17.941317,6951628,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7192559785995453,1737907.0,3475621.333715551,6951339.0,55.0,6951628.0,3475814.0,4915212.373112681,6951394.0,234.0,224.0,224.0,0.0,224.0,224.0,0,0,0,0,0,0,0,0,0.4315535871597272,0.28770239143981813,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0,0,0,0,0,0,289.0,0.0,289.0,289.0,6951339.0,0.0,6951339.0,6951339.0,0,8,0,0,0,0,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-0-0-1,192.168.19.166,0,192.168.249.73,0,1,2025-03-11 15:16:24.892983,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-0-0-1,192.168.249.73,0,192.168.19.166,0,1,2025-03-11 15:16:24.918052,24,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83333.33333333333,24.0,0.0,24.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41666.666666666664,41666.666666666664,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40631-80-6,192.168.249.73,40631,192.168.19.166,80,6,2025-03-11 15:16:24.367473,498,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6024.096385542169,249.0,265.87214972614186,437.0,61.0,498.0,498.0,0.0,498.0,498.0,0,0,0,0,0,0,0,0,0,1,0,60,40,4016.064257028113,2008.0321285140565,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,498,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40632-80-6,192.168.249.73,40632,192.168.19.166,80,6,2025-03-11 15:16:24.467530,584,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5136.986301369863,292.0,289.9137802864845,497.0,87.0,584.0,584.0,0.0,584.0,584.0,0,0,0,0,0,0,0,0,0,1,0,60,40,3424.6575342465753,1712.3287671232877,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,584,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40633-80-6,192.168.249.73,40633,192.168.19.166,80,6,2025-03-11 15:16:24.567548,398,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7537.688442211055,199.0,216.37467504308356,352.0,46.0,398.0,398.0,0.0,398.0,398.0,0,0,0,0,0,0,0,0,0,1,0,60,40,5025.125628140703,2512.5628140703516,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,398,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40634-80-6,192.168.249.73,40634,192.168.19.166,80,6,2025-03-11 15:16:24.667728,466,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6437.768240343347,233.0,230.5168106668145,396.0,70.0,466.0,466.0,0.0,466.0,466.0,0,0,0,0,0,0,0,0,0,1,0,56,40,4291.845493562232,2145.922746781116,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,466,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40635-80-6,192.168.249.73,40635,192.168.19.166,80,6,2025-03-11 15:16:24.767716,420,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7142.857142857142,210.0,233.3452377915607,375.0,45.0,420.0,420.0,0.0,420.0,420.0,0,0,0,0,0,0,0,0,0,1,0,60,40,4761.9047619047615,2380.9523809523807,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,420,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-40636-80-6,192.168.249.73,40636,192.168.19.166,80,6,2025-03-11 15:16:24.867802,404,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7425.742574257426,202.0,217.78888860545663,356.0,48.0,404.0,404.0,0.0,404.0,404.0,0,0,0,0,0,0,0,0,0,1,0,56,36,4950.495049504951,2475.2475247524753,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,64260,0,0,20,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,404,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
192.168.249.73-192.168.19.166-0-0-1,192.168.19.166,0,192.168.249.73,0,1,2025-03-11 15:16:24.943241,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,NeedManualLabel,1,port-scan,nmap,nmap_A_T4
