Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,subcategory,scenario,label,category
192.168.249.73:44653-192.168.19.166:80-6,192.168.249.73,44653,192.168.19.166,80,6,2025-03-11 15:16:17.941513 UTC,83,1,1,0,0,0,0,0,0,0,0,0,0,963855.421686747,24096.385542168675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,20,12048.192771084337,12048.192771084337,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,20,20,0.083,0,0.083,0.083,0,0,0,0,-1,-1,0,0,0,83,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:23-6,192.168.249.73,44909,192.168.19.166,23,6,2025-03-11 15:16:18.027326 UTC,73,1,1,0,0,0,0,0,0,0,0,0,0,1150684.9315068494,27397.260273972603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,13698.630136986301,13698.630136986301,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.073,0,0.073,0.073,0,0,0,0,-1,-1,0,0,0,73,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:139-6,192.168.249.73,44909,192.168.19.166,139,6,2025-03-11 15:16:18.027336 UTC,71,1,1,0,0,0,0,0,0,0,0,0,0,1183098.5915492957,28169.014084507042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,14084.507042253521,14084.507042253521,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.071,0,0.071,0.071,0,0,0,0,-1,-1,0,0,0,71,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:110-6,192.168.249.73,44909,192.168.19.166,110,6,2025-03-11 15:16:18.027560 UTC,70,1,1,0,0,0,0,0,0,0,0,0,0,1200000,28571.428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,14285.714285714286,14285.714285714286,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.07,0,0.07,0.07,0,0,0,0,-1,-1,0,0,0,70,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:113-6,192.168.249.73,44909,192.168.19.166,113,6,2025-03-11 15:16:18.027581 UTC,66,1,1,0,0,0,0,0,0,0,0,0,0,1272727.2727272727,30303.0303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,15151.51515151515,15151.51515151515,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.066,0,0.066,0.066,0,0,0,0,-1,-1,0,0,0,66,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:1009-6,192.168.249.73,44909,192.168.19.166,1009,6,2025-03-11 15:16:18.027822 UTC,44,1,1,0,0,0,0,0,0,0,0,0,0,1909090.9090909092,45454.545454545456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,22727.272727272728,22727.272727272728,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.044,0,0.044,0.044,0,0,0,0,-1,-1,0,0,0,44,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:27000-6,192.168.249.73,44909,192.168.19.166,27000,6,2025-03-11 15:16:18.028326 UTC,17,1,1,0,0,0,0,0,0,0,0,0,0,4941176.470588235,117647.05882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,58823.529411764706,58823.529411764706,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.017,0,0.017,0.017,0,0,0,0,-1,-1,0,0,0,17,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:1152-6,192.168.249.73,44909,192.168.19.166,1152,6,2025-03-11 15:16:18.028515 UTC,26,1,1,0,0,0,0,0,0,0,0,0,0,3230769.230769231,76923.07692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,38461.53846153846,38461.53846153846,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.026,0,0.026,0.026,0,0,0,0,-1,-1,0,0,0,26,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:1213-6,192.168.249.73,44909,192.168.19.166,1213,6,2025-03-11 15:16:18.028774 UTC,49,1,1,0,0,0,0,0,0,0,0,0,0,1714285.7142857143,40816.32653061225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,20408.163265306124,20408.163265306124,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.049,0,0.049,0.049,0,0,0,0,-1,-1,0,0,0,49,nmap,nmap_A_T4,1,port-scan
192.168.249.73:44909-192.168.19.166:49154-6,192.168.249.73,44909,192.168.19.166,49154,6,2025-03-11 15:16:18.029053 UTC,43,1,1,0,0,0,0,0,0,0,0,0,0,1953488.3720930233,46511.62790697674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,20,23255.81395348837,23255.81395348837,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,0,0,0,24,20,0.043,0,0.043,0.043,0,0,0,0,-1,-1,0,0,0,43,nmap,nmap_A_T4,1,port-scan
