Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label,label,category,subcategory,scenario
192.168.19.139-192.168.249.84-34088-22-6,192.168.19.139,34088,192.168.249.84,22,6,2025-03-11 15:17:01.359175,10655450,23,34,1928.0,2745.0,640.0,0.0,83.82608695652175,135.8473917084612,976.0,0.0,80.73529411764709,214.44322676283426,438.55491790586035,5.349375202361233,190275.89285714287,535156.1761294014,2141217.0,8.0,1.0655421E7,484337.31818181823,802745.5715417223,2182654.0,350.0,1.0655354E7,322889.51515151514,669569.3593789464,2141217.0,43.0,16,15,0,0,0,0,744,1096,2.1585198184966377,3.190855383864595,0.0,976.0,81.98245614035086,185.34066040942693,34351.16040100251,2,2,0,31,56,0,0,0,1.4782608695652173,81.98245614035088,83.82608695652173,80.73529411764706,0.0,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,321.3333333333333,5.666666666666667,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,10655450,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-34130-22-6,192.168.19.139,34130,192.168.249.84,22,6,2025-03-11 15:17:01.400558,10731720,22,32,1912.0,2745.0,640.0,0.0,86.9090909090909,137.6880217810952,976.0,0.0,85.78125,220.24059195973427,433.94721442601934,5.031812235130995,202485.28301886795,550771.5455086052,1947339.0,16.0,1.0731597E7,511028.4285714286,817691.8983772905,1988317.0,336.0,1.0731696E7,346183.7419354838,688888.2277167547,1947339.0,69.0,16,15,0,0,0,0,712,1032,2.0499975772755907,2.9818146578554043,0.0,976.0,86.24074074074075,189.42902640494134,35883.356044723965,2,2,0,31,53,0,0,0,1.4545454545454546,86.24074074074075,86.9090909090909,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,10731720,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-59874-22-6,192.168.19.139,59874,192.168.249.84,22,6,2025-03-11 15:23:42.105859,11019961,20,32,1912.0,2745.0,640.0,0.0,95.60000000000001,141.70035100056813,976.0,0.0,85.78125,220.24059195973427,422.59677688514506,4.718709984545317,216077.66666666666,578321.8014031174,1996761.0,15.0,1.101992E7,579995.7894736842,872095.4243207423,2039014.0,351.0,1.1019926E7,355481.48387096776,711539.2890412479,1996761.0,74.0,16,15,0,0,0,0,648,1032,1.8148884555943527,2.9038215289509646,0.0,976.0,89.55769230769228,192.32177014836748,36987.66327300149,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,11019961,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-41046-22-6,192.168.19.139,41046,192.168.249.84,22,6,2025-03-11 15:16:50.939939,10257274,23,34,1928.0,2745.0,640.0,0.0,83.82608695652175,135.84739170846123,976.0,0.0,80.73529411764709,214.44322676283426,455.5791334032804,5.557032014548894,183165.60714285713,510801.77984105377,2096272.0,8.0,1.0257255E7,466238.8636363636,767694.8932905011,2142420.0,290.0,1.0257259E7,310826.0303030303,638857.6063751649,2096272.0,53.0,16,15,0,0,0,0,744,1096,2.2423111637653435,3.314720850783551,0.0,976.0,81.9824561403509,185.34066040942693,34351.16040100251,2,2,0,31,56,0,0,0,1.4782608695652173,81.98245614035088,83.82608695652173,80.73529411764706,0.0,0.0,0.0,0.0,0.0,0.0,3.8333333333333335,321.3333333333333,5.666666666666667,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,10257274,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-47888-22-6,192.168.19.139,47888,192.168.249.84,22,6,2025-03-11 15:23:53.380494,12122834,20,32,1928.0,2745.0,640.0,0.0,96.4,141.74788590273485,976.0,0.0,85.78125,220.24059195973427,385.47092206327335,4.289426053346932,237702.62745098033,639717.350435111,2485276.0,25.0,1.2122809E7,638042.5789473685,962181.6422116123,2530161.0,527.0,1.212277E7,391057.09677419346,787523.7263619576,2485276.0,62.0,16,15,0,0,0,0,648,1032,1.6497792512872815,2.6396468020596506,0.0,976.0,89.86538461538461,192.34507683380443,36996.628582202124,2,2,0,31,51,0,0,0,1.6,89.86538461538461,96.4,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,321.3333333333333,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,12122834,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-58086-22-6,192.168.19.139,58086,192.168.249.84,22,6,2025-03-11 15:20:16.758062,4194212,14,15,1272.0,2153.0,640.0,0.0,90.85714285714285,174.415444421494,976.0,0.0,143.53333333333333,314.56611084991033,816.6015451770201,6.914290455513455,149793.2857142857,524189.23906083254,2419855.0,21.0,4194212.0,322631.69230769237,779080.3410607905,2510554.0,470.0,4193816.0,299558.28571428574,723175.2419355405,2419855.0,66.0,8,7,0,0,0,0,456,488,3.337933323351323,3.5763571321621317,0.0,976.0,118.10344827586204,253.60885868196803,64317.45320197043,2,2,0,15,28,0,0,0,1.0714285714285714,118.10344827586206,90.85714285714286,143.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.0,636.0,7.5,1076.5,64800,64260,8,7,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,4194212,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-58102-22-6,192.168.19.139,58102,192.168.249.84,22,6,2025-03-11 15:20:17.191825,4805860,14,15,1288.0,2153.0,640.0,0.0,91.99999999999999,174.50413263786137,976.0,0.0,143.53333333333333,314.56611084991033,716.0008822562455,6.0342997923368555,171637.85714285716,594423.0303183026,2556979.0,19.0,4805860.0,369681.53846153844,876565.1679642932,2645153.0,283.0,4805142.0,343224.4285714286,819166.9966796677,2556979.0,129.0,8,7,0,0,0,0,456,488,2.913110244576413,3.1211895477604426,0.0,976.0,118.65517241379307,253.57645731501472,64301.019704433485,2,2,0,15,28,0,0,0,1.0714285714285714,118.65517241379311,92.0,143.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.0,644.0,7.5,1076.5,64800,64260,8,7,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,4805860,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-53950-22-6,192.168.19.139,53950,192.168.249.84,22,6,2025-03-11 15:22:07.649052,11936004,20,32,1912.0,2745.0,640.0,0.0,95.60000000000001,141.70035100056813,976.0,0.0,85.78125,220.24059195973427,390.1640783632445,4.356566904635756,234039.29411764705,638938.7930646971,2483166.0,18.0,1.1935986E7,628209.7894736842,964626.7537602062,2527758.0,488.0,1.1935891E7,385028.74193548394,787663.6490339418,2483166.0,75.0,16,15,0,0,0,0,648,1032,1.6756026556291368,2.680964249006619,0.0,976.0,89.55769230769228,192.32177014836748,36987.66327300149,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,11936004,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-48814-22-6,192.168.19.139,48814,192.168.249.84,22,6,2025-03-11 15:21:37.467537,4784899,14,15,1272.0,2153.0,640.0,0.0,90.85714285714285,174.415444421494,976.0,0.0,143.53333333333333,314.56611084991033,715.793583103844,6.060733988324518,170889.25000000003,608922.7456974735,2872213.0,20.0,4784899.0,368069.1538461538,900045.7735656046,2959876.0,359.0,4784519.0,341751.35714285716,841354.8482062091,2872213.0,63.0,8,7,0,0,0,0,456,488,2.925871580570457,3.134862407754061,0.0,976.0,118.10344827586204,253.60885868196803,64317.45320197043,2,2,0,15,28,0,0,0,1.0714285714285714,118.10344827586206,90.85714285714286,143.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,7.0,636.0,7.5,1076.5,64800,64260,8,7,32,0,0,0,0,0,0,0,0,0,-1,-1,1,0,1,4784899,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139-192.168.249.84-51190-22-6,192.168.19.139,51190,192.168.249.84,22,6,2025-03-11 15:21:15.612068,12793894,20,32,1912.0,2745.0,640.0,0.0,95.60000000000001,141.70035100056813,976.0,0.0,85.78125,220.24059195973427,364.0017652170637,4.06443886435201,250860.66666666666,695824.7233334747,2917163.0,20.0,1.2793804E7,673358.105263158,1052359.251085172,2966163.0,415.0,1.2793856E7,412705.0322580646,859075.9165126786,2917163.0,72.0,16,15,0,0,0,0,648,1032,1.5632457170584655,2.5011931472935447,0.0,976.0,89.55769230769228,192.32177014836748,36987.66327300149,2,2,0,31,51,0,0,0,1.6,89.5576923076923,95.6,85.78125,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,12793894,NeedManualLabel,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
