Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,category,subcategory,scenario,label
192.168.19.139:41024-192.168.249.84:22-6,192.168.19.139,41024,192.168.249.84,22,6,2025-03-11 15:16:50.931203 UTC,10264428,22,32,1912,2745,640,0,86.9090909090909,134.5223567397253,976,0,85.78125,216.7720194084962,728.8277534802718,5.2608874064877265,193660.37735849057,519062.25108894025,2098000,0,10264000,488761.90476190473,761081.0547386435,2143000,0,10264000,331096.7741935484,645124.7618691217,2098000,0,16,15,0,0,0,0,712,1032,2.1433244989394438,3.1175629075482822,0,976,86.24074074074075,187.66685762622868,35218.849451303184,2,2,0,31,53,0,0,0,1.4545454545454546,86.24074074074075,86.9090909090909,85.78125,0,0,0,0,0,0,3.6666666666666665,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,32,10264.428,0,10264.428,10264.428,0,0,0,0,-1,-1,0,0,0,10264428,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:41048-192.168.249.84:22-6,192.168.19.139,41048,192.168.249.84,22,6,2025-03-11 15:16:50.944737 UTC,10260329,22,34,1912,2745,640,0,86.9090909090909,134.5223567397253,976,0,80.73529411764706,211.26611443216922,739.255047279673,5.457914653613933,186563.63636363638,511356.9030667811,2100000,0,10261000,488619.0476190477,760833.5952343248,2143000,0,10261000,310939.3939393939,630868.2780150649,2100000,0,16,15,0,0,0,0,712,1096,2.1441807567769025,3.313733896837031,0,976,83.16071428571429,184.978838247757,34217.17059948985,2,2,0,31,55,0,0,0,1.5454545454545454,83.16071428571429,86.9090909090909,80.73529411764706,0,0,0,0,0,0,3.6666666666666665,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,10260.329,0,10260.329,10260.329,0,0,0,0,-1,-1,0,0,0,10260329,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:41086-192.168.249.84:22-6,192.168.19.139,41086,192.168.249.84,22,6,2025-03-11 15:16:50.979546 UTC,10214033,22,32,1912,2745,640,0,86.9090909090909,134.5223567397253,976,0,85.78125,216.7720194084962,732.4237154902476,5.286844089890839,192716.98113207545,519367.0086861904,2100000,0,10214000,486380.9523809524,762396.064809616,2143000,0,10214000,329483.87096774194,645609.1832384279,2100000,0,16,15,0,0,0,0,712,1032,2.153899444029601,3.132944645861238,0,976,86.24074074074075,187.66685762622868,35218.849451303184,2,2,0,31,53,0,0,0,1.4545454545454546,86.24074074074075,86.9090909090909,85.78125,0,0,0,0,0,0,3.6666666666666665,318.6666666666667,5.333333333333333,457.5,64800,64260,16,15,32,32,10214.033,0,10214.033,10214.033,0,0,0,0,-1,-1,0,0,0,10214033,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:41046-192.168.249.84:22-6,192.168.19.139,41046,192.168.249.84,22,6,2025-03-11 15:16:50.939939 UTC,10257274,23,34,1928,2745,640,0,83.82608695652173,132.8613701092112,976,0,80.73529411764706,211.26611443216922,746.1046667954857,5.557032014548894,183178.57142857142,506156.95290037035,2096000,0,10258000,466272.72727272724,750060.9176362206,2143000,0,10258000,310848.48484848486,629013.6637342394,2096000,0,16,15,0,0,0,0,744,1096,2.2423111637653435,3.314720850783551,0,976,81.98245614035088,183.70767121746124,33748.50846414284,2,2,0,31,56,0,0,0,1.4782608695652173,81.98245614035088,83.82608695652173,80.73529411764706,0,0,0,0,0,0,3.8333333333333335,321.3333333333333,5.666666666666667,457.5,64800,64260,16,15,32,32,10257.274,0,10257.274,10257.274,0,0,0,0,-1,-1,0,0,0,10257274,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:41056-192.168.249.84:22-6,192.168.19.139,41056,192.168.249.84,22,6,2025-03-11 15:16:50.953248 UTC,10276120,23,34,1912,2745,640,0,83.1304347826087,132.7538763366994,976,0,80.73529411764706,211.26611443216922,743.179332277163,5.546840636349128,183500.00000000006,506648.6878075802,2100000,0,10276000,467090.90909090906,749728.9758239858,2143000,0,10276000,311393.93939393945,629735.3912506205,2100000,0,16,15,0,0,0,0,744,1096,2.238198853263683,3.3086417830854447,0,976,81.70175438596492,183.6738112641282,33736.068944290586,2,2,0,31,56,0,0,0,1.4782608695652173,81.70175438596492,83.1304347826087,80.73529411764706,0,0,0,0,0,0,3.8333333333333335,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,10276.12,0,10276.12,10276.12,0,0,0,0,-1,-1,0,0,0,10276120,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:41072-192.168.249.84:22-6,192.168.19.139,41072,192.168.249.84,22,6,2025-03-11 15:16:50.956494 UTC,10273576,23,34,1912,2745,640,0,83.1304347826087,132.7538763366994,976,0,80.73529411764706,211.26611443216922,743.3633624747605,5.548214175862426,183464.28571428577,507049.552533566,2097000,0,10274000,467000,750052.3012066922,2143000,0,10274000,311333.33333333343,630089.0108676407,2097000,0,16,15,0,0,0,0,744,1096,2.238753088505891,3.3094610873565347,0,976,81.70175438596492,183.6738112641282,33736.068944290586,2,2,0,31,56,0,0,0,1.4782608695652173,81.70175438596492,83.1304347826087,80.73529411764706,0,0,0,0,0,0,3.8333333333333335,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,10273.576,0,10273.576,10273.576,0,0,0,0,-1,-1,0,0,0,10273576,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:41074-192.168.249.84:22-6,192.168.19.139,41074,192.168.249.84,22,6,2025-03-11 15:16:50.964018 UTC,10273657,23,34,1912,2745,640,0,83.1304347826087,132.7538763366994,976,0,80.73529411764706,211.26611443216922,743.3575016179731,5.5481704323981225,183446.42857142858,507320.5495416528,2100000,0,10273000,466954.5454545454,749672.1390819473,2142000,0,10273000,311303.03030303033,630678.9263742964,2100000,0,16,15,0,0,0,0,744,1096,2.2387354376343302,3.3094349947637927,0,976,81.70175438596492,183.6738112641282,33736.068944290586,2,2,0,31,56,0,0,0,1.4782608695652173,81.70175438596492,83.1304347826087,80.73529411764706,0,0,0,0,0,0,3.8333333333333335,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,10273.657,0,10273.657,10273.657,0,0,0,0,-1,-1,0,0,0,10273657,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:34056-192.168.249.84:22-6,192.168.19.139,34056,192.168.249.84,22,6,2025-03-11 15:17:01.338687 UTC,10629161,22,32,1928,2745,640,0,87.63636363636364,134.6127595784379,976,0,85.78125,216.7720194084962,705.3237786124417,5.080363351350121,200547.16981132075,543567.6197208322,2142000,0,10629000,506142.85714285716,796350.9806321213,2184000,0,10629000,342870.9677419355,675702.8236816253,2142000,0,16,15,0,0,0,0,712,1032,2.0697776616611603,3.0105856896889605,0,976,86.53703703703704,187.69466072665716,35229.28566529494,2,2,0,31,53,0,0,0,1.4545454545454546,86.53703703703704,87.63636363636364,85.78125,0,0,0,0,0,0,3.6666666666666665,321.3333333333333,5.333333333333333,457.5,64800,64260,16,15,32,32,10629.161,0,10629.161,10629.161,0,0,0,0,-1,-1,0,0,0,10629161,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:41036-192.168.249.84:22-6,192.168.19.139,41036,192.168.249.84,22,6,2025-03-11 15:16:50.937178 UTC,10227342,23,34,1912,2745,640,0,83.1304347826087,132.7538763366994,976,0,80.73529411764706,211.26611443216922,746.723831079473,5.5732955835445805,182624.99999999994,507079.8951736163,2103000,0,10227000,464863.63636363635,750937.1294016893,2144000,0,10227000,309909.09090909094,630489.4858247337,2103000,0,16,15,0,0,0,0,744,1096,2.2488736565179885,3.324421927026592,0,976,81.70175438596492,183.6738112641282,33736.068944290586,2,2,0,31,56,0,0,0,1.4782608695652173,81.70175438596492,83.1304347826087,80.73529411764706,0,0,0,0,0,0,3.8333333333333335,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,10227.342,0,10227.342,10227.342,0,0,0,0,-1,-1,0,0,0,10227342,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
192.168.19.139:41014-192.168.249.84:22-6,192.168.19.139,41014,192.168.249.84,22,6,2025-03-11 15:16:50.926907 UTC,10251783,23,34,1912,2745,640,0,83.1304347826087,132.7538763366994,976,0,80.73529411764706,211.26611443216922,744.9435868863006,5.5600084395075475,183071.42857142852,506897.350031925,2101000,0,10252000,466000,750777.4758087901,2144000,0,10252000,310666.6666666667,630236.5917781682,2101000,0,16,15,0,0,0,0,744,1096,2.2435121773451505,3.3164962621623966,0,976,81.70175438596492,183.6738112641282,33736.068944290586,2,2,0,31,56,0,0,0,1.4782608695652173,81.70175438596492,83.1304347826087,80.73529411764706,0,0,0,0,0,0,3.8333333333333335,318.6666666666667,5.666666666666667,457.5,64800,64260,16,15,32,32,10251.783,0,10251.783,10251.783,0,0,0,0,-1,-1,0,0,0,10251783,bruteforce-ssh,patator,patator_ssh_cic_T10_P,1
