id,expiration_id,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,label,category,subcategory,scenario
192.168.19.139:41086-192.168.249.84:22-6,0,192.168.19.139,41086,192.168.249.84,22,6,1741706210979,1741706221193,10214,54,7481,1741706210979,1741706221193,10214,22,3064,1741706210979,1741706221193,10214,32,4417,52,138.53703703703704,187.53673348449817,1028,52,139.27272727272725,134.29756033057274,692,52,138.03125,216.6775375377834,1028,0,192.71698113207546,519.3670086861904,2100,0,486.3809523809524,762.396064809616,2143,0,329.48387096774195,645.6091832384278,2100,2,0,0,0,53,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,32,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:41046-192.168.249.84:22-6,0,192.168.19.139,41046,192.168.249.84,22,6,1741706210939,1741706221197,10257,57,7653,1741706210939,1741706221197,10258,23,3132,1741706210939,1741706221197,10258,34,4521,52,134.26315789473685,183.58826227776115,1028,52,136.17391304347825,132.65176777330845,692,52,132.97058823529412,211.18050340242343,1028,0,183.17857142857142,506.15695290037036,2096,0,466.27272727272725,750.0609176362206,2143,0,310.8484848484849,629.0136637342395,2096,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:41024-192.168.249.84:22-6,0,192.168.19.139,41024,192.168.249.84,22,6,1741706210931,1741706221195,10264,54,7481,1741706210931,1741706221195,10264,22,3064,1741706210931,1741706221195,10264,32,4417,52,138.53703703703704,187.53673348449817,1028,52,139.27272727272725,134.29756033057274,692,52,138.03125,216.6775375377834,1028,0,193.66037735849056,519.0622510889402,2098,0,488.76190476190476,761.0810547386435,2143,0,331.0967741935484,645.1247618691217,2098,2,0,0,0,53,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,32,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:41048-192.168.249.84:22-6,0,192.168.19.139,41048,192.168.249.84,22,6,1741706210944,1741706221205,10260,56,7585,1741706210944,1741706221205,10261,22,3064,1741706210944,1741706221205,10261,34,4521,52,135.44642857142858,184.8563070954279,1028,52,139.27272727272725,134.29756033057274,692,52,132.97058823529412,211.18050340242343,1028,0,186.5636363636364,511.3569030667811,2100,0,488.6190476190477,760.8335952343248,2143,0,310.93939393939394,630.8682780150649,2100,2,0,0,0,55,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:41036-192.168.249.84:22-6,0,192.168.19.139,41036,192.168.249.84,22,6,1741706210937,1741706221164,10227,57,7637,1741706210937,1741706221164,10227,23,3116,1741706210937,1741706221164,10227,34,4521,52,133.98245614035088,183.55480956179161,1028,52,135.47826086956522,132.54592955067952,692,52,132.97058823529412,211.18050340242343,1028,0,182.62499999999994,507.0798951736163,2103,0,464.8636363636364,750.9371294016893,2144,0,309.90909090909093,630.4894858247337,2103,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:41014-192.168.249.84:22-6,0,192.168.19.139,41014,192.168.249.84,22,6,1741706210926,1741706221178,10251,57,7637,1741706210926,1741706221178,10252,23,3116,1741706210926,1741706221178,10252,34,4521,52,133.98245614035088,183.55480956179161,1028,52,135.47826086956522,132.54592955067952,692,52,132.97058823529412,211.18050340242343,1028,0,183.07142857142853,506.89735003192504,2101,0,466,750.7774758087901,2144,0,310.6666666666667,630.2365917781682,2101,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:41102-192.168.249.84:22-6,0,192.168.19.139,41102,192.168.249.84,22,6,1741706210986,1741706221261,10275,56,7585,1741706210986,1741706221261,10275,22,3064,1741706210986,1741706221261,10275,34,4521,52,135.44642857142858,184.8563070954279,1028,52,139.27272727272725,134.29756033057274,692,52,132.97058823529412,211.18050340242343,1028,0,186.8181818181818,511.17401736889735,2100,0,489.2857142857143,760.7225351665378,2143,0,311.3636363636364,630.4197648311854,2100,2,0,0,0,55,31,0,2,1,0,0,0,21,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:41056-192.168.249.84:22-6,0,192.168.19.139,41056,192.168.249.84,22,6,1741706210953,1741706221229,10276,57,7637,1741706210953,1741706221229,10276,23,3116,1741706210953,1741706221229,10276,34,4521,52,133.98245614035088,183.55480956179161,1028,52,135.47826086956522,132.54592955067952,692,52,132.97058823529412,211.18050340242343,1028,0,183.50000000000006,506.64868780758025,2100,0,467.09090909090907,749.7289758239857,2143,0,311.39393939393943,629.7353912506205,2100,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:41072-192.168.249.84:22-6,0,192.168.19.139,41072,192.168.249.84,22,6,1741706210956,1741706221230,10273,57,7637,1741706210956,1741706221230,10274,23,3116,1741706210956,1741706221230,10274,34,4521,52,133.98245614035088,183.55480956179161,1028,52,135.47826086956522,132.54592955067952,692,52,132.97058823529412,211.18050340242343,1028,0,183.46428571428578,507.04955253356604,2097,0,467,750.0523012066923,2143,0,311.3333333333334,630.0890108676407,2097,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
192.168.19.139:41074-192.168.249.84:22-6,0,192.168.19.139,41074,192.168.249.84,22,6,1741706210964,1741706221237,10273,57,7637,1741706210964,1741706221237,10273,23,3116,1741706210964,1741706221237,10273,34,4521,52,133.98245614035088,183.55480956179161,1028,52,135.47826086956522,132.54592955067952,692,52,132.97058823529412,211.18050340242343,1028,0,183.44642857142858,507.3205495416528,2100,0,466.95454545454544,749.6721390819473,2142,0,311.3030303030303,630.6789263742965,2100,2,0,0,0,56,31,0,2,1,0,0,0,22,16,0,1,1,0,0,0,34,15,0,1,1,bruteforce-ssh,patator,patator_ssh_cic_T10_P
