flow_id,source_ip,source_port,destination_ip,destination_port,protocol,timestamp_first,timestamp_last,flow_duration_us,flow_expire_cause,first_timestamp_fwd,first_timestamp_bwd,last_timestamp_fwd,last_timestamp_bwd,fwd_duration_ms,bwd_duration_ms,iat_total,iat_mean,iat_std,iat_max,iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,packet_count,packet_len_total,packet_len_mean,packet_len_max,packet_len_min,packet_len_std,fwd_packet_count,bwd_packet_count,fwd_packet_len_total,fwd_packet_len_mean,fwd_packet_len_std,fwd_packet_len_max,fwd_packet_len_min,bwd_packet_len_total,bwd_packet_len_mean,bwd_packet_len_std,bwd_packet_len_max,bwd_packet_len_min,header_len_total,header_len_mean,header_len_std,header_len_max,header_len_min,fwd_header_len_total,fwd_header_len_mean,fwd_header_len_std,fwd_header_len_max,fwd_header_len_min,bwd_header_len_total,bwd_header_len_mean,bwd_header_len_std,bwd_header_len_max,bwd_header_len_min,payload_len_total,payload_len_mean,payload_len_std,payload_len_max,payload_len_min,payload_len_variance,fwd_payload_len_total,fwd_payload_len_mean,fwd_payload_len_std,fwd_payload_len_max,fwd_payload_len_min,bwd_payload_len_total,bwd_payload_len_mean,bwd_payload_len_std,bwd_payload_len_max,bwd_payload_len_min,fwd_non_zero_payload_packets,bwd_non_zero_payload_packets,fwd_bulk_rate_s,bwd_bulk_rate_s,fwd_bulk_count,bwd_bulk_count,fwd_bulk_packets_total,fwd_bulk_packets_mean,fwd_bulk_packets_std,fwd_bulk_packets_max,fwd_bulk_packets_min,bwd_bulk_packets_total,bwd_bulk_packets_mean,bwd_bulk_packets_std,bwd_bulk_packets_max,bwd_bulk_packets_min,fwd_bulk_bytes_total,fwd_bulk_bytes_mean,fwd_bulk_bytes_std,fwd_bulk_bytes_max,fwd_bulk_bytes_min,bwd_bulk_bytes_total,bwd_bulk_bytes_mean,bwd_bulk_bytes_std,bwd_bulk_bytes_max,bwd_bulk_bytes_min,fwd_bulk_duration_total,fwd_bulk_duration_mean,fwd_bulk_duration_std,fwd_bulk_duration_max,fwd_bulk_duration_min,bwd_bulk_duration_total,bwd_bulk_duration_mean,bwd_bulk_duration_std,bwd_bulk_duration_max,bwd_bulk_duration_min,subflow_count,active_total,active_mean,active_std,active_max,active_min,idle_total,idle_mean,idle_std,idle_max,idle_min,icmp_type,icmp_code,flow_retransmission_count,fwd_retransmission_count,bwd_retransmission_count,fwd_init_window_size,bwd_init_window_size,window_size_total,window_size_mean,window_size_std,window_size_max,window_size_min,fwd_window_size_total,fwd_window_size_mean,fwd_window_size_std,fwd_window_size_max,fwd_window_size_min,bwd_window_size_total,bwd_window_size_mean,bwd_window_size_std,bwd_window_size_max,bwd_window_size_min,fwd_fin_flag_count,fwd_syn_flag_count,fwd_rst_flag_count,fwd_psh_flag_count,fwd_ack_flag_count,fwd_urg_flag_count,fwd_cwr_flag_count,fwd_ece_flag_count,bwd_fin_flag_count,bwd_syn_flag_count,bwd_rst_flag_count,bwd_psh_flag_count,bwd_ack_flag_count,bwd_urg_flag_count,bwd_cwr_flag_count,bwd_ece_flag_count,total_fin_flag_count,total_syn_flag_count,total_rst_flag_count,total_psh_flag_count,total_ack_flag_count,total_urg_flag_count,total_cwr_flag_count,total_ece_flag_count,flags,flow_bytes_s,flow_packets_s,fwd_bytes_s,fwd_packets_s,bwd_bytes_s,bwd_packets_s,fwd_subflow_packets_mean,fwd_subflow_bytes_mean,bwd_subflow_packets_mean,bwd_subflow_bytes_mean,up_down_ratio,subcategory,scenario,label,category
192.168.19.139:41024-192.168.249.84:22-6,192.168.19.139,41024,192.168.249.84,22,6,2025-03-11 15:16:50.931203 UTC,2025-03-11 15:17:01.195631 UTC,10264428,TCP Normal Termination,1741706210931,1741706210931,1741706221195,1741706221195,10264,10264,10264,193.66037735849056,519.0622510889402,2098,0,10264,488.76190476190476,761.0810547386435,2143,0,10264,331.0967741935484,645.1247618691217,2098,0,54,7481,138.53703703703704,1028,52,187.53673348449817,22,32,3064,139.27272727272725,134.29756033057274,692,52,4417,138.03125,216.6775375377834,1028,52,1744,32.29629629629629,1.5108205966200838,40,32,712,32.36363636363637,1.6663911618021232,40,32,1032,32.25,1.3919410907075047,40,32,4657,86.24074074074075,187.66685762622868,976,0,35218.849451303184,1912,86.9090909090909,134.5223567397253,640,0,2745,85.78125,216.7720194084962,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10264.428,10264.428,0,10264.428,10264.428,0,0,0,0,0,-1,-1,0,0,0,64800,64260,155138,2872.925925925926,12092.058817213785,64800,501,75345,3424.7727272727275,13393.172806022609,64800,501,79793,2493.53125,11093.585277606315,64260,501,1,1,0,16,21,0,0,0,1,1,0,15,32,0,0,0,2,2,0,31,53,0,0,0,.AP.SF,728.8277534802718,5.2608874064877265,298.506648397748,2.1433244989394438,430.32110508252384,3.1175629075482822,3.6666666666666665,510.6666666666667,5.333333333333333,736.1666666666666,1.4545454545454546,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
192.168.19.139:41048-192.168.249.84:22-6,192.168.19.139,41048,192.168.249.84,22,6,2025-03-11 15:16:50.944737 UTC,2025-03-11 15:17:01.205066 UTC,10260329,TCP Normal Termination,1741706210944,1741706210944,1741706221205,1741706221205,10261,10261,10261,186.5636363636364,511.3569030667811,2100,0,10261,488.6190476190477,760.8335952343248,2143,0,10261,310.93939393939394,630.8682780150649,2100,0,56,7585,135.44642857142858,1028,52,184.8563070954279,22,34,3064,139.27272727272725,134.29756033057274,692,52,4521,132.97058823529412,211.18050340242343,1028,52,1808,32.285714285714285,1.48461497791618,40,32,712,32.36363636363637,1.6663911618021232,40,32,1096,32.23529411764706,1.3516617991854176,40,32,4657,83.16071428571429,184.978838247757,976,0,34217.17059948985,1912,86.9090909090909,134.5223567397253,640,0,2745,80.73529411764706,211.26611443216922,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10260.329,10260.329,0,10260.329,10260.329,0,0,0,0,0,-1,-1,0,0,0,64800,64260,156138,2788.1785714285716,11882.328713122013,64800,501,75339,3424.5,13393.232279265656,64800,501,80799,2376.4411764705883,10772.54487708883,64260,501,1,1,0,16,21,0,0,0,1,1,0,15,34,0,0,0,2,2,0,31,55,0,0,0,.AP.SF,739.255047279673,5.457914653613933,298.6259017620195,2.1441807567769025,440.62914551765346,3.313733896837031,3.6666666666666665,510.6666666666667,5.666666666666667,753.5,1.5454545454545454,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
192.168.19.139:41036-192.168.249.84:22-6,192.168.19.139,41036,192.168.249.84,22,6,2025-03-11 15:16:50.937178 UTC,2025-03-11 15:17:01.164520 UTC,10227342,TCP Normal Termination,1741706210937,1741706210937,1741706221164,1741706221164,10227,10227,10227,182.62499999999994,507.0798951736163,2103,0,10227,464.8636363636364,750.9371294016893,2144,0,10227,309.90909090909093,630.4894858247337,2103,0,57,7637,133.98245614035088,1028,52,183.55480956179161,23,34,3116,135.47826086956522,132.54592955067952,692,52,4521,132.97058823529412,211.18050340242343,1028,52,1840,32.280701754385966,1.4720124184844225,40,32,744,32.34782608695652,1.6314489599385837,40,32,1096,32.23529411764706,1.3516617991854176,40,32,4657,81.70175438596492,183.6738112641282,976,0,33736.068944290586,1912,83.1304347826087,132.7538763366994,640,0,2745,80.73529411764706,211.26611443216922,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10227.342,10227.342,0,10227.342,10227.342,0,0,0,0,0,-1,-1,0,0,0,64800,64260,156636,2748,11781.473770735403,64800,501,75840,3297.391304347826,13112.400386289271,64800,501,80796,2376.3529411764707,10772.560225712781,64260,501,1,1,0,16,22,0,0,0,1,1,0,15,34,0,0,0,2,2,0,31,56,0,0,0,.AP.SF,746.723831079473,5.5732955835445805,304.67349190043706,2.2488736565179885,442.050339179036,3.324421927026592,3.8333333333333335,519.3333333333334,5.666666666666667,753.5,1.4782608695652173,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
192.168.19.139:41014-192.168.249.84:22-6,192.168.19.139,41014,192.168.249.84,22,6,2025-03-11 15:16:50.926907 UTC,2025-03-11 15:17:01.178690 UTC,10251783,TCP Normal Termination,1741706210926,1741706210926,1741706221178,1741706221178,10252,10252,10252,183.07142857142853,506.89735003192504,2101,0,10252,466,750.7774758087901,2144,0,10252,310.6666666666667,630.2365917781682,2101,0,57,7637,133.98245614035088,1028,52,183.55480956179161,23,34,3116,135.47826086956522,132.54592955067952,692,52,4521,132.97058823529412,211.18050340242343,1028,52,1840,32.280701754385966,1.4720124184844225,40,32,744,32.34782608695652,1.6314489599385837,40,32,1096,32.23529411764706,1.3516617991854176,40,32,4657,81.70175438596492,183.6738112641282,976,0,33736.068944290586,1912,83.1304347826087,132.7538763366994,640,0,2745,80.73529411764706,211.26611443216922,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10251.783,10251.783,0,10251.783,10251.783,0,0,0,0,0,-1,-1,0,0,0,64800,64260,156636,2748,11781.473770735403,64800,501,75840,3297.391304347826,13112.400386289271,64800,501,80796,2376.3529411764707,10772.560225712781,64260,501,1,1,0,16,22,0,0,0,1,1,0,15,34,0,0,0,2,2,0,31,56,0,0,0,.AP.SF,744.9435868863006,5.5600084395075475,303.9471280264126,2.2435121773451505,440.9964588598881,3.3164962621623966,3.8333333333333335,519.3333333333334,5.666666666666667,753.5,1.4782608695652173,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
192.168.19.139:41102-192.168.249.84:22-6,192.168.19.139,41102,192.168.249.84,22,6,2025-03-11 15:16:50.986144 UTC,2025-03-11 15:17:01.261498 UTC,10275354,TCP Normal Termination,1741706210986,1741706210986,1741706221261,1741706221261,10275,10275,10275,186.8181818181818,511.17401736889735,2100,0,10275,489.2857142857143,760.7225351665378,2143,0,10275,311.3636363636364,630.4197648311854,2100,0,56,7585,135.44642857142858,1028,52,184.8563070954279,22,34,3064,139.27272727272725,134.29756033057274,692,52,4521,132.97058823529412,211.18050340242343,1028,52,1808,32.285714285714285,1.48461497791618,40,32,712,32.36363636363637,1.6663911618021232,40,32,1096,32.23529411764706,1.3516617991854176,40,32,4657,83.16071428571429,184.978838247757,976,0,34217.17059948985,1912,86.9090909090909,134.5223567397253,640,0,2745,80.73529411764706,211.26611443216922,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10275.354,10275.354,0,10275.354,10275.354,0,0,0,0,0,-1,-1,0,0,0,64800,64260,156138,2788.1785714285716,11882.328713122013,64800,501,75339,3424.5,13393.232279265656,64800,501,80799,2376.4411764705883,10772.54487708883,64260,501,1,1,0,16,21,0,0,0,1,1,0,15,34,0,0,0,2,2,0,31,55,0,0,0,.AP.SF,738.1740813990448,5.449933890355505,298.18924000087975,2.1410454569253767,439.984841398165,3.308888433430128,3.6666666666666665,510.6666666666667,5.666666666666667,753.5,1.5454545454545454,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
192.168.19.139:41086-192.168.249.84:22-6,192.168.19.139,41086,192.168.249.84,22,6,2025-03-11 15:16:50.979546 UTC,2025-03-11 15:17:01.193579 UTC,10214033,TCP Normal Termination,1741706210979,1741706210979,1741706221193,1741706221193,10214,10214,10214,192.71698113207546,519.3670086861904,2100,0,10214,486.3809523809524,762.396064809616,2143,0,10214,329.48387096774195,645.6091832384278,2100,0,54,7481,138.53703703703704,1028,52,187.53673348449817,22,32,3064,139.27272727272725,134.29756033057274,692,52,4417,138.03125,216.6775375377834,1028,52,1744,32.29629629629629,1.5108205966200838,40,32,712,32.36363636363637,1.6663911618021232,40,32,1032,32.25,1.3919410907075047,40,32,4657,86.24074074074075,187.66685762622868,976,0,35218.849451303184,1912,86.9090909090909,134.5223567397253,640,0,2745,85.78125,216.7720194084962,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10214.033,10214.033,0,10214.033,10214.033,0,0,0,0,0,-1,-1,0,0,0,64800,64260,155138,2872.925925925926,12092.058817213785,64800,501,75345,3424.7727272727275,13393.172806022609,64800,501,79793,2493.53125,11093.585277606315,64260,501,1,1,0,16,21,0,0,0,1,1,0,15,32,0,0,0,2,2,0,31,53,0,0,0,.AP.SF,732.4237154902476,5.286844089890839,299.9794498412135,2.153899444029601,432.444265649034,3.132944645861238,3.6666666666666665,510.6666666666667,5.333333333333333,736.1666666666666,1.4545454545454546,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
192.168.19.139:41046-192.168.249.84:22-6,192.168.19.139,41046,192.168.249.84,22,6,2025-03-11 15:16:50.939939 UTC,2025-03-11 15:17:01.197213 UTC,10257274,TCP Normal Termination,1741706210939,1741706210939,1741706221197,1741706221197,10258,10258,10258,183.17857142857142,506.15695290037036,2096,0,10258,466.27272727272725,750.0609176362206,2143,0,10258,310.8484848484849,629.0136637342395,2096,0,57,7653,134.26315789473685,1028,52,183.58826227776115,23,34,3132,136.17391304347825,132.65176777330845,692,52,4521,132.97058823529412,211.18050340242343,1028,52,1840,32.280701754385966,1.4720124184844225,40,32,744,32.34782608695652,1.6314489599385837,40,32,1096,32.23529411764706,1.3516617991854176,40,32,4673,81.98245614035088,183.70767121746124,976,0,33748.50846414284,1928,83.82608695652173,132.8613701092112,640,0,2745,80.73529411764706,211.26611443216922,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10257.274,10257.274,0,10257.274,10257.274,0,0,0,0,0,-1,-1,0,0,0,64800,64260,156636,2748,11781.473770735403,64800,501,75840,3297.391304347826,13112.400386289271,64800,501,80796,2376.3529411764707,10772.560225712781,64260,501,1,1,0,16,22,0,0,0,1,1,0,15,34,0,0,0,2,2,0,31,56,0,0,0,.AP.SF,746.1046667954857,5.557032014548894,305.3442854310024,2.2423111637653435,440.76038136448335,3.314720850783551,3.8333333333333335,522,5.666666666666667,753.5,1.4782608695652173,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
192.168.19.139:41056-192.168.249.84:22-6,192.168.19.139,41056,192.168.249.84,22,6,2025-03-11 15:16:50.953248 UTC,2025-03-11 15:17:01.229368 UTC,10276120,TCP Normal Termination,1741706210953,1741706210953,1741706221229,1741706221229,10276,10276,10276,183.50000000000006,506.64868780758025,2100,0,10276,467.09090909090907,749.7289758239857,2143,0,10276,311.39393939393943,629.7353912506205,2100,0,57,7637,133.98245614035088,1028,52,183.55480956179161,23,34,3116,135.47826086956522,132.54592955067952,692,52,4521,132.97058823529412,211.18050340242343,1028,52,1840,32.280701754385966,1.4720124184844225,40,32,744,32.34782608695652,1.6314489599385837,40,32,1096,32.23529411764706,1.3516617991854176,40,32,4657,81.70175438596492,183.6738112641282,976,0,33736.068944290586,1912,83.1304347826087,132.7538763366994,640,0,2745,80.73529411764706,211.26611443216922,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10276.12,10276.12,0,10276.12,10276.12,0,0,0,0,0,-1,-1,0,0,0,64800,64260,156636,2748,11781.473770735403,64800,501,75840,3297.391304347826,13112.400386289271,64800,501,80796,2376.3529411764707,10772.560225712781,64260,501,1,1,0,16,22,0,0,0,1,1,0,15,34,0,0,0,2,2,0,31,56,0,0,0,.AP.SF,743.179332277163,5.546840636349128,303.22728812041896,2.238198853263683,439.95204415674397,3.3086417830854447,3.8333333333333335,519.3333333333334,5.666666666666667,753.5,1.4782608695652173,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
192.168.19.139:41072-192.168.249.84:22-6,192.168.19.139,41072,192.168.249.84,22,6,2025-03-11 15:16:50.956494 UTC,2025-03-11 15:17:01.230070 UTC,10273576,TCP Normal Termination,1741706210956,1741706210956,1741706221230,1741706221230,10274,10274,10274,183.46428571428578,507.04955253356604,2097,0,10274,467,750.0523012066923,2143,0,10274,311.3333333333334,630.0890108676407,2097,0,57,7637,133.98245614035088,1028,52,183.55480956179161,23,34,3116,135.47826086956522,132.54592955067952,692,52,4521,132.97058823529412,211.18050340242343,1028,52,1840,32.280701754385966,1.4720124184844225,40,32,744,32.34782608695652,1.6314489599385837,40,32,1096,32.23529411764706,1.3516617991854176,40,32,4657,81.70175438596492,183.6738112641282,976,0,33736.068944290586,1912,83.1304347826087,132.7538763366994,640,0,2745,80.73529411764706,211.26611443216922,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10273.576,10273.576,0,10273.576,10273.576,0,0,0,0,0,-1,-1,0,0,0,64800,64260,156636,2748,11781.473770735403,64800,501,75840,3297.391304347826,13112.400386289271,64800,501,80796,2376.3529411764707,10772.560225712781,64260,501,1,1,0,16,22,0,0,0,1,1,0,15,34,0,0,0,2,2,0,31,56,0,0,0,.AP.SF,743.3633624747605,5.548214175862426,303.30237494714595,2.238753088505891,440.06098752761454,3.3094610873565347,3.8333333333333335,519.3333333333334,5.666666666666667,753.5,1.4782608695652173,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
192.168.19.139:41074-192.168.249.84:22-6,192.168.19.139,41074,192.168.249.84,22,6,2025-03-11 15:16:50.964018 UTC,2025-03-11 15:17:01.237675 UTC,10273657,TCP Normal Termination,1741706210964,1741706210964,1741706221237,1741706221237,10273,10273,10273,183.44642857142858,507.3205495416528,2100,0,10273,466.95454545454544,749.6721390819473,2142,0,10273,311.3030303030303,630.6789263742965,2100,0,57,7637,133.98245614035088,1028,52,183.55480956179161,23,34,3116,135.47826086956522,132.54592955067952,692,52,4521,132.97058823529412,211.18050340242343,1028,52,1840,32.280701754385966,1.4720124184844225,40,32,744,32.34782608695652,1.6314489599385837,40,32,1096,32.23529411764706,1.3516617991854176,40,32,4657,81.70175438596492,183.6738112641282,976,0,33736.068944290586,1912,83.1304347826087,132.7538763366994,640,0,2745,80.73529411764706,211.26611443216922,976,0,16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10273.657,10273.657,0,10273.657,10273.657,0,0,0,0,0,-1,-1,0,0,0,64800,64260,156636,2748,11781.473770735403,64800,501,75840,3297.391304347826,13112.400386289271,64800,501,80796,2376.3529411764707,10772.560225712781,64260,501,1,1,0,16,22,0,0,0,1,1,0,15,34,0,0,0,2,2,0,31,56,0,0,0,.AP.SF,743.3575016179731,5.5481704323981225,303.29998363776406,2.2387354376343302,440.057517980209,3.3094349947637927,3.8333333333333335,519.3333333333334,5.666666666666667,753.5,1.4782608695652173,patator,patator_ssh_cic_T10_P,1,bruteforce-ssh
