Filename	Reviewed By	Title	First Author	Year	Venue	Dataset(s)	Flow Exporter(s)		tools
46	Matisse	Stream-based machine learning for network security and anomaly detection	P. Mulinka	2018	SIGCOMM Workshop	MAWILab, MAWI			custom
47	Matisse	Telemetry-based stream-learning of BGP anomalies	A. Putina	2018	SIGCOMM Workshop	Own	Pipeline (archived) (Cisco)		custom
48	Matisse	IXP scrubber: Learning from blackholing traffic for ML-driven DDoS detection at scale	M. Wichtlhuber	2022	SIGCOMM	Own	sampled flow data from IXP's		custom
49	Matisse	Host in danger? Detecting network intrusions from authentication logs	H. Bian	2019	CNSM	LANL	No mention, not even in the paper of the dataset. Dataset of systemlogs		
50	Matisse	Temporal representations for detecting BGP blackjack attacks	R. Copstein	2020	CNSM	RVAP	https://www.routeviews.org/routeviews/index.php/collectors/		custom
51	Matisse	MIMC: Anomaly detection in network data via multiple instances of micro-cluster detection	R. Copstein	2023	CNSM	CTU-IoT, CTU-13, UNSW-NB15			argus,bro
52	Matisse	CML-IDS: Enhancing intrusion detection in SDN through collaborative machine learning	P. Golchin	2023	CNSM	CIC-IDS2017	nfstream		cicflowmeter,nfstream
53	Matisse	Scope-based flow monitoring to improve traffic analysis in programmable networks	C. Hardegen	2022	CNSM	cic-ids2017, cic-dos2017	flowmoni, scapy (python)		flowmoni
54	Matisse	Network traffic classification based on single flow time series analysis	J. Koumar	2023	CNSM	pcaps (from all known ids datasets, ex. ctu-13, cic-ids-2017,...)	own tool to get 69 features (no mention of what tool)		custom
55	Matisse	An explainable-by-design ensemble learning system to detect unknown network attacks	C. Minh	2023	CNSM	cse-cic-ids2018			cicflowmeter
56	Matisse	Artificial intelligence and big data driven IS security management solution with applications in higher education organizations	V. Minkevics	2021	CNSM	Own	NetFlow, nfdump (to dump certain features)		netflow
57	Matisse	Time-based anomaly detection using autoencoder	M. A. Salahuddin	2020	CNSM	CICDDoS2019			cicflowmeter
58	Matisse	ADAM & RAL: Adaptive memory learning and reinforcement active learning for network monitoring	S. Wassermann	2019	CNSM	MAWILab, MAWI			custom
59	Matisse	Machine-learning-assisted DDoS attack detection with P4 language	F. Musumeci	2020	ICC	Own	P4		custom
60	Matisse	Intrusion detection for softwarized networks with semi-supervised federated learning	O. Aouedi	2022	ICC	unsw-nb15			argus,bro
61	Matisse	Exquisite feature selection for machine learning powered probing attack detection	H. Alanazi	2023	ICC	Own and KDDCUP99	Own that extracts 33 features out of pcap		custom
62	Matisse	Subspace clustering for interpretable botnet traffic analysis	S. Araki	2019	ICC	Own	xFlow (NetFlow, sFlow, IPFIX)		netflow
63	Matisse	Data poisoning attacks against autoencoder-based anomaly detection models: A robustness analysis	G. Bovenzi	2022	ICC	Kitsune2017	Own scripts		custom
64	Matisse	DETPro: A high-efficiency and low-latency system against DDoS attacks in SDN based on decision tree	Y. Chen	2019	ICC	Own	openflow, sFlow		netflow
65	Matisse	A Wasserstein GAN-based framework for adversarial attacks against intrusion detection systems	F. Cui	2023	ICC	cicids2017			cicflowmeter
66	Matisse	LIFH: Learning interactive features from HTTP payload using image reconstruction	J. Geng	2021	ICC	Own, cicids_2017, IIE_data	LIFH -> feature construction, no mention of traffic extractor		custom,cicflowmeter
67	Matisse	An efficient multi-stage approach for identifying domain shadowing	N. H. Hamilton	2020	ICC	Own, PDNS, MaxMind			custom
68	Matisse	IV-IDM: Reliable intrusion detection method based on involution and voting	X. Han	2022	ICC	ISCX-IDS-2012, cic-ids-2017			cicflowmeter,custom
69	Matisse	A hierarchical fog computing framework for network attack detection in SDN	Z. A. El Houda	2022	ICC	Own, UNSWNB15	sFlow-RT		netflow,argus,bro
70	Matisse	Hybrid deep autoencoder with random forest in native SDN intrusion detection environment	M. M. Isa	2022	ICC	cic-ids-2017	openflow		cicflowmeter
71	Matisse	A new intrusion detection system based on convolutional neural network	A. E. Kamali	2023	ICC	nsl-kdd, cic-ids-2018			cicflowmeter
