Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,3.64453125,"[8, 11]",2,1,2,1
2,0.0,155.8046875,"[8, 11, 12, 30]",6,3,14,3
3,48.4,160.65234375,"[8, 11, 12, 30]",6,3,22,3
4,64.2,161.671875,"[8, 11, 12, 30]",6,3,30,3
5,54.3,164.16015625,"[8, 11, 12, 30]",6,3,38,3
6,53.3,165.2890625,"[8, 11, 12, 30]",6,3,46,3
7,57.3,167.140625,"[8, 11, 12, 31]",6,3,55,3
8,69.1,178.28515625,"[8, 11, 12, 31]",6,3,63,3
9,74.1,190.70703125,"[8, 11, 12, 31]",6,3,71,3
10,60.2,195.3359375,"[8, 11, 12, 31]",6,3,79,3
11,58.2,197.0703125,"[8, 11, 12, 30]",6,3,87,3
12,54.2,197.24609375,"[8, 11, 12, 30]",6,3,96,3
13,58.2,198.93359375,"[8, 11, 12, 30]",6,3,104,3
14,45.4,200.6953125,"[8, 11, 12, 30]",6,3,112,3
15,44.4,203.05859375,"[8, 11, 12, 30]",6,3,120,3
16,57.2,205.2109375,"[8, 11, 12, 30]",6,3,128,3
17,56.2,206.828125,"[8, 11, 12, 30]",6,3,136,3
18,57.2,208.33203125,"[8, 11, 12, 30]",6,3,144,3
19,65.1,229.046875,"[8, 11, 12, 30]",6,3,152,3
20,52.3,233.65625,"[8, 11, 12, 30]",6,3,160,3
21,140.0,282.86328125,"[8, 11, 13, 30]",6,3,281,3
22,198.1,306.81640625,"[8, 11, 13, 30]",6,3,287,3
23,197.2,324.3984375,"[8, 11, 12, 30]",6,3,293,3
24,194.3,343.7421875,"[8, 11, 12, 30]",6,3,299,3
25,201.2,360.25390625,"[8, 11, 12, 23]",6,3,305,3
26,190.39999999999998,380.09375,"[8, 11, 14, 23]",6,3,311,3
27,206.2,419.55078125,"[8, 11, 14, 23]",6,3,317,3
28,196.4,435.9609375,"[8, 11, 14, 23]",6,3,324,3
29,196.4,463.54296875,"[8, 11, 14, 23]",6,3,332,3
30,176.6,510.74609375,"[8, 11, 14, 23]",6,3,343,3
31,92.7,547.9921875,"[8, 11, 14, 26]",6,3,352,3
32,55.2,547.9921875,"[8, 11, 14, 26]",6,3,360,3
33,58.2,547.9921875,"[8, 11, 14, 26]",6,3,368,3
34,65.1,547.9921875,"[8, 11, 14, 26]",6,3,376,3
35,71.0,547.9921875,"[8, 11, 14, 26]",6,3,384,3
36,67.0,547.9921875,"[8, 11, 14, 26]",6,3,392,3
37,59.2,547.9921875,"[8, 11, 14, 26]",6,3,400,3
38,60.2,547.9921875,"[8, 11, 14, 26]",6,3,408,3
39,54.2,547.9921875,"[8, 11, 14, 26]",6,3,417,3
40,60.2,547.9921875,"[8, 11, 14, 26]",6,3,425,3
41,60.2,547.9921875,"[8, 11, 14, 26]",6,3,433,3
42,58.2,547.9921875,"[8, 11, 14, 26]",6,3,441,3
43,52.3,547.9921875,"[8, 11, 14, 26]",6,3,449,3
44,42.4,547.9921875,"[8, 11, 13, 26]",6,3,458,3
45,57.2,547.9921875,"[8, 11, 14, 26]",6,3,466,3
46,51.3,547.9921875,"[8, 11, 14, 26]",6,3,474,3
47,65.1,555.6171875,"[8, 11, 14, 26]",6,3,482,3
48,55.2,567.72265625,"[8, 11, 13, 26]",6,3,490,3
49,76.9,583.7578125,"[8, 11, 13, 23]",6,3,498,3
50,191.3,599.19140625,"[8, 11, 13, 23]",6,3,503,3
51,178.5,603.29296875,"[8, 11, 13, 23]",6,3,508,3
52,189.3,607.80859375,"[8, 11, 13, 26]",6,3,515,3
53,186.39999999999998,615.80078125,"[8, 11, 13, 23]",6,3,523,3
54,172.9,620.6953125,"[8, 11, 13, 28]",6,3,528,3
55,160.7,620.953125,"[8, 11, 13, 1]",6,3,538,3
56,179.39999999999998,635.40234375,"[8, 11, 13, 23]",6,3,546,3
57,186.39999999999998,651.26953125,"[8, 11, 13, 23]",6,3,552,3
58,183.39999999999998,651.5234375,"[8, 11, 13, 23]",6,3,557,3
59,185.6,656.30859375,"[8, 11, 13, 28]",6,3,565,3
60,186.3,732.078125,"[8, 11, 13, 23]",6,3,573,3
61,48.3,732.078125,"[8, 11, 13, 23]",6,3,582,3
62,48.3,732.078125,"[8, 11, 13, 23]",6,3,590,3
63,57.2,732.078125,"[8, 11, 13, 23]",6,3,598,3
64,49.3,732.078125,"[8, 11, 13, 23]",6,3,606,3
65,46.4,732.078125,"[8, 11, 13, 23]",6,3,614,3
66,57.2,732.125,"[8, 11, 13, 23]",6,3,622,3
67,45.4,732.125,"[8, 11, 13, 23]",6,3,630,3
68,64.1,732.125,"[8, 11, 13, 23]",6,3,638,3
69,65.1,732.125,"[8, 11, 13, 23]",6,3,646,3
70,62.1,732.125,"[8, 11, 13, 23]",6,3,655,3
71,55.2,732.125,"[8, 11, 13, 23]",6,3,663,3
72,51.3,732.125,"[8, 11, 13, 23]",6,3,671,3
73,55.2,732.125,"[8, 11, 13, 23]",6,3,679,3
74,56.2,732.125,"[8, 11, 13, 23]",6,3,687,3
75,52.2,732.125,"[8, 11, 13, 23]",6,3,695,3
