Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,3.625,"[31, 9]",2,1,2,1
2,0.0,153.7734375,"[31, 9, 26, 12]",6,3,123,3
3,48.4,158.671875,"[31, 9, 26, 12]",6,3,131,3
4,45.4,160.28515625,"[31, 9, 27, 12]",6,3,139,3
5,38.5,160.5234375,"[31, 9, 27, 12]",6,3,147,3
6,39.4,161.14453125,"[31, 9, 27, 12]",6,3,156,3
7,40.4,161.23046875,"[31, 9, 27, 12]",6,3,164,3
8,37.5,161.92578125,"[31, 9, 27, 12]",6,3,172,3
9,38.3,163.3046875,"[31, 9, 27, 12]",6,3,180,3
10,39.3,163.484375,"[31, 9, 27, 12]",6,3,188,3
11,38.4,163.609375,"[31, 9, 27, 12]",6,3,196,3
12,40.4,164.37109375,"[31, 9, 27, 12]",6,3,204,3
13,40.4,165.50390625,"[31, 9, 27, 12]",6,3,212,3
14,41.4,169.15625,"[31, 9, 27, 12]",6,3,220,3
15,40.4,170.21484375,"[31, 9, 27, 12]",6,3,228,3
16,43.4,178.546875,"[31, 9, 27, 12]",6,3,236,3
17,37.4,178.8125,"[31, 9, 26, 12]",6,3,244,3
18,36.5,178.94140625,"[31, 9, 27, 12]",6,3,252,3
19,64.1,220.9921875,"[31, 9, 27, 12]",6,3,318,3
20,86.7,237.296875,"[31, 9, 27, 12]",6,3,452,3
21,60.099999999999994,239.796875,"[31, 9, 27, 12]",6,3,496,3
22,111.3,270.94140625,"[31, 9, 27, 12]",6,3,594,3
23,179.2,282.99609375,"[31, 9, 27, 12]",6,3,611,3
24,167.5,289.2578125,"[31, 9, 27, 12]",6,3,619,3
25,180.3,300.2578125,"[31, 9, 26, 23]",6,3,627,3
26,156.7,300.9921875,"[31, 9, 28, 15]",6,3,637,3
27,166.4,315.27734375,"[31, 9, 28, 15]",6,3,643,3
28,180.3,412.03515625,"[31, 9, 27, 15]",6,3,649,3
29,174.39999999999998,621.203125,"[31, 9, 27, 15]",6,3,658,3
30,166.5,647.62890625,"[31, 9, 27, 23]",6,3,665,3
31,232.7,780.88671875,"[31, 9, 27, 23]",5,2,669,3
32,200.5,781.12890625,"[31, 9, 27, 23]",5,2,672,3
33,199.6,781.12890625,"[31, 9, 27, 23]",5,2,675,3
34,199.4,781.12890625,"[31, 9, 27, 23]",5,2,678,3
35,201.6,744.1328125,"[31, 9, 27, 23]",5,2,680,3
36,199.6,744.3828125,"[31, 9, 27, 23]",5,2,683,3
37,200.6,744.3828125,"[31, 9, 27, 23]",5,2,686,3
38,200.6,744.3828125,"[31, 9, 27, 23]",5,2,688,3
39,199.6,744.3828125,"[31, 9, 27, 23]",5,2,689,3
40,199.6,744.625,"[31, 9, 27, 23]",5,2,693,3
41,199.6,744.625,"[31, 9, 27, 23]",5,2,696,3
42,201.6,744.8828125,"[31, 9, 27, 23]",5,2,699,3
