StartTime,LastTime,Trans,Flgs,Dur,RunTime,IdleTime,Mean,StdDev,Sum,Min,Max,SrcMa,DstMa,sEnc,dEnc,SrcAddr,DstAddr,Proto,Sport,Dport,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,sIpId,dIpId,AutoId,Cause,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,TotAppByte,SAppBytes,DAppBytes,PCRatio,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,Retrans,SrcRetra,DstRetra,pRetran,SrcGap,DstGap,Rate,SrcRate,DstRate,Dir,State,SrcWin,DstWin,SrcTCPBase,DstTCPBase,SrcMss,DstMss,TcpRtt,SynAck,AckDat,TcpOpt,Inode,Offset,sMeanPktSz,dMeanPktSz
07/03.05:55:58.598308,07/03.05:55:58.598318,1, e        ,0.000010,0.000010,1728415872.000000,0.000010,0.000000,0.000010,0.000010,0.000010,UAA,UAA,e,,8.254.250.126,192.168.10.5,tcp,http,49188,0,,cs0,,55,,9,,0x341b,,0,Start,8,8,0,480,480,0,0,0,0,-0.000000,336000000.000000,336000000.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,700000.000000,700000.000000,0.000000, ?>,FIN,329,,3755453834,,0,0,0.000000,0.000000,0.000000,,,128,60.000000,0.000000
07/03.05:56:04.265917,07/03.06:10:59.677565,1, *        ,895.411621,895.411621,1728415872.000000,895.411621,0.000000,895.411621,895.411621,895.411621,UAA,UAA,el,,70:6e:6d:1d:bb:04,01:00:0c:cc:cc:cc,llc,snap,snap,,,,,,,,,,,0,Start,33,33,0,15081,15081,0,0,0,0,-0.000000,130.657227,130.657227,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.035738,0.035738,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,332,457.000000,0.000000
07/03.05:56:04.358261,07/03.06:10:49.497554,1, *        ,885.139282,885.139282,1728415872.000000,885.139282,0.000000,885.139282,885.139282,885.139282,UAA,UAA,el,,70:6e:6d:1d:bb:06,01:00:0c:cc:cc:cc,llc,snap,snap,,,,,,,,,,,0,Start,29,29,0,13253,13253,0,0,0,0,-0.000000,115.651855,115.651855,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.031633,0.031633,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,404,457.000000,0.000000
07/03.05:56:14.906827,07/03.06:10:17.079601,1, *        ,842.172791,842.172791,1728415872.000000,842.172791,0.000000,842.172791,842.172791,842.172791,UAA,UAA,el,,70:6e:6d:1d:bb:0c,01:00:0c:cc:cc:cc,llc,snap,snap,,,,,,,,,,,0,Start,35,35,0,16030,16030,0,0,0,0,-0.000000,147.922134,147.922134,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.040372,0.040372,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,476,458.000000,0.000000
07/03.05:56:19.584350,07/03.06:10:23.108926,1, *        ,843.524597,843.524597,1728415872.000000,843.524597,0.000000,843.524597,843.524597,843.524597,UAA,UAA,el,,70:6e:6d:1d:bb:08,01:00:0c:cc:cc:cc,llc,snap,snap,,,,,,,,,,,0,Start,33,33,0,15081,15081,0,0,0,0,-0.000000,138.694229,138.694229,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.037936,0.037936,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,548,457.000000,0.000000
07/03.05:56:22.331018,07/03.05:56:22.331028,1, e        ,0.000010,0.000010,1728415872.000000,0.000010,0.000000,0.000010,0.000010,0.000010,UAA,UAA,e,,8.253.185.121,192.168.10.14,tcp,http,49486,0,,cs0,,55,,9,,0x224c,,0,Start,9,9,0,540,540,0,0,0,0,-0.000000,384000000.000000,384000000.000000,0.000000,0,0,0,0.000000,0,0,0,0.000000,0,0,800000.000000,800000.000000,0.000000, ?>,FIN,245,,3239803787,,0,0,0.000000,0.000000,0.000000,,,620,60.000000,0.000000
07/03.05:56:25.004746,07/03.06:10:49.551310,1, *        ,864.546570,864.546570,1728415872.000000,864.546570,0.000000,864.546570,864.546570,864.546570,UAA,UAA,el,,70:6e:6d:1d:bb:05,01:00:0c:cc:cc:cc,llc,snap,snap,,,,,,,,,,,0,Start,17,17,0,7769,7769,0,0,0,0,-0.000000,67.660904,67.660904,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.018507,0.018507,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,824,457.000000,0.000000
07/03.05:56:27.815280,07/03.06:10:32.028002,1, *        ,844.212708,844.212708,1728415872.000000,844.212708,0.000000,844.212708,844.212708,844.212708,UAA,UAA,el,,70:6e:6d:1d:bb:11,01:00:0c:cc:cc:cc,llc,snap,snap,,,,,,,,,,,0,Start,34,34,0,15572,15572,0,0,0,0,-0.000000,143.224564,143.224564,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.039090,0.039090,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,896,458.000000,0.000000
07/03.05:56:33.157206,07/03.06:10:41.611267,1, *        ,848.454041,848.454041,1728415872.000000,848.454041,0.000000,848.454041,848.454041,848.454041,UAA,UAA,el,,70:6e:6d:1d:bb:0a,01:00:0c:cc:cc:cc,llc,snap,snap,,,,,,,,,,,0,Start,17,17,0,7786,7786,0,0,0,0,-0.000000,69.095078,69.095078,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,0.018858,0.018858,0.000000, ->,INT,,,,,,,0.000000,0.000000,0.000000,,,968,458.000000,0.000000
07/03.05:56:34.157427,07/03.05:56:35.155846,1, e        ,0.998419,0.998419,1728415872.000000,0.998419,0.000000,0.998419,0.998419,0.998419,UAA,UAA,e,,0.0.0.0,192.168.10.9,arp,,,,,,,,,,,,,0,Start,18,18,0,1080,1080,0,0,0,0,-0.000000,8172.921387,8172.921387,0.000000,0,0,0,0.000000,0,0,0,0.000000,,,17.026920,17.026920,0.000000,who,INT,,,,,,,0.000000,0.000000,0.000000,,,1040,60.000000,0.000000
