Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,3.7890625,"[15, 25]",2,1,5,1
2,0.0,156.0390625,"[15, 25, 10, 27]",6,3,73,3
3,37.5,157.83984375,"[15, 25, 10, 27]",6,3,81,3
4,37.5,161.0859375,"[15, 25, 10, 27]",6,3,89,3
5,41.4,161.7109375,"[15, 25, 10, 27]",6,3,97,3
6,39.4,162.08984375,"[15, 25, 10, 25]",6,3,106,3
7,39.4,164.1875,"[15, 25, 10, 25]",6,3,114,3
8,38.4,165.44140625,"[15, 25, 10, 25]",6,3,122,3
9,38.4,166.2734375,"[15, 25, 10, 25]",6,3,130,3
10,38.4,167.328125,"[15, 25, 10, 25]",6,3,138,3
11,39.4,167.8125,"[15, 25, 10, 25]",6,3,146,3
12,42.4,178.125,"[15, 25, 10, 25]",6,3,154,3
13,39.4,182.50390625,"[15, 25, 10, 25]",6,3,162,3
14,35.5,183.64453125,"[15, 25, 10, 25]",6,3,170,3
15,45.2,194.22265625,"[15, 25, 10, 25]",6,3,178,3
16,39.4,196.37890625,"[15, 25, 10, 25]",6,3,186,3
17,36.5,196.64453125,"[15, 25, 10, 25]",6,3,194,3
18,38.4,197.3125,"[15, 25, 10, 25]",6,3,202,3
19,39.4,197.515625,"[15, 25, 10, 25]",6,3,210,3
20,39.3,198.27734375,"[15, 25, 10, 25]",6,3,219,3
21,38.3,199.16796875,"[15, 25, 10, 25]",6,3,227,3
22,39.4,201.19921875,"[15, 25, 10, 25]",6,3,235,3
23,40.3,203.484375,"[15, 25, 10, 25]",6,3,244,3
24,39.3,204.64453125,"[15, 25, 10, 25]",6,3,252,3
25,39.2,205.71875,"[15, 25, 10, 25]",6,3,260,3
26,42.2,207.06640625,"[15, 25, 10, 25]",6,3,268,3
27,38.3,207.55859375,"[15, 25, 10, 25]",6,3,276,3
28,45.0,221.609375,"[15, 25, 10, 25]",6,3,284,3
29,39.3,228.5546875,"[15, 25, 10, 25]",6,3,292,3
30,41.2,233.453125,"[15, 25, 10, 25]",6,3,300,3
31,49.3,253.0078125,"[15, 25, 10, 13]",6,3,318,3
32,141.9,284.8359375,"[15, 25, 10, 13]",6,3,534,3
33,177.39999999999998,302.59375,"[15, 25, 10, 13]",6,3,636,3
34,187.2,313.35546875,"[15, 25, 10, 13]",6,3,641,3
35,173.4,318.44921875,"[15, 25, 10, 13]",6,3,647,3
36,155.8,262.5703125,"[15, 25, 10, 13]",5,2,659,3
37,199.4,262.828125,"[15, 25, 10, 13]",5,2,664,3
38,200.4,263.34375,"[15, 25, 10, 13]",5,2,668,3
39,200.4,263.6015625,"[15, 25, 10, 13]",5,2,669,3
40,200.6,246.01953125,"[15, 25, 10, 23]",5,2,672,3
