Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,3.625,"[15, 27]",2,1,2,1
2,0.0,152.71484375,"[15, 27, 12, 29]",6,3,78,3
3,46.3,154.00390625,"[15, 27, 12, 29]",6,3,86,3
4,42.4,154.48828125,"[15, 27, 12, 29]",6,3,94,3
5,46.3,156.2109375,"[15, 27, 12, 29]",6,3,102,3
6,46.3,157.15625,"[15, 27, 12, 29]",6,3,111,3
7,40.4,159.921875,"[15, 27, 12, 29]",6,3,119,3
8,40.4,161.48046875,"[15, 27, 12, 29]",6,3,127,3
9,39.4,162.1875,"[15, 27, 12, 29]",6,3,135,3
10,39.4,164.12890625,"[15, 27, 12, 29]",6,3,143,3
11,39.4,164.515625,"[15, 27, 12, 29]",6,3,151,3
12,39.4,166.65234375,"[15, 27, 12, 29]",6,3,159,3
13,39.4,167.484375,"[15, 27, 12, 29]",6,3,167,3
14,40.4,168.8046875,"[15, 27, 12, 29]",6,3,175,3
15,55.2,203.63671875,"[15, 27, 12, 29]",6,3,183,3
16,34.4,205.08203125,"[15, 27, 12, 29]",6,3,191,3
17,34.4,205.08203125,"[15, 27, 12, 29]",6,3,199,3
18,48.3,228.31640625,"[15, 27, 12, 29]",6,3,208,3
19,151.8,244.3203125,"[15, 27, 12, 29]",6,3,229,3
20,164.9,248.9609375,"[15, 27, 12, 29]",6,3,235,3
21,163.4,250.47265625,"[15, 27, 12, 29]",6,3,241,3
22,142.2,251.24609375,"[15, 27, 12, 29]",6,3,249,3
23,93.6,251.3828125,"[15, 27, 14, 29]",6,3,330,3
24,102.6,251.63671875,"[15, 27, 14, 29]",6,3,428,3
25,172.6,252.66796875,"[15, 27, 14, 29]",6,3,437,3
26,150.0,253.140625,"[15, 27, 14, 29]",6,3,449,3
27,135.0,255.75390625,"[15, 27, 14, 29]",6,3,553,3
28,136.1,256.62109375,"[15, 27, 14, 25]",6,3,621,3
29,112.4,256.734375,"[15, 27, 14, 25]",6,3,677,3
30,115.30000000000001,257.65625,"[15, 27, 14, 25]",6,3,733,3
31,158.6,357.40234375,"[15, 27, 14, 25]",6,3,884,3
32,157.9,295.23046875,"[15, 27, 14, 0]",5,2,890,3
33,199.6,281.58203125,"[15, 27, 14, 0]",5,2,892,3
34,200.6,281.58203125,"[15, 27, 14, 0]",5,2,898,3
35,198.6,281.83984375,"[15, 27, 14, 0]",5,2,900,3
