Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,3.8125,"[31, 25]",2,1,2,1
2,0.0,170.15625,"[31, 25, 26, 27]",6,3,55,3
3,52.3,185.890625,"[31, 25, 26, 27]",6,3,63,3
4,46.3,189.92578125,"[31, 25, 26, 27]",6,3,71,3
5,38.5,191.73828125,"[31, 25, 26, 27]",6,3,79,3
6,39.4,192.65234375,"[31, 25, 26, 28]",6,3,88,3
7,39.4,194.5546875,"[31, 25, 26, 28]",6,3,96,3
8,39.4,194.9296875,"[31, 25, 26, 28]",6,3,104,3
9,39.4,195.5390625,"[31, 25, 26, 28]",6,3,112,3
10,38.5,195.7421875,"[31, 25, 26, 28]",6,3,120,3
11,38.5,196.11328125,"[31, 25, 26, 28]",6,3,128,3
12,39.3,197.90234375,"[31, 25, 26, 28]",6,3,136,3
13,43.4,200.109375,"[31, 25, 26, 28]",6,3,144,3
14,41.4,200.390625,"[31, 25, 26, 28]",6,3,152,3
15,39.4,201.96484375,"[31, 25, 26, 28]",6,3,160,3
16,43.4,202.4140625,"[31, 25, 26, 28]",6,3,168,3
17,41.4,202.97265625,"[31, 25, 26, 28]",6,3,176,3
18,40.4,203.87890625,"[31, 25, 26, 28]",6,3,184,3
19,40.4,206.48046875,"[31, 25, 26, 28]",6,3,192,3
20,73.0,253.30078125,"[31, 25, 26, 28]",5,3,203,3
21,172.8,125.06640625,"[31, 25, 26, 0]",5,2,244,3
