Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.97265625,4,1,1,0
2,0.0,3.16796875,4,1,1,2
3,0.0,3.16796875,4,1,1,2
4,0.0,3.16796875,4,1,1,2
5,0.0,3.16796875,4,1,1,2
6,0.0,3.16796875,4,1,1,2
7,0.0,3.16796875,4,1,1,2
8,0.0,3.16796875,4,1,1,2
9,0.0,3.16796875,4,1,1,2
10,0.0,3.16796875,4,1,1,2
11,0.0,3.16796875,4,1,1,2
12,0.0,3.16796875,4,1,1,2
13,0.0,3.16796875,4,1,1,2
14,0.0,3.16796875,4,1,1,2
15,0.0,3.16796875,4,1,1,2
16,0.0,3.16796875,4,1,1,2
17,0.0,3.16796875,4,1,1,2
18,0.0,3.16796875,4,1,1,2
19,0.0,3.16796875,4,1,1,2
20,0.0,3.16796875,4,1,1,2
21,0.0,3.16796875,4,1,1,2
22,0.0,3.16796875,4,1,1,2
23,0.0,3.16796875,4,1,1,2
24,0.0,3.16796875,4,1,1,2
25,0.0,3.16796875,4,1,1,2
26,0.0,3.16796875,4,1,1,2
27,0.0,3.16796875,4,1,1,2
28,0.0,3.16796875,4,1,1,2
29,0.0,3.16796875,4,1,1,2
30,0.0,3.16796875,4,1,1,2
31,0.0,3.16796875,4,1,1,2
32,0.0,3.16796875,4,1,1,2
33,0.0,3.16796875,4,1,1,2
34,0.0,3.16796875,4,1,1,2
35,0.0,3.16796875,4,1,1,2
36,0.0,3.16796875,4,1,1,2
37,0.0,3.16796875,4,1,1,2
38,0.0,3.16796875,4,1,1,2
39,0.0,3.16796875,4,1,1,2
40,0.0,3.16796875,4,1,1,2
