Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,3.78515625,"[30, 8]",2,1,2,1
2,0.0,143.0078125,"[30, 8, 26, 11]",6,3,19,3
3,44.4,143.828125,"[30, 8, 26, 11]",6,3,27,3
4,42.4,145.87890625,"[30, 8, 27, 11]",6,3,35,3
5,44.4,146.3359375,"[30, 8, 27, 11]",6,3,43,3
6,44.4,147.71484375,"[30, 8, 27, 11]",6,3,52,3
7,38.5,147.82421875,"[30, 8, 27, 11]",6,3,60,3
8,43.4,151.58984375,"[30, 8, 27, 11]",6,3,68,3
9,46.4,152.5234375,"[30, 8, 27, 11]",6,3,76,3
10,50.3,160.78515625,"[30, 8, 27, 11]",5,3,84,3
