Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.96875,21,1,1,0
2,0.0,3.1640625,21,1,1,2
3,0.0,3.1640625,21,1,1,2
4,0.0,3.1640625,21,1,1,2
5,0.0,3.1640625,21,1,1,2
6,0.0,3.1640625,21,1,1,2
7,0.0,3.1640625,21,1,1,2
8,0.0,3.1640625,21,1,1,2
9,0.0,3.1640625,21,1,1,2
10,0.0,3.1640625,21,1,1,2
11,0.0,3.1640625,21,1,1,2
12,0.0,3.1640625,21,1,1,2
13,0.0,3.1640625,21,1,1,2
14,0.0,3.1640625,21,1,1,2
15,0.0,3.1640625,21,1,1,2
16,0.0,3.1640625,21,1,1,2
17,0.0,3.1640625,21,1,1,2
18,0.0,3.1640625,21,1,1,2
19,0.0,3.1640625,21,1,1,2
20,0.0,3.1640625,21,1,1,2
21,0.0,3.1640625,21,1,1,2
