Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,2.0859375,[6],1,0,26,0
2,325.2,250.09375,[6],47,39,32,0
3,271.3,347.4765625,[6],47,39,32,0
4,185.5,427.921875,[6],47,39,32,0
5,467.7,677.203125,[6],47,39,32,0
6,693.6,692.1484375,[6],47,39,32,0
7,599.9,711.625,[6],47,39,32,0
8,846.1,754.421875,[6],47,39,32,0
9,906.6,792.73828125,[6],47,39,32,0
10,973.2,796.8671875,[6],47,39,32,0
11,985.3,814.7578125,[6],47,39,32,0
12,1297.4,842.70703125,[6],47,39,32,0
13,744.9,845.55078125,[6],47,39,32,0
14,1320.1,849.3359375,[6],47,39,32,0
15,1172.7,849.8828125,[6],47,39,32,0
16,1022.1,841.80078125,[6],47,39,32,0
17,896.0,842.15625,[6],47,39,32,0
18,1281.2,846.58203125,[6],47,39,32,0
19,1494.3,862.16015625,[6],47,39,32,0
20,1479.3,879.765625,[6],47,39,32,0
21,971.1,884.109375,[6],47,39,32,0
22,998.2,898.21875,[6],47,39,32,0
23,1345.2,915.4375,[6],47,39,32,0
24,1662.7,934.796875,[6],47,39,32,0
25,833.3,937.4375,[6],47,39,32,0
26,1385.1,956.32421875,[6],47,39,32,0
27,1842.3,959.1796875,[6],47,39,32,0
28,854.5,967.32421875,[6],47,39,32,0
29,2046.4,967.44921875,[6],47,39,32,0
30,1077.7,968.21484375,[6],47,39,32,0
31,1938.6,968.28515625,[6],47,39,32,0
32,939.7,968.8359375,[6],47,39,32,0
33,1680.1,968.96484375,[6],47,39,32,0
34,1504.3,969.36328125,[6],47,39,32,0
35,1483.7,969.4375,[6],47,39,32,0
36,1687.6,970.0234375,[6],47,39,32,0
37,1470.1,970.0234375,[6],47,39,32,0
38,1668.3,970.5234375,[6],47,39,32,0
39,1255.9,970.5234375,[6],47,39,32,0
40,1983.1,977.42578125,[6],47,39,32,0
41,946.9,978.0,[6],47,39,32,0
42,2264.0,995.5390625,[6],47,39,32,0
43,979.9,997.35546875,[6],47,39,32,0
44,2267.3,1013.5,[6],47,39,32,0
45,1001.3,1015.16015625,[6],47,39,32,0
46,2114.6,1015.18359375,[6],47,39,32,0
47,1038.0,1018.23828125,[6],47,39,32,0
48,2252.2,1018.43359375,[6],47,39,32,0
49,714.0,1019.0390625,[6],47,39,32,0
50,2266.0,1019.05859375,[6],47,39,32,0
51,953.9,1019.34765625,[6],47,39,32,0
52,2246.1,1019.34765625,[6],47,39,32,0
53,904.3,1027.875,[6],47,39,32,0
54,2171.3,1027.875,[6],47,39,32,0
55,1101.2,1028.0546875,[6],47,39,32,0
56,1849.2,1028.203125,[6],47,39,32,0
57,1087.6,1029.08203125,[6],47,39,32,0
58,2124.3,1033.0625,[6],47,39,32,0
59,1123.9,1033.26953125,[6],47,39,32,0
60,2264.4,1048.0625,[6],47,39,32,0
61,933.4,1050.88671875,[6],47,39,32,0
62,2275.7,1067.14453125,[6],47,39,32,0
63,944.2,1068.25,[6],47,39,32,0
64,2304.9,1068.5625,[6],47,39,32,0
65,1099.2,1085.296875,[6],47,39,32,0
66,1830.4,1080.109375,[6],47,39,32,0
67,1987.7,1080.109375,[6],47,39,32,0
68,1175.6,1080.609375,[6],47,39,32,0
69,2267.9,1080.609375,[6],47,39,32,0
70,553.5,1080.83203125,[6],47,39,32,0
71,2298.3,1080.83203125,[6],47,39,32,0
72,1513.0,1089.13671875,[6],47,39,32,0
73,137.2,1114.109375,[6],47,39,32,0
74,1447.1,1150.27734375,[6],47,39,32,0
75,2255.9,1145.40234375,[6],47,39,32,0
76,968.0,1163.51171875,[6],47,39,32,0
77,2273.9,1180.19140625,[6],47,39,32,0
78,1133.5,1190.06640625,[6],47,39,32,0
79,2299.6,1190.06640625,[6],47,39,32,0
80,1696.4,1197.1015625,[6],47,39,32,0
81,1714.1,1207.27734375,[6],47,39,32,0
82,2255.4,1221.62890625,[6],47,39,32,0
83,1281.2,1222.72265625,[6],47,39,32,0
84,2276.0,1235.46484375,[6],47,39,32,0
85,1189.0,1239.41015625,[6],47,39,32,0
86,2288.6,1251.19140625,[6],47,39,32,0
87,1330.7,1251.91015625,[6],47,39,32,0
88,2042.8,1257.70703125,[6],47,39,32,0
89,1764.5,1269.328125,[6],47,39,32,0
90,1001.6,1274.57421875,[6],47,39,32,0
91,2251.6,1278.7109375,[6],47,39,32,0
92,1159.3,1279.9765625,[6],47,39,32,0
93,835.0,1288.6484375,[6],47,39,32,0
94,2257.4,1289.6171875,[6],47,39,32,0
95,1608.7,1290.01171875,[6],47,39,32,0
96,1278.6,1290.08203125,[6],47,39,32,0
97,2258.3,1290.08203125,[6],47,39,32,0
98,1339.7,1290.08203125,[6],47,39,32,0
99,1898.2,1290.10546875,[6],47,39,32,0
100,2116.2,1290.98046875,[6],47,39,32,0
101,1145.0,1299.62890625,[6],47,39,32,0
102,2268.2,1299.62890625,[6],47,39,32,0
103,991.9,1299.62890625,[6],47,39,32,0
104,2286.4,1299.62890625,[6],47,39,32,0
105,1312.1,1299.73046875,[6],47,39,32,0
106,1888.4,1299.84375,[6],47,39,32,0
107,1666.8,1299.84375,[6],47,39,32,0
108,1418.3,1299.91015625,[6],47,39,32,0
109,2262.3,1299.92578125,[6],47,39,32,0
110,1149.7,1299.92578125,[6],47,39,32,0
111,2015.9,1299.92578125,[6],47,39,32,0
112,2247.2,1299.92578125,[6],47,39,32,0
113,994.1,1299.9765625,[6],47,39,32,0
114,2272.2,1299.9765625,[6],47,39,32,0
115,904.7,1299.98046875,[6],47,39,32,0
116,2280.0,1299.98046875,[6],47,39,32,0
117,919.1,1299.98046875,[6],47,39,32,0
118,2282.9,1300.0078125,[6],47,39,32,0
119,931.0,1300.015625,[6],47,39,32,0
120,2238.0,1300.03125,[6],47,39,32,0
121,1515.2,1300.03125,[6],47,39,32,0
122,1658.0,1312.22265625,[6],47,39,32,0
123,1834.5,1312.43359375,[6],47,39,32,0
124,1336.8,1312.51953125,[6],47,39,32,0
125,1796.8,1312.51953125,[6],47,39,32,0
126,1505.2,1312.51953125,[6],47,39,32,0
127,1768.3,1312.51953125,[6],47,39,32,0
128,1484.7,1312.5625,[6],47,39,32,0
129,1846.1,1312.6328125,[6],47,39,32,0
130,1435.8,1312.6328125,[6],47,39,32,0
131,2068.1,1312.65625,[6],47,39,32,0
132,1111.7,1312.7109375,[6],47,39,32,0
133,2261.6,1312.7109375,[6],47,39,32,0
134,1033.6,1312.7109375,[6],47,39,32,0
135,1971.6,1312.73046875,[6],47,39,32,0
136,1587.4,1312.73046875,[6],47,39,32,0
137,1644.5,1312.73046875,[6],47,39,32,0
138,1541.0,1312.76953125,[6],47,39,32,0
139,1643.7,1324.16015625,[6],47,39,32,0
140,1633.9,1324.46875,[6],47,39,32,0
141,1459.9,1336.66015625,[6],47,39,32,0
142,1809.6,1336.66796875,[6],47,39,32,0
143,1265.8,1371.93359375,[6],47,39,32,0
144,2259.1,1371.9921875,[6],47,39,32,0
145,812.2,1371.9921875,[6],47,39,32,0
146,2273.4,1371.9921875,[6],47,39,32,0
147,908.9,1371.9921875,[6],47,39,32,0
148,2274.2,1372.05078125,[6],47,39,32,0
149,930.2,1372.05078125,[6],47,39,32,0
150,2278.4,1372.05078125,[6],47,39,32,0
151,981.6,1372.05078125,[6],47,39,32,0
152,2198.0,1372.05078125,[6],47,39,32,0
153,967.8,1372.05078125,[6],47,39,32,0
154,2258.9,1372.05078125,[6],47,39,32,0
155,1160.1,1372.05078125,[6],47,39,32,0
156,1987.9,1372.05078125,[6],47,39,32,0
157,1365.5,1372.05078125,[6],47,39,32,0
158,1832.1,1372.05078125,[6],47,39,32,0
159,1788.9,1372.05078125,[6],47,39,32,0
160,1425.3,1380.8125,[6],47,39,32,0
161,2216.9,1380.8125,[6],47,39,32,0
162,919.8,1399.77734375,[6],47,39,32,0
163,2265.8,1399.77734375,[6],47,39,32,0
164,947.7,1413.65625,[6],47,39,32,0
165,2214.4,1422.14453125,[6],47,39,32,0
166,1913.4,1422.14453125,[6],47,39,32,0
167,1180.6,1440.3203125,[6],47,39,32,0
168,2110.0,1440.3203125,[6],47,39,32,0
169,974.7,1440.5546875,[6],47,39,32,0
170,2255.2,1440.5546875,[6],47,39,32,0
