Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.578125,4,1,1,0
2,416.7,292.20703125,4,47,39,20
3,209.4,370.765625,4,47,39,20
4,214.5,467.90234375,4,47,39,20
5,862.0,575.73046875,4,47,39,20
6,172.5,718.84765625,4,47,39,20
7,835.0,769.76171875,4,47,39,20
8,482.9,828.078125,4,47,39,20
9,896.4,853.00390625,4,47,39,20
10,905.0,892.18359375,4,47,39,20
11,824.4,916.82421875,4,47,39,20
12,1049.0,917.83984375,4,47,39,20
13,1176.4,941.90625,4,47,39,20
14,1385.7,969.83984375,4,47,39,20
15,831.5,993.0,4,47,39,20
16,963.1,993.3984375,4,47,39,20
17,1265.9,1011.546875,4,47,39,20
18,788.2,1018.5234375,4,47,39,20
19,1225.1,1018.7265625,4,47,39,20
20,1194.2,1023.00390625,4,47,39,20
21,1025.5,1023.27734375,4,47,39,20
22,889.9,1025.00390625,4,47,39,20
23,986.5,1026.95703125,4,47,39,20
24,1449.5,1035.3984375,4,47,39,20
25,1567.2,1050.3359375,4,47,39,20
26,906.1,1051.6015625,4,47,39,20
27,877.0,1058.921875,4,47,39,20
28,2129.1,1079.52734375,4,47,39,20
29,737.1,1087.47265625,4,47,39,20
30,881.9,1107.90234375,4,47,39,20
31,1274.7,1106.4375,4,47,39,20
32,1520.6,1106.65234375,4,47,39,20
33,899.1,1107.796875,4,47,39,20
34,1051.5,1107.796875,4,47,39,20
35,2046.2,1105.109375,4,47,39,20
36,899.0,1104.33984375,4,47,39,20
37,1138.2,1105.3203125,4,47,39,20
38,1897.6,1103.80078125,4,47,39,20
39,841.3,1103.0859375,4,47,39,20
40,2005.8,1108.16015625,4,47,39,20
41,1058.3,1107.546875,4,47,39,20
42,1956.3,1124.56640625,4,47,39,20
43,1223.9,1127.54296875,4,47,39,20
44,822.0,1142.7890625,4,47,39,20
45,2270.3,1161.03515625,4,47,39,20
46,889.2,1163.67578125,4,47,39,20
47,1968.2,1178.98046875,4,47,39,20
48,1225.9,1182.40234375,4,47,39,20
49,885.0,1182.40625,4,47,39,20
50,2033.0,1182.6328125,4,47,39,20
51,910.0,1181.05859375,4,47,39,20
52,1903.7,1181.15234375,4,47,39,20
53,1241.7,1182.01953125,4,47,39,20
54,1188.0,1182.01953125,4,47,39,20
55,1907.5,1181.85546875,4,47,39,20
56,583.1,1182.6328125,4,47,39,20
57,2096.1,1182.76953125,4,47,39,20
58,1038.4,1186.64453125,4,47,39,20
59,2001.0,1189.84765625,4,47,39,20
60,1111.4,1193.3984375,4,47,39,20
61,1600.8,1211.75,4,47,39,20
62,1540.2,1215.921875,4,47,39,20
63,1941.4,1230.46484375,4,47,39,20
64,1221.9,1232.32421875,4,47,39,20
65,2262.5,1248.73046875,4,47,39,20
66,827.3,1256.7578125,4,47,39,20
67,2264.5,1257.4296875,4,47,39,20
68,788.5,1259.41015625,4,47,39,20
69,2266.0,1259.41015625,4,47,39,20
70,682.9,1259.69140625,4,47,39,20
71,2276.2,1259.69140625,4,47,39,20
72,1118.7,1259.69140625,4,47,39,20
73,2075.0,1260.53125,4,47,39,20
74,763.3,1260.6328125,4,47,39,20
75,2282.9,1260.6328125,4,47,39,20
76,1662.2,1260.6328125,4,47,39,20
77,1242.8,1260.9921875,4,47,39,20
78,2250.6,1260.99609375,4,47,39,20
79,629.1,1261.04296875,4,47,39,20
80,2282.8,1268.265625,4,47,39,20
81,1703.0,1268.265625,4,47,39,20
82,1418.5,1270.3359375,4,47,39,20
83,1976.3,1273.69140625,4,47,39,20
84,1079.0,1274.875,4,47,39,20
85,2262.4,1274.875,4,47,39,20
86,1035.9,1274.9765625,4,47,39,20
87,1904.8,1275.71484375,4,47,39,20
88,2240.5,1275.71484375,4,47,39,20
89,814.4,1276.01953125,4,47,39,20
90,2283.1,1276.01953125,4,47,39,20
91,930.2,1276.01953125,4,47,39,20
92,2157.5,1276.75390625,4,47,39,20
93,2063.8,1276.7578125,4,47,39,20
94,1076.1,1276.828125,4,47,39,20
95,2267.4,1276.828125,4,47,39,20
96,765.9,1276.828125,4,47,39,20
97,2167.8,1277.28125,4,47,39,20
98,1574.8,1277.296875,4,47,39,20
99,155.6,1285.859375,4,47,39,20
100,2012.5,1320.30078125,4,47,39,20
101,2247.5,1314.8671875,4,47,39,20
102,818.3,1314.87890625,4,47,39,20
103,2275.9,1314.87890625,4,47,39,20
104,821.4,1315.21484375,4,47,39,20
105,2286.9,1315.21484375,4,47,39,20
106,1277.9,1315.21875,4,47,39,20
107,1728.2,1315.21875,4,47,39,20
108,1841.2,1315.21875,4,47,39,20
109,1332.6,1315.21875,4,47,39,20
110,2017.3,1315.21875,4,47,39,20
111,1806.9,1315.21875,4,47,39,20
112,1299.8,1315.21875,4,47,39,20
113,2184.7,1315.42578125,4,47,39,20
114,1103.1,1315.42578125,4,47,39,20
115,2269.9,1315.42578125,4,47,39,20
116,1204.1,1315.42578125,4,47,39,20
117,1972.5,1315.53125,4,47,39,20
118,1475.3,1315.53125,4,47,39,20
119,1757.9,1315.53125,4,47,39,20
120,1736.6,1315.53125,4,47,39,20
121,1913.2,1315.609375,4,47,39,20
122,379.1,1326.50390625,4,47,39,20
123,2301.0,1326.515625,4,47,39,20
124,2190.8,1326.51953125,4,47,39,20
125,104.7,1326.875,4,47,39,20
126,391.9,1572.07421875,4,47,39,20
127,2271.8,1572.5703125,4,47,39,20
128,2003.1,1569.11328125,4,47,39,20
129,120.7,1572.0078125,4,47,39,20
130,1164.0,1602.796875,4,47,39,20
131,2256.9,1602.796875,4,47,39,20
132,1394.8,1589.0390625,4,47,39,20
133,104.8,1589.2734375,4,47,39,20
134,332.3,1811.08984375,4,47,39,20
135,1654.9,1900.44921875,4,47,39,20
136,2251.1,1929.32421875,4,47,39,20
137,1126.5,1933.01171875,4,47,39,20
138,371.0,1953.390625,4,47,39,20
139,2299.1,1953.390625,4,47,39,20
140,2225.9,1985.7734375,4,47,39,20
141,1178.3,1981.375,4,47,39,20
142,1534.5,1982.5078125,4,47,39,20
143,2251.7,2003.57421875,4,47,39,20
144,2254.0,2003.57421875,4,47,39,20
145,132.6,2003.59375,4,47,39,20
146,2240.5,2003.7890625,4,47,39,20
147,2232.2,2028.03125,4,47,39,20
148,1050.8,2028.2890625,4,47,39,20
149,2002.3,2029.61328125,4,47,39,20
150,2240.5,2042.51953125,4,47,39,20
151,2114.1,2042.51953125,4,47,39,20
152,398.9,2059.328125,4,47,39,20
153,2286.7,2081.08984375,4,47,39,20
154,2239.5,2081.08984375,4,47,39,20
155,1435.8,2077.6796875,4,47,39,20
156,2249.3,2073.328125,4,47,39,20
157,2237.7,2073.328125,4,47,39,20
158,1114.5,2073.5859375,4,47,39,20
159,2211.4,2073.5859375,4,47,39,20
160,2237.0,2073.5859375,4,47,39,20
161,2033.4,2074.6015625,4,47,39,20
162,407.8,2075.1796875,4,47,39,20
163,2283.2,2075.1796875,4,47,39,20
164,2244.3,2075.1796875,4,47,39,20
165,1264.0,2077.015625,4,47,39,20
166,100.7,2071.29296875,4,47,39,20
167,1631.7,2071.29296875,4,47,39,20
168,2254.0,2071.29296875,4,47,39,20
169,2012.3,2072.984375,4,47,39,20
170,99.7,2072.984375,4,47,39,20
171,1613.1,2072.984375,4,47,39,20
172,2228.1,2073.01171875,4,47,39,20
173,2261.8,2073.01171875,4,47,39,20
174,349.9,2073.1484375,4,47,39,20
175,225.3,2073.15234375,4,47,39,20
176,2303.2,2073.17578125,4,47,39,20
177,2228.2,2073.17578125,4,47,39,20
178,1149.3,2063.08984375,4,47,39,20
179,99.6,2063.59765625,4,47,39,20
180,277.9,2252.41796875,4,47,39,20
181,99.6,2257.15625,4,47,39,20
182,161.4,2291.55859375,4,47,39,20
183,1140.1,2438.01953125,4,47,39,20
184,2271.4,2606.75390625,4,47,39,20
185,2268.3,2606.75390625,4,47,39,20
186,212.3,2610.65625,4,47,39,20
187,128.7,2610.8125,4,47,39,20
188,99.7,2611.04296875,4,47,39,20
189,1140.3,2619.4375,4,47,39,20
190,2269.9,2718.28515625,4,47,39,20
191,2246.5,2720.578125,4,47,39,20
192,1632.9,2716.3671875,4,47,39,20
193,101.7,2716.3671875,4,47,39,20
194,150.6,2738.5859375,4,47,39,20
195,99.7,2738.5859375,4,47,39,20
196,2194.6,2734.47265625,4,47,39,20
197,2254.0,2826.08984375,4,47,39,20
198,1910.6,2829.89453125,4,47,39,20
199,99.7,2829.89453125,4,47,39,20
200,1354.8,2828.91015625,4,47,39,20
201,2267.1,2871.83984375,4,47,39,20
202,2248.9,2871.83984375,4,47,39,20
203,2040.4,2867.0859375,4,47,39,20
204,121.7,2869.07421875,4,47,39,20
205,976.0,2863.15234375,4,47,39,20
206,2271.3,2908.59375,4,47,39,20
207,2248.9,2908.59375,4,47,39,20
208,1860.2,2908.83203125,4,47,39,20
209,99.7,2908.83203125,4,47,39,20
210,132.6,2905.0390625,4,47,39,20
211,99.7,2905.0390625,4,47,39,20
212,1955.8,2900.80078125,4,47,39,20
213,2247.2,2979.47265625,4,47,39,20
214,2281.0,2982.421875,4,47,39,20
215,651.9,2982.4609375,4,47,39,20
216,324.0,2973.73828125,4,47,39,20
217,2301.4,2975.07421875,4,47,39,20
218,2234.1,3014.86328125,4,47,39,20
219,2282.3,3015.36328125,4,47,39,20
220,99.8,3015.484375,4,47,39,20
221,1388.1,3009.96875,4,47,39,20
222,2249.5,3043.421875,4,47,39,20
223,2262.8,3043.421875,4,47,39,20
224,1767.4,3038.75390625,4,47,39,20
225,98.6,3038.75390625,4,47,39,20
226,342.7,3046.71484375,4,47,39,20
227,2299.9,3047.265625,4,47,39,20
228,2225.1,3089.43359375,4,47,39,20
229,2279.7,3089.43359375,4,47,39,20
230,880.3,3089.53515625,4,47,39,20
231,98.7,3089.73046875,4,47,39,20
232,1559.1,3094.04296875,4,47,39,20
233,2249.9,3107.05078125,4,47,39,20
234,2276.8,3107.05078125,4,47,39,20
235,1028.7,3107.1015625,4,47,39,20
236,292.2,3104.0078125,4,47,39,20
237,2300.7,3104.09765625,4,47,39,20
238,2238.1,3163.9375,4,47,39,20
239,2287.4,3166.734375,4,47,39,20
240,813.4,3166.734375,4,47,39,20
241,99.7,3166.734375,4,47,39,20
242,2118.7,3155.0234375,4,47,39,20
243,2243.1,3199.64453125,4,47,39,20
244,2287.3,3202.55859375,4,47,39,20
245,989.8,3182.390625,4,47,39,20
246,98.8,3186.4765625,4,47,39,20
247,130.6,3188.65234375,4,47,39,20
248,99.7,3192.859375,4,47,39,20
249,2148.3,3197.9140625,4,47,39,20
250,2246.5,3290.1953125,4,47,39,20
251,2278.3,3290.1953125,4,47,39,20
252,679.9,3290.1953125,4,47,39,20
253,100.7,3290.1953125,4,47,39,20
254,2095.7,3293.70703125,4,47,39,20
255,2246.5,3339.9453125,4,47,39,20
256,2264.9,3339.9453125,4,47,39,20
257,1831.5,3339.9453125,4,47,39,20
258,99.8,3339.9453125,4,47,39,20
259,1355.8,3342.44921875,4,47,39,20
260,2265.0,3384.8671875,4,47,39,20
261,2263.3,3384.8671875,4,47,39,20
262,2098.8,3387.890625,4,47,39,20
263,98.8,3387.890625,4,47,39,20
264,204.6,3440.94921875,4,47,39,20
265,176.6,3536.82421875,4,47,39,20
266,248.1,3727.546875,4,47,39,20
267,292.3,3859.02734375,4,47,39,20
268,256.4,4184.59765625,4,47,39,20
269,99.8,4184.59765625,4,47,39,20
270,258.4,4209.984375,4,47,39,20
271,295.3,4429.04296875,4,47,39,20
272,99.8,4429.04296875,4,47,39,20
273,279.4,4431.8984375,4,47,39,20
274,1075.3,4682.81640625,4,47,39,20
275,2273.0,4867.1796875,4,47,39,20
276,2275.3,5236.08203125,4,47,39,20
277,2197.2,5239.63671875,4,47,39,20
278,100.8,5240.9453125,4,47,39,20
279,1817.9,5257.6953125,4,47,39,20
280,2256.3,5257.890625,4,47,39,20
281,2244.5,5257.890625,4,47,39,20
282,2288.3,5257.890625,4,47,39,20
283,2217.3,5258.09375,4,47,39,20
284,102.8,5258.09375,4,47,39,20
285,2092.5,5258.09375,4,47,39,20
286,2248.1,5258.09375,4,47,39,20
287,2261.4,5258.09375,4,47,39,20
288,2293.9,5258.09375,4,47,39,20
289,1168.6,5230.734375,4,47,39,20
290,327.2,5230.76953125,4,47,40,20
291,201.5,5231.34765625,4,47,40,20
292,156.7,5231.25390625,4,47,40,20
293,185.5,5208.20703125,4,47,40,20
294,161.5,5107.01953125,4,47,40,20
295,147.7,5052.91796875,4,47,40,20
296,221.5,4954.55859375,4,47,40,20
