Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.515625,19,1,1,2
2,383.6,278.16796875,19,47,39,20
3,283.1,374.734375,19,47,39,20
4,169.6,427.59765625,19,47,39,20
5,253.3,681.5390625,19,47,39,20
6,963.9,701.91015625,19,47,39,20
7,684.8,722.3984375,19,47,39,20
8,686.3,741.453125,19,47,39,20
9,879.5,763.546875,19,47,39,20
10,1355.3,799.859375,19,47,39,20
11,931.8,823.375,19,47,39,20
12,713.7,825.65234375,19,47,39,20
13,1322.8,850.44140625,19,47,39,20
14,593.6,855.49609375,19,47,39,20
15,1176.3,857.56640625,19,47,39,20
16,1355.6,859.02734375,19,47,39,20
17,901.2,860.91015625,19,47,39,20
18,944.8,861.37890625,19,47,39,20
19,883.9,864.984375,19,47,39,20
20,1569.1,881.1328125,19,47,39,20
21,1440.7,898.54296875,19,47,39,20
22,926.9,900.7265625,19,47,39,20
23,1016.4,917.45703125,19,47,39,20
24,1292.0,934.89453125,19,47,39,20
25,1813.8,953.27734375,19,47,39,20
