Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.515625,15,1,1,0
2,322.1,207.80859375,15,47,39,20
3,308.2,348.09765625,15,47,39,20
4,174.6,442.41015625,15,47,39,20
5,440.9,597.96875,15,47,39,20
6,624.5,622.078125,15,47,39,20
7,168.4,729.05078125,15,47,39,20
8,135.5,788.37109375,15,47,39,20
9,115.5,865.05859375,15,47,39,20
10,770.8,1055.84375,15,47,39,20
11,1238.5,1073.48046875,15,47,39,20
12,926.9,1104.33203125,15,47,39,20
13,897.9,1104.33203125,15,47,39,20
14,1066.9,1125.42578125,15,47,39,20
15,1072.0,1145.73046875,15,47,39,20
16,1709.9,1170.3125,15,47,39,20
17,1155.2,1193.39453125,15,47,39,20
18,639.6,1196.36328125,15,47,39,20
19,1724.6,1215.91015625,15,47,39,20
20,1104.4,1243.5,15,47,39,20
21,1475.3,1246.72265625,15,47,39,20
22,1441.3,1267.87109375,15,47,39,20
23,1057.1,1268.2265625,15,47,39,20
24,1493.1,1271.1328125,15,47,39,20
25,1338.7,1271.92578125,15,47,39,20
26,875.1,1272.30859375,15,47,39,20
27,1333.6,1272.30859375,15,47,39,20
28,1765.6,1273.05859375,15,47,39,20
29,1361.2,1273.16796875,15,47,39,20
30,1749.2,1274.80859375,15,47,39,20
31,903.9,1282.19921875,15,47,39,20
32,900.4,1278.9765625,15,47,39,20
33,2188.0,1296.09765625,15,47,39,20
34,984.7,1309.2265625,15,47,39,20
35,792.8,1309.484375,15,47,39,20
36,1908.3,1322.53125,15,47,39,20
37,988.6,1336.94921875,15,47,39,20
38,2120.7,1337.19921875,15,47,39,20
39,817.8,1339.60546875,15,47,39,20
40,1688.2,1359.8671875,15,47,39,20
41,1440.0,1358.84375,15,47,39,20
42,883.6,1356.2421875,15,47,39,20
43,1387.2,1356.30078125,15,47,39,20
44,1706.6,1353.55078125,15,47,39,20
45,967.2,1350.8984375,15,47,39,20
46,1850.2,1351.03125,15,47,39,20
47,1330.7,1348.2578125,15,47,39,20
48,1094.0,1348.26171875,15,47,39,20
49,2072.4,1346.26171875,15,47,39,20
50,905.8,1343.9140625,15,47,39,20
51,2255.7,1343.9140625,15,47,39,20
52,944.2,1341.91015625,15,47,39,20
53,2250.3,1355.7890625,15,47,39,20
54,946.4,1363.5390625,15,47,39,20
55,1388.4,1374.39453125,15,47,39,20
56,1748.1,1377.9765625,15,47,39,20
57,940.5,1378.48046875,15,47,39,20
58,2260.8,1378.484375,15,47,39,20
59,903.5,1378.76953125,15,47,39,20
60,1624.9,1379.26953125,15,47,39,20
61,1481.4,1379.6171875,15,47,39,20
62,1023.2,1379.6171875,15,47,39,20
63,2120.3,1380.23046875,15,47,39,20
