Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.58203125,11,1,0,1
2,368.7,226.3515625,11,47,39,20
3,254.3,376.23828125,11,47,39,20
4,342.1,481.84375,11,47,39,20
5,386.1,503.52734375,11,47,39,20
6,753.1,533.35546875,11,47,39,20
7,855.1,573.92578125,11,47,39,20
8,802.5,595.58984375,11,47,39,20
9,881.9,624.5078125,11,47,39,20
10,793.1,648.234375,11,47,39,20
11,597.5,651.87109375,11,47,39,20
12,1010.5,668.98046875,11,47,39,20
13,1044.3,669.32421875,11,47,39,20
14,944.7,669.6953125,11,47,39,20
15,908.1,670.33984375,11,47,39,20
16,925.7,670.609375,11,47,39,20
17,1119.1,672.9375,11,47,39,20
18,1170.1,689.4765625,11,47,39,20
19,1361.6,713.67578125,11,47,39,20
20,844.8,718.1640625,11,47,39,20
21,804.2,739.7109375,11,47,39,20
22,1341.4,755.3125,11,47,39,20
23,1215.0,759.69921875,11,47,40,20
