Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,0.5625,17,1,0,1
2,125.9,62.01171875,17,34,2,5
3,87.9,78.25,17,34,2,5
4,89.9,83.24609375,17,36,2,5
5,86.9,86.671875,17,36,2,5
6,91.9,90.68359375,17,36,2,5
7,82.9,91.8984375,17,36,2,5
8,87.9,93.2265625,17,36,2,5
9,87.9,95.24609375,17,36,2,5
10,89.9,99.22265625,17,36,2,5
11,107.9,85.578125,17,36,2,5
12,143.9,95.93359375,17,36,2,5
13,120.9,102.53515625,17,37,2,5
14,102.9,112.44921875,17,37,2,5
15,89.9,113.390625,17,37,2,5
16,84.9,116.4453125,17,37,2,5
17,83.9,117.04296875,17,37,2,5
18,88.9,118.5078125,17,37,2,5
19,81.9,118.94140625,17,37,2,5
20,84.9,119.1015625,17,37,2,5
21,88.9,119.57421875,17,37,2,5
22,87.9,119.57421875,17,37,2,5
23,97.9,120.5703125,17,37,2,5
24,142.9,109.859375,17,37,2,5
25,155.9,115.1953125,17,37,2,5
26,334.7,106.93359375,17,38,2,5
27,372.7,108.58203125,17,38,2,5
28,337.7,111.41015625,17,38,2,5
29,342.7,111.48828125,17,38,2,5
30,304.7,111.26171875,17,38,2,5
31,270.7,117.1640625,17,38,2,5
32,283.7,113.94921875,17,38,2,5
33,226.8,113.1796875,17,38,2,5
34,198.8,114.109375,17,38,2,5
35,306.7,114.05859375,17,38,2,5
36,282.7,119.4453125,17,38,2,5
37,182.8,116.2265625,17,38,2,5
38,151.9,121.1953125,17,38,2,5
39,84.9,131.14453125,17,38,2,5
40,122.9,142.02734375,17,38,2,5
41,115.9,144.63671875,17,38,2,5
42,88.9,145.0703125,17,38,2,5
43,102.9,153.484375,17,38,2,5
44,121.9,159.13671875,17,38,2,5
45,122.9,159.5703125,17,38,2,5
46,95.9,159.83203125,17,38,2,5
47,96.9,160.58203125,17,38,2,5
48,77.9,161.0,17,38,2,5
49,81.9,162.30078125,17,38,2,5
50,81.9,145.28515625,17,38,2,5
51,83.9,145.28515625,17,38,2,5
52,90.9,145.27734375,17,38,2,5
53,74.9,145.265625,17,38,2,5
54,84.9,144.0390625,17,38,2,5
55,71.9,144.0390625,17,38,2,5
56,96.9,152.08984375,17,38,2,5
57,108.9,154.8515625,17,38,2,5
58,105.9,149.50390625,17,38,2,5
59,181.8,124.96875,17,38,2,5
60,70.9,126.09765625,17,38,2,5
61,61.9,135.13671875,17,38,2,5
62,186.8,124.50390625,17,38,2,5
63,216.8,120.89453125,17,38,2,5
64,164.9,120.875,17,38,2,5
65,197.8,121.35546875,17,38,2,5
66,248.8,119.57421875,17,38,2,5
67,253.8,116.94921875,17,38,2,5
68,288.8,117.765625,17,38,2,5
69,204.8,119.28125,17,38,2,5
70,347.7,122.390625,17,38,2,5
71,283.7,120.4453125,17,38,2,5
72,280.8,117.80078125,17,38,2,5
73,292.8,123.26953125,17,38,2,5
74,185.8,119.77734375,17,38,2,5
75,87.9,122.86328125,17,38,2,5
76,122.9,138.4921875,17,38,2,5
77,146.9,139.5078125,17,38,2,5
