Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.7734375,22,1,0,0
2,117.9,65.328125,22,23,2,4
3,96.9,73.75,22,23,2,4
4,89.9,80.03125,22,23,2,4
5,87.9,90.078125,22,23,2,4
6,73.9,90.3359375,22,23,2,4
7,71.9,91.01953125,22,23,2,4
8,72.9,91.7734375,22,23,2,4
9,72.9,92.15625,22,23,2,4
10,77.9,95.16015625,22,23,2,4
11,71.9,96.5703125,22,23,2,4
12,80.9,96.98828125,22,23,2,4
13,85.9,97.26171875,22,23,2,4
14,79.9,97.53515625,22,23,2,4
15,107.9,81.59375,22,24,2,4
16,75.9,94.33984375,22,24,2,4
17,136.9,83.625,22,25,2,4
