Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,3.94140625,5,1,0,0
2,118.9,66.875,5,25,2,4
3,72.9,80.57421875,5,25,2,4
4,74.9,85.82421875,5,26,2,4
5,75.9,87.234375,5,26,2,4
6,75.9,93.76171875,5,26,2,4
7,71.9,94.015625,5,26,2,4
8,75.9,95.70703125,5,26,2,4
9,69.9,96.21484375,5,26,2,4
10,75.9,97.9140625,5,27,2,4
11,71.9,98.16015625,5,27,2,4
12,102.9,85.38671875,5,31,2,4
13,75.9,84.07421875,5,31,2,4
14,87.9,88.3046875,5,35,2,4
15,91.9,87.80078125,5,37,2,4
16,76.9,100.4765625,5,37,2,4
17,82.9,103.296875,5,37,2,4
18,72.9,104.12890625,5,37,2,4
19,74.9,106.90234375,5,37,2,4
20,69.9,108.13671875,5,37,2,4
21,75.9,108.6015625,5,37,2,4
22,67.0,108.75,5,37,2,4
23,77.9,109.12890625,5,37,2,4
24,72.0,109.2890625,5,37,2,4
25,77.9,109.33984375,5,37,2,4
26,78.9,109.6953125,5,37,2,4
27,71.9,109.83984375,5,37,2,4
28,120.9,97.9765625,5,37,2,4
29,67.0,99.26171875,5,37,2,4
30,87.9,105.5859375,5,37,2,4
31,197.8,96.5390625,5,37,2,4
32,272.8,107.37109375,5,37,2,4
33,305.7,107.4140625,5,37,2,4
34,242.8,109.078125,5,37,2,4
