Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.703125,21,1,0,0
2,116.9,65.58984375,21,30,2,3
3,90.9,80.125,21,32,2,3
4,81.9,81.11328125,21,32,2,3
5,91.9,88.60546875,21,32,2,3
6,75.9,90.05078125,21,32,2,3
7,91.9,93.41796875,21,33,2,3
8,72.9,93.921875,21,33,2,3
9,74.9,94.1953125,21,35,2,3
10,71.9,94.3046875,21,35,2,3
11,76.9,94.77734375,21,36,2,3
12,73.9,95.01953125,21,36,2,3
13,83.9,95.5390625,21,37,2,3
14,77.9,96.26171875,21,37,2,3
15,202.8,81.9609375,21,37,2,3
16,66.0,90.95703125,21,37,2,3
17,81.9,101.875,21,37,2,3
18,241.8,92.51171875,21,37,2,3
