Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.7734375,0,1,0,1
2,165.9,70.9140625,0,36,2,5
3,111.9,79.62109375,0,36,2,5
4,93.9,90.82421875,0,36,2,5
5,72.9,91.84765625,0,36,2,5
6,76.9,101.03125,0,36,2,5
7,78.9,101.78515625,0,36,2,5
8,75.9,103.015625,0,36,2,5
9,82.9,112.0234375,0,36,2,5
10,71.9,112.515625,0,36,2,5
11,76.9,113.703125,0,36,2,5
12,74.9,114.58984375,0,36,2,5
13,95.9,123.30078125,0,36,2,5
14,78.9,123.5390625,0,36,2,5
15,81.9,124.62109375,0,36,2,5
16,87.9,126.140625,0,36,2,5
17,74.9,126.34765625,0,36,2,5
18,74.9,127.3046875,0,36,2,5
19,85.9,125.19921875,0,36,2,5
