Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.70703125,16,1,0,0
2,90.9,56.91015625,16,23,2,4
3,76.9,61.6796875,16,23,2,4
4,88.9,75.60546875,16,23,2,4
5,69.9,76.5703125,16,23,2,4
6,78.9,77.9765625,16,23,2,4
7,69.9,78.97265625,16,23,2,4
8,78.9,80.55078125,16,25,2,4
9,76.9,81.296875,16,25,2,4
10,77.9,83.09765625,16,25,2,4
11,77.9,86.49609375,16,28,2,4
12,82.9,85.58203125,16,30,2,4
13,85.9,86.95703125,16,30,2,4
14,74.9,87.421875,16,30,2,4
15,93.9,94.6953125,16,30,2,4
16,67.0,95.046875,16,30,2,4
17,75.9,95.5078125,16,32,2,4
18,79.9,95.99609375,16,32,2,4
19,73.9,96.70703125,16,34,2,4
20,69.9,96.70703125,16,34,2,4
