Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,0.3046875,[29],1,1,14,0
2,87.0,14.6484375,[29],1,2,471,0
3,92.9,12.95703125,[29],1,2,867,0
4,92.9,12.95703125,[8],1,2,1098,0
5,97.9,12.95703125,[8],1,2,1129,0
6,93.8,13.92578125,[9],1,2,1427,0
7,97.9,12.95703125,[8],1,2,1524,0
8,97.9,12.95703125,[8],1,2,1575,0
9,98.9,19.921875,[8],1,2,1621,0
10,100.8,22.09375,[8],1,2,1636,0
11,95.9,18.96875,[8],1,2,1737,0
12,99.9,13.34765625,[8],1,2,1761,0
13,99.9,12.95703125,[23],1,2,1764,0
14,99.1,16.046875,[23],1,2,1776,0
15,101.0,13.01953125,[23],1,2,1786,0
16,100.1,15.98828125,[23],1,2,1797,0
17,99.1,12.95703125,[23],1,2,1806,0
18,100.1,12.95703125,[23],1,2,1828,0
19,97.1,15.53125,[23],1,2,1974,0
20,99.9,12.95703125,[23],1,2,2008,0
21,97.1,13.46484375,[23],1,2,2087,0
22,99.1,12.95703125,[23],1,2,2161,0
23,96.1,14.5,[23],1,2,2286,0
24,98.1,12.95703125,[23],1,2,2362,0
25,96.0,16.8203125,[23],1,2,2491,0
26,96.1,14.7578125,[23],1,2,2702,0
27,92.0,21.375,[23],1,2,3014,0
28,88.0,19.0078125,[23],1,2,3496,0
29,83.1,14.93359375,[23],1,2,4157,0
30,73.2,13.15234375,[23],1,2,5082,0
31,54.4,12.95703125,[23],1,2,6642,0
32,61.3,12.95703125,[23],1,2,8278,0
33,65.3,15.38671875,[23],1,2,9615,0
34,73.2,13.37109375,[23],1,2,10740,0
35,52.5,12.95703125,[23],1,2,12261,0
36,49.5,12.95703125,[23],1,2,13965,0
37,62.3,15.4140625,[23],1,2,15455,0
38,72.2,12.95703125,[23],1,2,16509,0
39,55.3,12.95703125,[23],1,2,18087,0
40,73.2,17.078125,[23],1,2,19161,0
41,80.1,16.0625,[23],1,2,19965,0
42,94.1,15.2890625,[23],1,2,20244,0
43,60.3,15.7734375,[23],1,2,21899,0
44,96.0,17.4296875,[23],1,2,22131,0
45,92.0,14.54296875,[23],1,2,22417,0
46,77.2,12.96875,[23],1,2,23349,0
47,76.2,19.328125,[23],1,2,24278,0
48,84.1,13.19921875,[23],1,2,24913,0
49,87.1,12.95703125,[23],1,2,25467,0
50,88.0,12.95703125,[23],1,2,26000,0
51,87.0,12.95703125,[23],1,2,26462,0
52,88.0,12.95703125,[23],1,2,26888,0
53,94.0,19.9140625,[23],1,2,27147,0
54,96.9,15.69921875,[23],1,2,27277,0
55,96.1,14.8125,[23],1,2,27502,0
56,95.0,14.89453125,[23],1,2,27688,0
57,93.1,19.6796875,[23],1,2,27974,0
58,96.9,22.23046875,[23],1,2,28112,0
59,91.0,12.95703125,[23],1,2,28391,0
60,90.1,12.95703125,[23],1,2,28879,0
61,73.2,19.02734375,[23],1,2,29986,0
62,72.2,12.95703125,[23],1,2,31044,0
63,85.2,16.2734375,[23],1,2,31578,0
64,65.2,12.95703125,[23],1,2,32772,0
65,55.4,12.95703125,[20],1,2,34510,0
66,51.4,12.95703125,[21],1,2,36225,0
67,48.5,12.95703125,[21],1,2,37934,0
68,64.2,16.8046875,[21],1,2,39330,0
69,71.2,12.95703125,[21],1,2,40418,0
70,45.5,12.95703125,[21],1,2,42067,0
71,42.5,12.95703125,[21],1,2,44053,0
72,80.1,12.95703125,[21],1,2,44861,0
73,96.1,14.5,[21],1,2,45036,0
74,96.0,22.625,[21],1,2,45194,0
75,95.1,17.9921875,[21],1,2,45370,0
76,95.9,35.27734375,[21],1,2,45504,0
77,99.0,35.73046875,[21],1,2,45562,0
78,100.0,40.46484375,[21],1,2,45569,0
79,97.1,41.36328125,[21],1,2,45649,0
80,99.0,41.08203125,[21],1,2,45705,0
81,100.0,37.3671875,[21],1,2,45709,0
82,98.9,47.109375,[21],1,2,45749,0
83,99.0,46.53125,[21],1,2,45812,0
84,100.0,46.4296875,[21],1,2,45855,0
85,99.1,45.88671875,[21],1,2,45865,0
86,99.0,44.6484375,[21],1,2,45901,0
87,100.0,44.5546875,[21],1,2,45962,0
88,98.9,43.484375,[21],1,2,45968,0
89,100.0,45.28125,[21],1,2,45977,0
90,100.0,45.28125,[21],1,2,45994,0
91,99.0,45.0625,[21],1,2,46027,0
92,97.9,45.03515625,[21],1,2,46168,0
93,98.9,44.6953125,[21],1,2,46271,0
94,66.3,13.984375,[21],1,2,47339,0
95,84.0,19.15234375,[21],1,2,48048,0
96,90.9,12.95703125,[21],1,2,48400,0
97,88.0,15.7734375,[21],1,2,48942,0
98,93.9,16.046875,[21],1,2,49235,0
99,86.1,12.95703125,[20],1,2,49729,0
100,88.0,12.95703125,[20],1,2,50266,0
101,90.0,22.234375,[21],1,2,50710,0
102,93.9,12.95703125,[21],1,2,51010,0
103,92.1,19.8828125,[21],1,2,51261,0
104,94.0,13.76953125,[21],1,2,51563,0
105,84.1,12.95703125,[21],1,2,52131,0
106,83.1,13.46875,[21],1,2,52737,0
107,83.1,12.95703125,[21],1,2,53284,0
108,70.2,18.71484375,[21],1,2,54436,0
109,54.5,12.95703125,[21],1,2,56015,0
110,63.3,13.46875,[21],1,2,57332,0
111,69.2,13.984375,[21],1,2,58876,0
112,78.1,12.95703125,[21],1,2,59737,0
113,95.1,12.95703125,[21],1,2,59953,0
114,95.9,21.4296875,[21],1,2,60129,0
115,62.3,20.23046875,[21],1,2,61443,0
116,69.2,14.890625,[21],1,2,62357,0
117,95.1,12.95703125,[21],1,2,62583,0
118,88.0,13.234375,[21],1,2,63078,0
119,89.0,12.95703125,[21],1,2,63498,0
120,80.1,12.95703125,[21],1,2,64329,0
121,86.1,19.65625,[21],1,2,65081,0
122,94.9,12.95703125,[21],1,2,65417,0
123,94.0,20.6875,[21],1,2,65704,0
124,93.0,14.94140625,[21],1,2,66069,0
125,88.0,15.390625,[21],1,2,66571,0
126,78.1,12.95703125,[21],1,2,67379,0
127,84.1,12.95703125,[21],1,2,67996,0
128,95.1,17.59375,[21],1,2,68220,0
129,95.9,25.703125,[21],1,2,68390,0
130,86.1,20.96484375,[21],1,2,68840,0
131,96.1,12.95703125,[21],1,2,69017,0
132,94.9,12.95703125,[21],1,2,69288,0
133,97.1,13.984375,[21],1,2,69467,0
134,77.1,12.95703125,[21],1,2,70367,0
135,63.3,13.2109375,[21],1,2,71826,0
136,55.4,12.95703125,[21],1,2,73421,0
137,49.4,12.95703125,[21],1,2,74861,0
138,54.4,12.95703125,[21],1,2,76448,0
139,51.4,12.95703125,[21],1,2,78122,0
140,64.3,17.59375,[21],1,2,79256,0
141,68.2,18.04296875,[21],1,2,80627,0
142,60.3,12.9453125,[21],1,2,81895,0
143,43.5,12.9453125,[21],1,2,83650,0
144,80.1,12.9453125,[21],1,2,84437,0
145,90.0,12.984375,[21],1,2,84785,0
146,82.1,15.00390625,[21],1,2,85759,0
147,94.0,14.69921875,[21],1,2,85966,0
148,88.0,12.9453125,[21],1,2,86517,0
149,90.0,19.0390625,[21],1,2,86884,0
150,91.0,12.9453125,[21],1,2,87290,0
