Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,4.06640625,[13],1,1,10,0
2,57.9,17.0234375,[14],1,2,1665,0
3,46.4,17.0234375,[13],1,2,3561,0
4,50.1,17.0234375,[14],1,2,5504,0
5,41.3,17.0234375,[14],1,2,7563,0
6,33.6,17.0234375,[15],1,2,9385,0
7,30.6,17.0234375,[15],1,2,11203,0
8,35.5,17.0234375,[24],1,2,12926,0
9,36.5,17.0234375,[26],1,2,14632,0
10,36.6,17.0234375,[19],1,2,16356,0
11,33.6,17.0234375,[3],1,2,18209,0
12,40.5,17.0234375,[3],1,2,20125,0
13,61.3,18.078125,[3],1,2,21720,0
14,50.4,18.01171875,[3],1,2,23412,0
15,57.4,17.0234375,[3],1,2,25088,0
16,40.5,17.0234375,[21],1,2,27356,0
17,52.4,17.0234375,[21],1,2,29172,0
18,88.0,17.42578125,[21],1,2,29742,0
