Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,4.85546875,[12],1,2,17,0
2,54.3,12.90625,[20],1,2,1528,0
3,38.6,13.57421875,[20],1,2,3261,0
4,47.5,14.6328125,[21],1,2,4775,0
5,44.5,12.90625,[21],1,2,6636,0
6,37.6,12.90625,[20],1,2,8420,0
7,43.5,12.90625,[21],1,2,10087,0
8,42.5,12.90625,[21],1,2,11759,0
9,40.5,12.90625,[21],1,2,13465,0
10,39.6,12.90625,[20],1,2,15167,0
11,37.6,12.90625,[3],1,2,16873,0
12,60.3,15.99609375,[3],1,2,18092,0
13,42.5,12.90625,[3],1,2,19754,0
14,44.5,12.90625,[21],1,2,21401,0
15,59.3,12.90625,[21],1,2,22718,0
16,38.6,13.67578125,[21],1,2,24398,0
17,38.6,12.90625,[21],1,2,26034,0
18,38.6,12.90625,[21],1,2,27745,0
19,33.6,12.90625,[21],1,2,29561,0
20,34.6,12.90625,[21],1,2,31399,0
21,38.6,12.90625,[21],1,2,33148,0
22,44.5,12.90625,[21],1,2,34794,0
23,47.5,12.90625,[20],1,2,36505,0
24,41.5,12.90625,[20],1,2,38191,0
25,42.5,12.90625,[20],1,2,40027,0
26,41.5,12.90625,[21],1,2,41867,0
27,38.6,12.90625,[21],1,2,43506,0
28,67.2,19.828125,[21],1,2,44538,0
29,46.5,14.94921875,[21],1,2,46053,0
30,71.2,22.04296875,[21],1,2,47253,0
31,61.3,18.1015625,[21],1,2,48631,0
32,92.0,12.90625,[21],1,2,49055,0
33,86.1,12.90625,[20],1,2,49675,0
34,90.0,25.41015625,[21],1,2,50176,0
35,86.0,12.90625,[21],1,2,50776,0
36,89.0,13.04296875,[21],1,2,51259,0
37,85.1,15.22265625,[21],1,2,51882,0
38,83.1,12.90625,[21],1,2,52531,0
