Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,3.97265625,[12],1,2,12,0
2,56.2,18.94140625,[15],1,2,1711,0
3,46.4,18.93359375,[15],1,2,3764,0
4,43.4,18.93359375,[15],1,2,5747,0
5,46.4,18.93359375,[15],1,2,7784,0
6,41.4,18.93359375,[9],1,2,9766,0
7,43.4,18.93359375,[15],1,2,11367,0
8,46.4,18.93359375,[14],1,2,12996,0
9,38.5,18.93359375,[14],1,2,14704,0
10,40.4,18.93359375,[15],1,2,16419,0
11,35.5,18.93359375,[12],1,2,18126,0
12,47.4,18.93359375,[0],1,2,19748,0
13,41.5,18.93359375,[0],1,2,21443,0
14,43.5,18.93359375,[0],1,2,23095,0
15,77.1,18.93359375,[0],1,2,23851,0
16,56.4,20.16796875,[0],1,2,25226,0
17,37.6,20.16015625,[0],1,2,26930,0
18,43.5,18.93359375,[0],1,2,28461,0
19,81.1,18.93359375,[0],1,2,29143,0
20,73.2,18.93359375,[0],1,2,30005,0
21,77.1,18.93359375,[0],1,2,30817,0
22,74.2,18.93359375,[0],1,2,31653,0
23,62.3,18.93359375,[0],1,2,32792,0
24,55.4,18.93359375,[20],1,2,34116,0
25,59.3,18.93359375,[21],1,2,35505,0
26,68.2,18.93359375,[21],1,2,36542,0
27,79.1,18.93359375,[21],1,2,37265,0
28,74.1,18.93359375,[21],1,2,38108,0
29,73.2,18.93359375,[21],1,2,38967,0
30,79.1,18.93359375,[21],1,2,39715,0
31,74.2,18.93359375,[21],1,2,40604,0
32,68.2,18.93359375,[21],1,2,41586,0
33,57.4,18.93359375,[21],1,2,42775,0
34,72.2,18.93359375,[21],1,2,43684,0
35,88.0,20.4765625,[21],1,2,44092,0
