Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,1.87109375,[14],1,0,10,0
2,63.2,17.13671875,[14],1,2,1352,0
3,71.1,17.13671875,[14],1,2,2246,0
4,50.3,17.13671875,[14],1,2,3796,0
5,61.2,24.07421875,[12],1,2,5106,0
6,50.4,19.09375,[12],1,2,6680,0
7,38.5,17.13671875,[12],1,2,8432,0
8,41.5,17.13671875,[26],1,2,10090,0
9,39.5,17.13671875,[23],1,2,11807,0
10,40.6,17.13671875,[23],1,2,13475,0
11,36.6,17.13671875,[23],1,2,15203,0
12,38.6,17.13671875,[23],1,2,16886,0
13,49.5,17.13671875,[23],1,2,18490,0
14,47.5,17.13671875,[23],1,2,20081,0
15,41.5,17.13671875,[0],1,2,21797,0
16,48.5,17.13671875,[0],1,2,23403,0
17,43.5,17.13671875,[0],1,2,25046,0
18,40.6,17.13671875,[0],1,2,26740,0
19,40.6,17.13671875,[6],1,2,28436,0
20,42.5,17.13671875,[6],1,2,30070,0
21,55.4,17.13671875,[6],1,2,31541,0
22,47.5,17.13671875,[6],1,2,33165,0
23,43.5,17.13671875,[6],1,2,34792,0
24,34.6,17.13671875,[6],1,2,36542,0
25,33.6,17.13671875,[6],1,2,38332,0
26,39.6,17.13671875,[6],1,2,39974,0
27,54.4,17.13671875,[6],1,2,41494,0
28,58.4,17.203125,[6],1,2,43203,0
29,63.3,17.13671875,[6],1,2,44409,0
30,77.1,17.13671875,[6],1,2,45110,0
31,38.6,17.13671875,[6],1,2,46868,0
32,45.5,17.13671875,[6],1,2,48527,0
33,72.2,17.13671875,[6],1,2,49516,0
34,87.1,17.13671875,[6],1,2,50017,0
35,77.2,17.13671875,[21],1,2,50852,0
36,76.2,17.13671875,[21],1,2,51883,0
37,75.3,17.13671875,[21],1,2,52692,0
38,82.1,17.13671875,[21],1,2,53332,0
