Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,4.78125,[29],1,2,15,0
2,37.5,6.32421875,[29],1,2,2257,0
3,31.5,6.7109375,[30],1,2,4005,0
4,37.5,12.90625,[25],1,2,5723,0
5,36.5,12.90625,[19],1,2,7555,0
6,44.5,12.90625,[21],1,2,9220,0
7,38.5,12.984375,[10],1,2,10886,0
8,38.5,15.96484375,[14],1,2,12576,0
9,53.3,18.671875,[14],1,2,14004,0
10,40.3,18.62890625,[15],1,2,15653,0
11,36.5,13.09375,[26],1,2,17351,0
12,36.5,13.09375,[23],1,2,19043,0
13,51.4,16.3359375,[23],1,2,20597,0
14,46.5,15.68359375,[23],1,2,22203,0
15,38.6,13.765625,[21],1,2,23878,0
16,36.6,13.6953125,[21],1,2,25555,0
17,38.6,13.09375,[21],1,2,27210,0
18,43.6,13.09375,[21],1,2,28782,0
19,36.6,13.09375,[21],1,2,30463,0
20,36.6,13.09375,[21],1,2,32317,0
21,32.6,13.09375,[21],1,2,34059,0
22,33.6,13.09375,[21],1,2,35815,0
23,44.5,15.44921875,[21],1,2,37793,0
24,49.4,16.84765625,[21],1,2,39388,0
25,37.6,16.09765625,[21],1,2,41110,0
26,41.5,13.09375,[21],1,2,42760,0
27,44.5,13.09375,[21],1,2,44294,0
28,34.6,13.09375,[21],1,2,46315,0
29,38.6,13.09375,[21],1,2,48105,0
30,61.4,13.09375,[21],1,2,49211,0
31,76.2,13.09375,[21],1,2,49966,0
32,87.0,20.0546875,[21],1,2,50499,0
33,83.1,23.09375,[21],1,2,51140,0
34,90.0,13.09375,[21],1,2,51505,0
35,88.0,35.30078125,[21],1,2,51907,0
36,93.0,36.71484375,[21],1,2,52240,0
37,93.9,39.03125,[21],1,2,52476,0
38,94.0,40.484375,[21],1,2,52710,0
39,94.9,41.24609375,[21],1,2,52938,0
40,93.0,41.46484375,[21],1,2,53208,0
41,92.0,34.90234375,[21],1,2,53514,0
42,95.9,47.16015625,[21],1,2,53727,0
43,95.0,47.16015625,[21],1,2,53935,0
