Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.6953125,[6],1,0,0,0
2,391.6,223.41796875,"[31, 4, 21]",34,3,16,2
3,99.8,236.48046875,"[31, 4, 21]",34,3,18,2
4,99.8,258.39453125,"[31, 4, 21]",34,3,22,2
5,94.9,273.34765625,"[31, 4, 21]",34,3,28,2
6,98.8,291.91015625,"[31, 4, 21]",34,3,30,2
7,100.8,300.67578125,"[31, 4, 21]",34,3,34,2
8,99.8,309.44140625,"[31, 4, 5]",34,3,38,2
9,99.8,317.94921875,"[31, 4, 5]",34,3,40,2
10,89.9,325.68359375,"[31, 4, 5]",34,3,42,2
11,99.8,334.19140625,"[31, 4, 21]",34,3,46,2
12,100.8,345.40625,"[31, 4, 21]",34,3,47,2
13,98.8,364.9921875,"[31, 4, 21]",34,3,51,2
14,100.8,384.58203125,"[31, 4, 21]",34,3,52,2
15,92.9,397.98828125,"[31, 4, 21]",34,3,56,2
16,100.8,417.58203125,"[31, 4, 21]",34,3,59,2
17,99.8,434.08203125,"[31, 4, 21]",34,3,62,2
18,99.8,447.74609375,"[31, 4, 21]",34,3,64,2
19,99.8,460.63671875,"[31, 4, 21]",34,3,68,2
20,93.9,473.26953125,"[31, 4, 21]",34,3,74,2
21,99.8,495.953125,"[31, 4, 21]",34,3,77,2
22,99.8,516.3203125,"[31, 4, 21]",34,3,79,2
23,99.8,534.3671875,"[31, 4, 21]",34,3,82,2
24,100.8,555.5078125,"[31, 4, 21]",34,3,87,2
25,89.0,577.1640625,"[31, 4, 21]",34,3,92,2
26,99.8,600.875,"[31, 4, 21]",34,3,95,2
27,100.8,626.65625,"[31, 4, 21]",34,3,98,2
28,99.8,651.921875,"[31, 4, 21]",34,3,102,2
29,99.8,677.1875,"[31, 4, 21]",34,3,106,2
30,90.9,699.6171875,"[31, 4, 21]",34,3,109,2
31,98.8,724.109375,"[31, 4, 21]",34,3,113,2
32,100.8,746.79296875,"[31, 4, 21]",34,3,118,2
33,99.8,769.73828125,"[31, 4, 21]",34,3,122,2
34,99.8,794.23046875,"[31, 4, 21]",34,3,125,2
35,94.9,817.43359375,"[31, 4, 21]",34,3,132,2
36,99.8,841.92578125,"[31, 4, 21]",34,3,135,2
37,98.8,865.38671875,"[31, 4, 21]",34,3,140,2
38,100.8,888.07421875,"[31, 4, 21]",34,3,142,2
39,99.8,912.30859375,"[31, 4, 21]",34,3,146,2
40,90.9,934.73828125,"[31, 4, 21]",34,3,152,2
41,99.8,959.48828125,"[31, 4, 21]",34,3,158,2
42,99.8,983.203125,"[31, 4, 21]",34,3,159,2
43,99.8,1008.2109375,"[31, 4, 21]",34,3,162,2
44,99.8,1033.4765625,"[31, 4, 21]",34,3,165,2
45,89.9,1055.6484375,"[31, 4, 21]",34,3,168,2
46,99.8,1079.87890625,"[31, 4, 21]",34,3,169,2
47,100.8,1104.88671875,"[31, 4, 21]",34,3,172,2
48,99.8,1130.15234375,"[31, 4, 21]",34,3,177,2
49,99.8,1154.90234375,"[31, 4, 21]",34,3,183,2
50,89.9,1176.81640625,"[31, 4, 21]",34,3,186,2
51,99.8,1201.05078125,"[31, 4, 21]",34,3,190,2
52,98.8,1224.51171875,"[31, 4, 21]",34,3,193,2
53,100.8,1244.36328125,"[31, 4, 21]",34,3,198,2
54,99.8,1268.33984375,"[31, 4, 21]",34,3,200,2
55,87.0,1288.96484375,"[31, 4, 21]",34,3,203,2
56,98.8,1312.94140625,"[31, 4, 21]",34,3,211,2
57,87.0,1334.33984375,"[31, 4, 21]",34,3,290,2
58,99.8,1358.57421875,"[31, 4, 21]",34,3,292,2
59,100.8,1383.06640625,"[31, 4, 21]",34,3,296,2
60,90.9,1404.72265625,"[31, 4, 21]",34,3,300,2
61,99.8,78.26953125,"[31, 4, 21]",34,1,305,2
62,97.9,78.36328125,[0],32,2,13,0
63,99.0,78.84765625,[0],32,2,15,0
64,100.0,79.109375,[0],32,2,16,0
65,100.0,79.46875,[0],32,2,17,0
66,101.0,79.88671875,[0],32,2,19,0
67,100.0,80.10546875,[0],32,2,21,0
68,100.0,80.29296875,[0],32,2,24,0
69,100.0,80.6484375,[0],32,2,28,0
70,90.1,81.109375,[0],32,2,31,0
71,100.0,81.8984375,[0],32,2,35,0
72,100.0,82.328125,[16],32,2,37,0
73,99.0,82.76953125,[16],32,2,38,0
74,100.0,83.01953125,[16],32,2,39,0
75,101.0,83.12890625,[16],32,2,42,0
76,100.0,83.234375,[0],32,2,44,0
77,100.0,83.3671875,[0],32,2,46,0
78,100.0,83.46484375,[0],32,2,47,0
79,100.0,83.94921875,[0],32,2,50,0
80,99.9,84.328125,[0],32,2,53,0
81,99.0,84.328125,[0],32,2,56,0
82,101.0,84.328125,[0],32,2,59,0
83,100.0,84.53515625,[0],32,2,63,0
84,99.0,84.53515625,[0],32,2,66,0
85,100.0,84.53515625,[0],32,2,68,0
86,100.0,84.65234375,[0],32,2,70,0
87,101.0,84.65234375,[16],32,2,74,0
88,100.0,84.65234375,[0],32,2,76,0
89,100.0,84.65234375,[0],32,2,79,0
90,89.1,84.65234375,[0],32,2,83,0
91,100.0,84.65234375,[0],32,2,88,0
92,100.0,84.78125,[0],32,2,91,0
93,100.0,85.265625,[0],32,2,93,0
94,99.0,85.328125,[0],32,2,95,0
95,101.0,85.3671875,[0],32,2,100,0
96,100.0,85.55859375,[0],32,2,104,0
97,100.0,85.77734375,[0],32,2,109,0
98,99.0,86.046875,[0],32,2,112,0
99,96.0,86.2109375,[0],32,2,116,0
100,99.0,86.8203125,[0],32,2,120,0
101,100.0,87.07421875,[0],32,2,123,0
102,100.0,87.578125,[0],32,2,125,0
103,100.0,87.83203125,[16],32,2,128,0
104,94.0,88.19140625,[16],32,2,129,0
105,99.0,88.62109375,[16],32,2,130,0
106,100.0,88.80078125,[16],32,2,131,0
107,100.0,88.80078125,[16],32,2,135,0
108,100.0,88.96875,[16],32,2,138,0
109,92.0,88.96875,[16],32,2,141,0
110,100.0,88.96875,[16],32,2,144,0
111,100.0,89.05078125,[0],32,2,149,0
112,100.0,89.51953125,[0],32,2,150,0
113,101.0,89.51953125,[0],32,2,151,0
114,94.0,90.0078125,[0],32,2,154,0
115,99.9,90.25,[0],32,2,158,0
116,99.9,90.4765625,[0],32,2,161,0
117,100.0,90.98046875,[0],32,2,165,0
118,100.0,91.49609375,[0],32,2,167,0
119,96.0,91.8046875,[16],32,2,173,0
120,100.0,92.0234375,[16],32,2,174,0
121,100.0,92.66015625,[16],32,2,176,0
122,99.0,93.16015625,[16],32,2,178,0
123,100.0,93.66015625,[16],32,2,182,0
124,97.0,93.9140625,[16],32,2,185,0
125,100.0,94.37890625,[16],32,2,187,0
126,100.9,94.6328125,[16],32,2,189,0
127,99.0,95.62109375,[0],32,2,192,0
128,101.0,95.8359375,[0],32,2,193,0
129,98.0,96.3359375,[0],32,2,196,0
130,100.9,96.59375,[0],32,2,198,0
131,100.0,96.84765625,[16],32,2,203,0
132,100.0,97.3515625,[16],32,2,204,0
133,100.0,97.57421875,[0],32,2,207,0
134,98.0,97.81640625,[0],32,2,209,0
135,100.0,98.07421875,[0],32,2,211,0
136,99.9,98.17578125,[0],32,2,213,0
137,100.0,98.2421875,[0],32,2,217,0
138,99.0,98.2421875,[0],32,2,220,0
