Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.671875,[6],1,0,0,0
2,391.6,223.73828125,"[6, 23, 17]",34,3,19,2
3,94.9,236.171875,"[6, 23, 17]",34,3,22,2
4,100.8,258.0625,"[6, 23, 17]",34,3,23,2
5,99.8,274.046875,"[6, 23, 17]",34,3,24,2
6,99.8,292.609375,"[6, 23, 17]",34,3,27,2
7,95.9,301.1171875,"[6, 23, 17]",34,3,31,2
8,93.9,309.109375,"[6, 23, 17]",34,3,33,2
9,99.8,317.875,"[6, 23, 17]",34,3,34,2
10,99.8,326.3828125,"[6, 23, 17]",34,3,37,2
11,99.8,334.890625,"[6, 23, 17]",34,3,40,2
12,90.9,345.3515625,"[6, 23, 17]",34,3,42,2
13,99.8,365.19921875,"[6, 23, 17]",34,3,45,2
14,100.8,385.05078125,"[6, 23, 17]",34,3,47,2
15,99.8,398.71484375,"[6, 23, 17]",34,3,48,2
16,99.8,419.85546875,"[6, 23, 1]",34,3,49,2
17,91.9,434.80859375,"[6, 23, 1]",34,3,51,2
18,99.8,448.7265625,"[6, 23, 1]",34,3,54,2
19,100.8,461.6171875,"[6, 23, 1]",34,3,57,2
20,99.8,476.3125,"[6, 23, 1]",34,3,58,2
21,99.8,500.8046875,"[6, 23, 1]",34,3,60,2
22,91.9,519.10546875,"[6, 23, 1]",34,3,67,2
23,100.8,536.12109375,"[6, 23, 17]",34,3,69,2
24,99.8,558.80859375,"[6, 23, 17]",34,3,72,2
25,99.8,583.30078125,"[6, 23, 17]",34,3,73,2
26,99.8,608.05078125,"[6, 23, 17]",34,3,76,2
27,87.0,630.48046875,"[6, 23, 17]",34,3,77,2
28,99.8,655.74609375,"[6, 23, 17]",34,3,82,2
29,88.9,678.43359375,"[6, 23, 17]",34,3,140,2
30,94.9,701.89453125,"[6, 23, 17]",34,3,146,2
31,98.8,727.1484375,"[6, 23, 17]",34,3,148,2
32,90.9,747.7734375,"[6, 23, 17]",34,3,152,2
33,85.0,78.59375,[6],32,2,13,0
34,100.0,78.859375,[6],32,2,16,0
35,100.0,79.1875,[6],32,2,17,0
36,100.0,79.51171875,[6],32,2,19,0
37,90.1,79.82421875,[6],32,2,23,0
38,100.0,80.140625,[6],32,2,27,0
39,100.0,80.33984375,[6],32,2,29,0
40,100.0,80.6875,[6],32,2,30,0
41,100.0,81.1484375,[6],32,2,31,0
42,91.0,81.79296875,[6],32,2,34,0
43,100.0,82.39453125,[6],32,2,37,0
44,100.0,82.62109375,[6],32,2,39,0
45,100.0,83.0859375,[6],32,2,41,0
46,100.0,83.2265625,[6],32,2,44,0
47,99.9,83.25390625,[6],32,2,49,0
48,100.0,83.3984375,[6],32,2,53,0
49,100.0,83.52734375,[6],32,2,54,0
50,100.0,83.7421875,[6],32,2,57,0
51,100.0,84.3125,[6],32,2,61,0
52,90.0,84.43359375,[6],32,2,66,0
53,99.0,84.43359375,[6],32,2,67,0
54,101.0,84.43359375,[6],32,2,70,0
55,100.0,84.640625,[6],32,2,71,0
56,99.0,84.640625,[6],32,2,73,0
57,90.1,84.75,[6],32,2,76,0
58,100.0,84.75,[6],32,2,82,0
59,100.0,84.75,[6],32,2,84,0
60,101.0,84.75,[6],32,2,86,0
61,99.0,84.75,[6],32,2,88,0
62,89.1,84.75,[6],32,2,93,0
63,100.0,84.75,[6],32,2,97,0
64,100.0,85.06640625,[6],32,2,100,0
65,100.0,85.37890625,[6],32,2,103,0
66,100.0,85.37890625,[6],32,2,108,0
67,91.0,85.4140625,[6],32,2,111,0
68,100.0,85.62109375,[6],32,2,113,0
69,99.0,85.875,[6],32,2,114,0
70,101.0,86.18359375,[6],32,2,118,0
71,100.0,86.3203125,[6],32,2,121,0
72,92.0,86.76953125,[6],32,2,125,0
73,101.0,87.02734375,[6],32,2,126,0
74,99.0,87.52734375,[6],32,2,129,0
75,100.0,87.78515625,[6],32,2,130,0
76,100.0,88.15625,[22],32,2,132,0
77,99.9,88.58203125,[22],32,2,134,0
78,100.0,88.7734375,[22],32,2,136,0
79,100.0,88.7734375,[22],32,2,138,0
80,100.0,88.98046875,[22],32,2,141,0
81,100.0,88.98046875,[22],32,2,145,0
82,91.0,88.98046875,[22],32,2,148,0
83,100.0,89.1875,[22],32,2,150,0
84,100.0,89.421875,[22],32,2,152,0
85,100.0,89.67578125,[22],32,2,154,0
86,100.0,89.9140625,[22],32,2,158,0
87,94.0,90.1640625,[22],32,2,162,0
88,100.9,90.32421875,[22],32,2,164,0
89,100.0,90.83203125,[22],32,2,166,0
90,95.0,91.375,[22],32,2,170,0
91,100.0,91.71484375,[22],32,2,173,0
92,100.0,92.078125,[22],32,2,176,0
93,101.0,92.75,[22],32,2,179,0
94,100.0,93.2578125,[22],32,2,183,0
95,96.9,93.50390625,[22],32,2,189,0
96,100.0,94.0078125,[22],32,2,192,0
97,99.0,94.3515625,[22],32,2,197,0
98,101.0,94.68359375,[22],32,2,200,0
99,100.0,94.9140625,[22],32,2,203,0
100,98.0,95.84765625,[22],32,2,206,0
101,101.0,96.10546875,[6],32,2,209,0
102,99.0,96.609375,[6],32,2,211,0
103,100.9,96.86328125,[6],32,2,213,0
104,99.0,97.1171875,[22],32,2,215,0
105,98.9,97.3671875,[22],32,2,219,0
106,99.9,97.58203125,[22],32,2,221,0
107,100.0,97.8359375,[22],32,2,227,0
108,99.9,98.109375,[22],32,2,230,0
109,100.0,98.16796875,[22],32,2,235,0
110,94.0,98.16796875,[22],32,2,238,0
111,100.0,98.2578125,[22],32,2,244,0
112,100.0,98.2578125,[22],32,2,245,0
113,100.9,98.36328125,[22],32,2,250,0
114,99.0,98.36328125,[22],32,2,252,0
115,92.0,98.36328125,[22],32,2,257,0
116,99.9,98.4765625,[22],32,2,259,0
117,100.0,98.4765625,[22],32,2,265,0
118,100.0,98.4765625,[22],32,2,267,0
119,100.0,98.4765625,[22],32,2,270,0
120,94.0,98.66015625,[22],32,2,274,0
121,99.9,99.08203125,[22],32,2,278,0
122,100.0,99.3046875,[22],32,2,281,0
123,99.0,99.51953125,[22],32,2,287,0
124,99.9,99.74609375,[22],32,2,288,0
125,98.9,99.96484375,[22],32,2,295,0
126,99.9,100.20703125,[22],32,2,299,0
127,99.9,100.3984375,[22],32,2,304,0
128,100.9,100.6484375,[22],32,2,306,0
129,99.9,100.6484375,[22],32,2,311,0
130,98.9,100.7578125,[22],32,2,315,0
131,99.9,100.8046875,[22],32,2,318,0
132,99.9,100.85546875,[22],32,2,320,0
133,99.9,101.00390625,[22],32,2,325,0
134,99.9,101.15625,[22],32,2,329,0
135,96.0,101.36328125,[22],32,2,334,0
136,99.9,101.36328125,[6],32,2,337,0
137,99.9,101.36328125,[6],32,2,340,0
138,99.9,101.52734375,[6],32,2,342,0
139,100.0,101.52734375,[6],32,2,343,0
140,97.0,101.52734375,[6],32,2,347,0
141,98.9,101.68359375,[6],32,2,353,0
142,100.9,101.68359375,[6],32,2,355,0
143,99.9,101.90234375,[6],32,2,357,0
144,100.0,102.109375,[6],32,2,359,0
145,97.9,102.34765625,[6],32,2,363,0
146,99.9,102.58984375,[6],32,2,365,0
147,100.0,102.83203125,[6],32,2,367,0
148,99.9,102.83203125,[6],32,2,369,0
149,99.9,103.08203125,[6],32,2,373,0
150,97.9,103.08203125,[6],32,2,375,0
151,100.0,103.3359375,[6],32,2,378,0
152,99.9,103.3359375,[6],32,2,382,0
153,99.9,103.578125,[6],32,2,388,0
154,99.9,103.8203125,[6],32,2,393,0
155,97.9,103.8203125,[6],32,2,396,0
156,99.9,104.07421875,[6],32,2,398,0
157,99.9,104.07421875,[6],32,2,402,0
158,100.9,104.3125,[6],32,2,404,0
