Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,8.34375,[5],1,0,0,0
2,392.1,223.9140625,"[5, 22, 23]",34,3,11,2
3,100.7,236.3984375,"[5, 22, 23]",34,3,12,2
4,98.7,251.41015625,"[5, 22, 23]",34,3,13,2
5,100.7,267.39453125,"[5, 22, 23]",34,3,14,2
6,99.7,282.34765625,"[5, 22, 23]",34,3,16,2
7,99.7,294.72265625,"[5, 22, 23]",34,3,21,2
8,86.9,78.12890625,[5],32,2,7,0
9,100.9,78.61328125,[5],32,2,8,0
10,99.9,79.265625,[5],32,2,9,0
11,99.8,79.828125,[5],32,2,14,0
12,99.9,80.45703125,[5],32,2,17,0
13,100.9,80.82421875,[5],32,2,21,0
14,99.9,81.4375,[5],32,2,25,0
15,99.9,81.53125,[5],32,2,29,0
16,98.9,82.18359375,[5],32,2,30,0
17,100.9,82.609375,[5],32,2,31,0
18,98.9,82.7109375,[5],32,2,33,0
19,100.9,82.9140625,[5],32,2,37,0
20,99.9,83.11328125,[5],32,2,38,0
21,99.8,83.35546875,[5],32,2,43,0
22,98.9,83.35546875,[5],32,2,45,0
23,99.9,83.6875,[5],32,2,49,0
24,99.9,83.87109375,[5],32,2,52,0
25,100.9,84.50390625,[21],32,2,54,0
26,98.9,84.50390625,[21],32,2,56,0
27,99.9,84.6171875,[5],32,2,62,0
28,99.9,84.71875,[5],32,2,63,0
29,99.9,84.93359375,[5],32,2,64,0
30,99.9,85.203125,[5],32,2,66,0
31,100.8,85.875,[5],32,2,70,0
32,99.9,86.359375,[5],32,2,71,0
33,99.9,86.62890625,[5],32,2,72,0
34,99.9,86.62890625,[5],32,2,77,0
35,99.9,86.62890625,[5],32,2,79,0
36,98.8,86.81640625,[5],32,2,81,0
37,99.9,87.0625,[5],32,2,82,0
38,99.9,87.1953125,[5],32,2,85,0
39,100.9,87.4296875,[5],32,2,88,0
40,98.9,87.91015625,[21],32,2,93,0
41,100.8,88.4296875,[21],32,2,94,0
42,99.9,88.671875,[21],32,2,96,0
43,99.9,88.671875,[21],32,2,98,0
44,99.9,88.671875,[21],32,2,100,0
45,99.9,88.671875,[21],32,2,101,0
46,98.8,88.84375,[21],32,2,105,0
47,99.9,89.06640625,[21],32,2,107,0
48,99.9,89.3203125,[21],32,2,110,0
49,100.8,89.53125,[21],32,2,111,0
50,99.9,89.65234375,[21],32,2,114,0
51,99.8,89.71875,[21],32,2,118,0
52,99.8,89.8984375,[21],32,2,119,0
53,99.9,90.15234375,[21],32,2,121,0
54,99.9,90.38671875,[21],32,2,125,0
55,98.9,90.6328125,[21],32,2,127,0
56,100.8,90.88671875,[21],32,2,128,0
57,99.9,91.140625,[21],32,2,129,0
58,100.8,91.39453125,[21],32,2,133,0
59,98.9,91.64453125,[21],32,2,135,0
60,100.8,91.89453125,[21],32,2,137,0
61,99.8,92.12890625,[21],32,2,141,0
62,99.8,92.12890625,[21],32,2,144,0
63,99.9,92.3828125,[21],32,2,148,0
64,99.8,92.83984375,[21],32,2,150,0
65,99.9,93.15234375,[21],32,2,151,0
66,99.8,93.21875,[21],32,2,154,0
67,100.8,93.359375,[21],32,2,157,0
68,99.9,93.48046875,[21],32,2,161,0
69,99.9,93.65234375,[21],32,2,163,0
70,99.8,94.55859375,[21],32,2,168,0
71,99.9,94.8046875,[21],32,2,172,0
72,99.9,95.0390625,[21],32,2,175,0
73,99.9,95.2890625,[21],32,2,178,0
74,100.9,95.2890625,[21],32,2,182,0
75,99.9,95.2890625,[21],32,2,184,0
76,98.8,95.546875,[21],32,2,187,0
77,100.9,95.77734375,[21],32,2,188,0
78,99.8,96.03125,[5],32,2,193,0
79,98.9,96.03125,[5],32,2,194,0
80,99.8,96.28515625,[5],32,2,195,0
81,99.8,96.28515625,[5],32,2,197,0
82,100.8,96.51171875,[5],32,2,200,0
83,99.8,96.64453125,[5],32,2,204,0
84,100.8,96.78125,[5],32,2,206,0
85,98.9,96.9609375,[5],32,2,207,0
86,99.8,96.9609375,[5],32,2,212,0
87,99.8,97.20703125,[5],32,2,214,0
88,100.8,97.20703125,[5],32,2,215,0
89,99.8,97.42578125,[5],32,2,217,0
90,100.8,97.6640625,[5],32,2,221,0
91,99.8,97.6640625,[5],32,2,224,0
92,99.8,98.0625,[5],32,2,226,0
93,99.8,98.234375,[5],32,2,229,0
94,99.8,98.46875,[5],32,2,234,0
95,98.9,98.70703125,[5],32,2,237,0
96,100.8,98.70703125,[5],32,2,239,0
97,99.8,98.9609375,[5],32,2,240,0
98,99.8,99.43359375,[5],32,2,243,0
99,100.8,99.43359375,[5],32,2,248,0
100,99.8,99.65625,[5],32,2,252,0
101,99.8,99.74609375,[5],32,2,256,0
102,99.8,99.95703125,[5],32,2,258,0
103,100.8,100.16796875,[5],32,2,263,0
104,99.8,100.16796875,[5],32,2,265,0
105,99.8,100.63671875,[5],32,2,267,0
106,99.8,100.734375,[5],32,2,269,0
107,99.8,100.8828125,[5],32,2,271,0
108,99.8,101.125,[5],32,2,272,0
109,99.8,101.25390625,[5],32,2,275,0
110,100.8,101.58984375,[5],32,2,279,0
111,99.8,101.58984375,[5],32,2,281,0
112,100.8,101.81640625,[5],32,2,283,0
113,99.8,102.06640625,[5],32,2,287,0
114,99.8,102.3203125,[5],32,2,291,0
115,99.8,102.5703125,[5],32,2,292,0
116,99.8,102.5703125,[5],32,2,295,0
117,99.8,102.78515625,[5],32,2,297,0
118,99.8,102.78515625,[5],32,2,301,0
119,99.8,102.9765625,[5],32,2,303,0
120,99.8,102.9765625,[5],32,2,307,0
121,99.8,103.21875,[5],32,2,310,0
122,100.8,103.35546875,[21],32,2,312,0
123,99.8,103.46875,[21],32,2,313,0
124,100.8,103.46875,[21],32,2,314,0
125,99.8,103.46875,[21],32,2,317,0
126,99.8,103.46875,[21],32,2,320,0
127,99.8,103.71875,[21],32,2,322,0
128,100.8,103.71875,[21],32,2,325,0
129,99.8,103.96484375,[21],32,2,328,0
130,99.8,103.96484375,[21],32,2,334,0
131,99.8,104.19921875,[21],32,2,337,0
132,99.8,104.3515625,[21],32,2,340,0
133,99.8,104.3515625,[21],32,2,346,0
134,99.8,104.3515625,[21],32,2,348,0
135,99.9,104.546875,[21],32,2,350,0
136,99.8,104.59765625,[21],32,2,352,0
137,99.8,104.625,[21],32,2,357,0
138,99.8,104.765625,[21],32,2,358,0
139,100.8,104.9609375,[21],32,2,361,0
140,99.8,104.9609375,[21],32,2,363,0
141,99.8,105.16015625,[21],32,2,368,0
142,99.8,105.16015625,[21],32,2,371,0
143,100.8,105.3515625,[21],32,2,376,0
144,99.8,105.5234375,[5],32,2,378,0
145,99.8,105.7578125,[5],32,2,380,0
146,99.8,105.7578125,[5],32,2,382,0
147,99.8,106.02734375,[5],32,2,383,0
148,100.8,106.16015625,[5],32,2,384,0
149,99.8,106.16015625,[5],32,2,387,0
150,99.8,106.41015625,[5],32,2,390,0
151,100.8,106.41015625,[5],32,2,392,0
152,99.8,106.6640625,[21],32,2,394,0
153,99.8,106.8828125,[21],32,2,397,0
154,99.8,107.13671875,[21],32,2,399,0
155,99.8,107.3828125,[21],32,2,401,0
156,99.8,107.63671875,[21],32,2,403,0
157,99.8,107.63671875,[21],32,2,407,0
158,100.8,107.88671875,[21],32,2,412,0
159,99.8,107.88671875,[21],32,2,417,0
160,99.8,108.13671875,[21],32,2,420,0
161,99.8,108.38671875,[21],32,2,427,0
162,99.8,108.38671875,[21],32,2,431,0
163,100.8,108.640625,[21],32,2,435,0
164,99.8,108.640625,[21],32,2,437,0
165,100.8,108.640625,[21],32,2,444,0
166,99.8,108.89453125,[21],32,2,447,0
167,99.8,108.89453125,[21],32,2,450,0
168,99.8,110.4296875,[21],32,2,452,0
169,99.8,110.68359375,[21],32,2,457,0
170,99.8,110.68359375,[21],32,2,462,0
171,99.8,110.94140625,[21],32,2,466,0
172,99.8,110.94140625,[21],32,2,470,0
173,100.8,111.19921875,[21],32,2,474,0
174,99.8,111.44921875,[21],32,2,478,0
175,100.8,111.53125,[21],32,2,482,0
176,99.8,111.53125,[21],32,2,484,0
177,99.8,111.6484375,[21],32,2,488,0
178,99.8,111.71484375,[21],32,2,493,0
179,99.8,111.71484375,[21],32,2,498,0
180,99.8,111.88671875,[21],32,2,502,0
181,99.8,111.88671875,[21],32,2,509,0
182,100.8,111.88671875,[21],32,2,513,0
183,99.8,112.03125,[21],32,2,515,0
184,100.8,112.03125,[21],32,2,517,0
185,99.8,112.2734375,[21],32,2,521,0
186,99.8,112.2734375,[21],32,2,525,0
187,99.8,112.2734375,[21],32,2,529,0
188,99.8,112.4375,[21],32,2,532,0
189,100.8,112.4375,[21],32,2,540,0
190,98.8,112.57421875,[21],32,2,545,0
191,100.8,112.57421875,[21],32,2,547,0
192,98.8,112.57421875,[21],32,2,552,0
193,101.7,112.796875,[21],32,2,557,0
194,99.8,112.796875,[21],32,2,560,0
195,98.8,113.0390625,[21],32,2,562,0
196,100.8,113.0390625,[21],32,2,565,0
197,100.8,113.0390625,[21],32,2,567,0
198,99.8,113.24609375,[21],32,2,571,0
199,99.8,113.24609375,[21],32,2,574,0
200,99.8,113.24609375,[21],32,2,579,0
201,99.8,113.5,[5],32,2,582,0
202,99.8,113.5,[5],32,2,583,0
203,100.8,113.75,[5],32,2,585,0
204,98.8,113.75,[5],32,2,588,0
205,100.8,113.75,[5],32,2,590,0
206,99.8,114.00390625,[5],32,2,592,0
207,99.8,114.00390625,[5],32,2,594,0
208,99.8,114.00390625,[5],32,2,598,0
209,99.9,114.2578125,[5],32,2,601,0
210,99.8,114.2578125,[5],32,2,604,0
211,100.8,114.2578125,[5],32,2,607,0
212,99.8,114.2578125,[5],32,2,611,0
213,99.8,114.2578125,[21],32,2,613,0
214,100.8,114.2578125,[21],32,2,616,0
215,99.8,114.5078125,[21],32,2,617,0
216,99.8,114.5078125,[21],32,2,622,0
217,99.8,114.7578125,[21],32,2,627,0
218,100.8,114.7578125,[21],32,2,633,0
