Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,8.16796875,[2],1,0,1,0
2,364.6,223.39453125,"[2, 19, 4]",34,3,93,2
3,99.7,235.5078125,"[2, 19, 4]",34,3,97,2
4,99.7,250.4609375,"[2, 19, 4]",34,3,104,2
5,100.7,265.9296875,"[2, 19, 4]",34,3,113,2
6,100.7,280.8828125,"[2, 19, 4]",34,3,123,2
7,99.7,293.2578125,"[2, 19, 4]",34,3,127,2
8,99.7,313.109375,"[2, 19, 4]",34,3,134,2
9,99.7,332.1875,"[2, 19, 4]",34,3,143,2
10,99.7,355.1328125,"[2, 19, 4]",34,3,153,2
11,100.7,382.4609375,"[2, 19, 4]",34,3,162,2
12,98.7,409.2734375,"[2, 19, 4]",34,3,173,2
13,99.7,434.0234375,"[2, 19, 4]",34,3,181,2
14,99.7,459.8046875,"[2, 19, 4]",34,3,196,2
15,99.7,486.6171875,"[2, 19, 4]",34,3,205,2
16,99.7,513.64453125,"[2, 19, 4]",34,3,215,2
17,100.7,540.45703125,"[2, 19, 4]",34,3,225,2
18,99.7,567.265625,"[2, 19, 4]",34,3,236,2
19,97.7,593.3046875,"[2, 19, 4]",34,3,248,2
20,99.7,619.859375,"[2, 19, 4]",34,3,259,2
21,99.7,640.7421875,"[2, 19, 4]",34,3,271,2
22,99.7,663.66796875,"[2, 19, 4]",34,3,281,2
23,100.7,689.96484375,"[2, 19, 4]",34,3,292,2
24,98.7,716.26171875,"[2, 19, 4]",34,3,307,2
25,99.7,743.07421875,"[2, 19, 4]",34,3,318,2
26,100.7,769.109375,"[2, 19, 4]",34,3,328,2
27,99.7,794.1171875,"[2, 19, 4]",34,3,335,2
28,100.7,819.3828125,"[2, 19, 4]",34,3,344,2
29,97.7,842.0703125,"[2, 19, 4]",34,3,358,2
30,100.7,865.53125,"[2, 19, 4]",34,3,369,2
31,99.7,889.5078125,"[2, 19, 4]",34,3,377,2
32,100.7,914.0,"[2, 19, 4]",34,3,387,2
33,98.7,934.87890625,"[2, 19, 4]",34,3,396,2
34,99.7,959.37109375,"[2, 19, 4]",34,3,412,2
35,100.7,984.63671875,"[2, 19, 20]",34,3,419,2
36,99.7,1010.67578125,"[2, 19, 20]",34,3,427,2
37,98.7,1036.45703125,"[2, 19, 20]",34,3,436,2
38,100.7,1062.23828125,"[2, 19, 20]",34,3,445,2
39,99.7,1086.73046875,"[2, 19, 20]",34,3,453,2
40,99.7,1113.02734375,"[2, 19, 20]",34,3,460,2
41,99.7,1140.09765625,"[2, 19, 20]",34,3,469,2
42,100.7,1166.13671875,"[2, 19, 20]",34,3,479,2
43,99.7,1192.94921875,"[2, 19, 20]",34,3,486,2
44,98.7,1218.73046875,"[2, 19, 20]",34,3,495,2
45,99.7,1245.28515625,"[2, 19, 20]",34,3,504,2
46,99.7,1270.546875,"[2, 19, 20]",34,3,513,2
47,99.7,1296.5859375,"[2, 19, 20]",34,3,521,2
48,99.7,1322.109375,"[2, 19, 20]",34,3,528,2
49,98.7,1347.6328125,"[2, 19, 20]",34,3,539,2
50,99.7,1374.1875,"[2, 19, 20]",34,3,548,2
51,99.7,1400.4765625,"[2, 19, 20]",34,3,557,2
52,99.7,1426.25390625,"[2, 19, 4]",34,3,565,2
53,99.7,1452.80859375,"[2, 19, 4]",34,3,573,2
54,99.7,1478.84765625,"[2, 19, 4]",34,3,587,2
55,99.7,1505.14453125,"[2, 19, 4]",34,3,594,2
56,99.7,1530.92578125,"[2, 19, 4]",34,3,603,2
57,99.7,1556.96484375,"[2, 19, 4]",34,3,614,2
58,77.0,78.109375,[2],32,2,80,0
59,99.8,78.5390625,[2],32,2,81,0
60,99.9,79.26171875,[2],32,2,82,0
61,100.9,79.90234375,[2],32,2,87,0
62,99.9,80.34765625,[2],32,2,89,0
63,98.9,80.8046875,[2],32,2,91,0
64,98.8,81.421875,[2],32,2,94,0
65,100.9,81.55859375,[2],32,2,99,0
66,99.9,81.9921875,[2],32,2,101,0
67,99.9,82.60546875,[2],32,2,104,0
68,100.6,82.70703125,[18],32,2,107,0
69,98.9,82.9140625,[18],32,2,109,0
70,99.9,83.12109375,[18],32,2,109,0
71,99.9,83.328125,[18],32,2,111,0
72,99.9,83.328125,[18],32,2,112,0
73,99.8,83.453125,[18],32,2,116,0
74,98.9,83.8984375,[18],32,2,117,0
75,100.9,84.48828125,[18],32,2,121,0
76,99.9,84.5234375,[18],32,2,125,0
77,99.9,84.671875,[18],32,2,129,0
78,98.9,84.671875,[18],32,2,131,0
79,100.9,84.8515625,[18],32,2,134,0
80,99.9,85.15625,[18],32,2,139,0
