Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.71875,[7],1,1,0,0
2,365.9,224.140625,"[7, 17, 18]",34,3,14,2
3,99.8,242.30078125,"[7, 17, 18]",34,3,15,2
4,98.8,254.95703125,"[7, 17, 18]",34,3,18,2
5,97.8,274.796875,"[7, 17, 18]",34,3,20,2
6,99.8,295.9375,"[7, 17, 18]",34,3,21,2
7,99.8,317.3359375,"[7, 17, 18]",34,3,24,2
8,99.8,333.015625,"[7, 17, 2]",34,3,26,2
9,99.8,345.12109375,"[7, 17, 2]",34,3,27,2
10,89.9,368.32421875,"[7, 17, 2]",34,3,31,2
11,99.8,392.5546875,"[7, 17, 18]",34,3,33,2
12,100.8,417.8203125,"[7, 17, 18]",34,3,33,2
13,99.8,443.0859375,"[7, 17, 2]",34,3,37,2
14,99.8,467.390625,"[7, 17, 2]",34,3,39,2
15,89.9,489.04296875,"[7, 17, 2]",34,3,42,2
16,100.8,514.3046875,"[7, 17, 2]",34,3,44,2
17,98.8,538.0,"[7, 17, 2]",34,3,47,2
18,99.8,563.0078125,"[7, 17, 2]",34,3,50,2
19,100.8,588.5234375,"[7, 17, 2]",34,3,53,2
20,89.9,611.46875,"[7, 17, 2]",34,3,55,2
21,99.8,636.984375,"[7, 17, 2]",34,3,58,2
22,98.8,662.25,"[7, 17, 2]",34,3,61,2
23,100.8,687.7734375,"[7, 17, 2]",34,3,65,2
24,99.8,712.78125,"[7, 17, 2]",34,3,69,2
25,89.0,733.921875,"[7, 17, 2]",34,3,75,2
26,99.8,757.12109375,"[7, 17, 2]",34,3,79,2
27,99.8,781.3515625,"[7, 17, 2]",34,3,84,2
28,99.8,807.1328125,"[7, 17, 2]",34,3,86,2
29,96.9,831.62109375,"[7, 17, 2]",34,3,91,2
30,93.9,855.85546875,"[7, 17, 2]",34,3,95,2
31,99.8,881.63671875,"[7, 17, 2]",34,3,97,2
32,100.8,906.90234375,"[7, 17, 2]",34,3,99,2
33,99.8,930.62109375,"[7, 17, 2]",34,3,105,2
34,93.9,953.56640625,"[7, 17, 2]",34,3,114,2
35,99.8,978.05859375,"[7, 17, 2]",34,3,117,2
36,99.8,1002.55078125,"[7, 17, 2]",34,3,119,2
37,99.8,1024.71484375,"[7, 17, 2]",34,3,122,2
38,99.8,1042.24609375,"[7, 17, 2]",34,3,126,2
39,90.9,1056.94140625,"[7, 17, 2]",34,3,131,2
40,100.8,1081.17578125,"[7, 17, 2]",34,3,133,2
41,99.8,1104.89453125,"[7, 17, 2]",34,3,135,2
42,99.8,1128.61328125,"[7, 17, 2]",34,3,140,2
43,100.8,1150.78515625,"[7, 17, 2]",34,3,143,2
44,89.9,1172.95703125,"[7, 17, 2]",34,3,149,2
45,99.8,1195.6328125,"[7, 17, 2]",34,3,151,2
46,98.8,1218.0625,"[7, 17, 2]",34,3,154,2
47,100.8,1242.296875,"[7, 17, 2]",34,3,157,2
48,98.8,1266.7890625,"[7, 17, 2]",34,3,158,2
49,90.9,1289.4765625,"[7, 17, 2]",34,3,161,2
50,99.8,1313.453125,"[7, 17, 2]",34,3,165,2
51,100.8,1337.9453125,"[7, 17, 2]",34,3,168,2
52,98.8,1362.17578125,"[7, 17, 2]",34,3,172,2
53,100.8,1387.6875,"[7, 17, 2]",34,3,174,2
54,89.0,1409.859375,"[7, 17, 2]",34,3,179,2
55,100.8,1434.09375,"[7, 17, 2]",34,3,182,2
56,99.8,1458.5859375,"[7, 17, 2]",34,3,183,2
57,99.8,1482.046875,"[7, 17, 2]",34,3,186,2
58,99.8,1506.0234375,"[7, 17, 2]",34,3,190,2
59,3.0,77.2890625,[7],32,1,7,0
60,99.9,78.3125,[7],32,2,8,0
61,100.0,79.25390625,[7],32,2,9,0
62,100.0,80.03515625,[7],32,2,14,0
63,100.0,80.4765625,[7],32,2,16,0
64,90.0,81.01953125,[7],32,2,18,0
65,100.0,81.1796875,[7],32,2,21,0
66,101.0,81.6015625,[7],32,2,26,0
67,99.0,81.7578125,[7],32,2,31,0
68,101.0,82.6796875,[7],32,2,33,0
69,99.9,83.0703125,[7],32,2,36,0
70,100.0,83.34375,[23],32,2,40,0
71,100.0,83.34375,[23],32,2,41,0
72,100.0,83.359375,[23],32,2,42,0
73,100.0,83.3984375,[23],32,2,43,0
74,99.0,83.3984375,[23],32,2,47,0
75,101.0,83.3984375,[23],32,2,51,0
76,99.0,83.3984375,[23],32,2,52,0
77,101.0,83.47265625,[23],32,2,53,0
78,98.9,83.55078125,[23],32,2,57,0
79,101.0,83.84765625,[23],32,2,58,0
80,100.0,84.04296875,[23],32,2,60,0
81,100.0,84.52734375,[23],32,2,61,0
82,100.0,84.76953125,[23],32,2,66,0
83,92.0,85.0234375,[23],32,2,69,0
84,100.0,85.234375,[23],32,2,72,0
85,101.0,85.57421875,[23],32,2,74,0
86,100.0,86.30078125,[23],32,2,78,0
87,99.0,86.7578125,[23],32,2,80,0
88,93.0,86.984375,[23],32,2,82,0
89,99.0,87.2421875,[23],32,2,84,0
90,100.0,87.42578125,[23],32,2,88,0
91,100.9,87.515625,[23],32,2,89,0
92,100.0,87.68359375,[23],32,2,92,0
93,90.0,87.8671875,[23],32,2,94,0
94,100.0,88.08203125,[23],32,2,98,0
95,101.0,88.609375,[23],32,2,100,0
96,100.0,88.609375,[23],32,2,101,0
97,100.0,88.609375,[23],32,2,106,0
98,92.1,88.609375,[23],32,2,111,0
99,100.0,88.84375,[23],32,2,112,0
100,100.0,89.06640625,[23],32,2,113,0
101,99.0,89.30859375,[23],32,2,116,0
102,101.0,89.69921875,[23],32,2,121,0
103,96.0,89.96875,[23],32,2,123,0
104,99.9,90.15234375,[23],32,2,125,0
105,100.0,90.60546875,[23],32,2,128,0
106,101.0,90.85546875,[23],32,2,132,0
107,100.0,90.85546875,[23],32,2,134,0
108,93.0,91.078125,[23],32,2,137,0
109,100.0,91.078125,[23],32,2,140,0
110,100.0,91.078125,[23],32,2,143,0
111,100.0,91.33203125,[23],32,2,145,0
112,100.0,91.33203125,[23],32,2,151,0
113,93.0,91.58203125,[23],32,2,155,0
114,99.0,91.83984375,[23],32,2,158,0
115,100.0,91.83984375,[7],32,2,160,0
116,100.0,91.921875,[7],32,2,162,0
117,101.0,91.921875,[7],32,2,165,0
118,91.1,91.921875,[7],32,2,169,0
119,99.0,91.921875,[7],32,2,170,0
120,100.0,91.921875,[7],32,2,172,0
121,100.0,91.921875,[7],32,2,175,0
122,101.0,91.921875,[23],32,2,179,0
123,94.0,91.921875,[23],32,2,181,0
124,100.0,91.921875,[7],32,2,183,0
125,100.0,91.9453125,[7],32,2,185,0
126,99.0,92.140625,[7],32,2,187,0
127,101.0,92.2109375,[7],32,2,189,0
128,95.0,92.3359375,[7],32,2,193,0
129,100.0,92.49609375,[7],32,2,197,0
130,100.0,92.91796875,[7],32,2,199,0
131,100.0,93.13671875,[7],32,2,202,0
132,99.9,93.48828125,[7],32,2,206,0
133,98.9,93.48828125,[7],32,2,211,0
134,100.0,93.72265625,[7],32,2,216,0
135,100.0,93.8046875,[7],32,2,217,0
136,100.0,94.0546875,[7],32,2,219,0
137,100.0,94.77734375,[7],32,2,222,0
138,95.0,95.015625,[7],32,2,225,0
139,100.0,95.25,[7],32,2,226,0
140,100.0,95.25,[7],32,2,230,0
141,100.0,95.25,[7],32,2,235,0
142,101.0,95.25,[7],32,2,239,0
143,98.9,95.25,[7],32,2,243,0
144,100.0,95.25,[7],32,2,247,0
145,100.0,95.25,[7],32,2,251,0
146,100.0,95.25,[23],32,2,255,0
147,101.0,95.25,[23],32,2,255,0
148,99.0,95.25,[23],32,2,257,0
149,101.0,95.25,[23],32,2,261,0
150,99.0,95.25,[23],32,2,263,0
151,100.0,95.25,[23],32,2,265,0
152,100.0,95.25,[23],32,2,269,0
153,95.0,95.25,[23],32,2,273,0
154,99.9,95.25,[23],32,2,278,0
155,100.0,95.25,[23],32,2,282,0
156,101.0,95.41015625,[23],32,2,284,0
157,99.0,95.41015625,[23],32,2,288,0
158,99.9,95.4375,[23],32,2,291,0
159,101.0,95.4375,[23],32,2,293,0
160,100.0,95.453125,[23],32,2,294,0
161,99.9,95.56640625,[23],32,2,298,0
162,99.0,95.953125,[23],32,2,301,0
163,96.9,96.19140625,[23],32,2,304,0
164,99.9,96.37890625,[23],32,2,307,0
165,100.0,96.62109375,[23],32,2,311,0
166,100.0,96.875,[23],32,2,313,0
167,100.0,96.875,[23],32,2,315,0
168,93.0,97.125,[23],32,2,317,0
169,100.0,97.125,[23],32,2,321,0
170,100.0,97.3671875,[23],32,2,325,0
171,99.9,97.5546875,[23],32,2,328,0
172,99.9,97.8046875,[23],32,2,331,0
173,94.0,98.05078125,[23],32,2,336,0
174,98.9,98.05078125,[23],32,2,339,0
175,100.9,98.29296875,[23],32,2,341,0
176,99.9,98.546875,[23],32,2,342,0
177,100.0,98.73046875,[23],32,2,347,0
178,96.0,98.97265625,[23],32,2,349,0
179,99.9,99.2265625,[23],32,2,350,0
180,99.0,99.2265625,[23],32,2,351,0
181,101.0,99.2265625,[7],32,2,356,0
182,100.0,99.2265625,[7],32,2,358,0
183,97.9,99.2265625,[7],32,2,360,0
184,99.9,99.71484375,[7],32,2,364,0
185,99.9,99.8984375,[7],32,2,369,0
186,99.9,99.8984375,[7],32,2,372,0
187,99.0,100.15234375,[7],32,2,374,0
188,95.9,100.61328125,[7],32,2,377,0
189,99.9,100.7265625,[7],32,2,382,0
190,100.0,101.0859375,[7],32,2,384,0
191,99.9,101.0859375,[7],32,2,387,0
192,99.9,101.4296875,[7],32,2,391,0
193,95.9,101.52734375,[23],32,2,394,0
194,99.9,101.7421875,[23],32,2,395,0
195,99.9,101.7421875,[23],32,2,396,0
196,99.9,101.95703125,[23],32,2,397,0
197,100.9,102.19921875,[23],32,2,402,0
198,95.0,102.40234375,[23],32,2,405,0
199,99.9,102.6484375,[23],32,2,408,0
200,99.9,102.890625,[23],32,2,409,0
201,99.9,103.10546875,[23],32,2,415,0
202,100.9,103.296875,[23],32,2,417,0
203,96.9,103.55078125,[23],32,2,421,0
204,99.9,103.80078125,[7],32,2,424,0
205,99.9,104.04296875,[7],32,2,426,0
206,99.9,104.04296875,[7],32,2,427,0
207,99.9,104.2734375,[7],32,2,430,0
208,99.9,104.52734375,[7],32,2,433,0
209,100.9,105.0234375,[7],32,2,438,0
210,99.9,105.2578125,[7],32,2,439,0
211,99.9,105.2578125,[7],32,2,443,0
212,99.9,105.51171875,[7],32,2,448,0
213,99.9,105.76171875,[7],32,2,452,0
214,99.9,105.76171875,[7],32,2,454,0
215,99.9,106.01171875,[7],32,2,456,0
216,99.9,106.26171875,[7],32,2,460,0
217,98.8,106.47265625,[7],32,2,465,0
218,100.9,106.47265625,[7],32,2,468,0
219,98.9,106.71875,[7],32,2,470,0
220,100.9,106.97265625,[7],32,2,474,0
221,99.9,107.22265625,[7],32,2,480,0
222,99.9,107.22265625,[7],32,2,482,0
223,99.9,107.4765625,[7],32,2,486,0
224,99.9,107.73046875,[7],32,2,491,0
225,99.9,107.73046875,[7],32,2,494,0
226,99.9,107.98046875,[7],32,2,496,0
227,99.9,108.1171875,[7],32,2,499,0
228,98.9,108.15625,[7],32,2,503,0
229,99.9,108.4765625,[7],32,2,508,0
230,99.9,108.58203125,[7],32,2,511,0
231,99.9,109.09765625,[7],32,2,516,0
232,100.9,109.09765625,[7],32,2,519,0
