Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.8515625,[1],1,0,0,0
2,308.5,223.64453125,"[1, 18, 19]",34,3,32,2
3,99.8,232.7890625,"[1, 18, 19]",34,3,34,2
4,98.8,247.4765625,"[1, 18, 19]",34,3,35,2
5,100.8,260.36328125,"[1, 18, 19]",34,3,36,2
6,99.8,272.22265625,"[1, 18, 19]",34,3,37,2
7,99.8,288.34765625,"[1, 18, 3]",34,3,41,2
8,99.8,308.19921875,"[1, 18, 3]",34,3,42,2
9,99.8,330.11328125,"[1, 18, 3]",34,3,43,2
10,99.8,353.0546875,"[1, 18, 3]",34,3,44,2
11,100.8,373.1640625,"[1, 18, 3]",34,3,47,2
12,98.8,395.06640625,"[1, 18, 3]",34,3,50,2
13,100.8,415.69140625,"[1, 18, 3]",34,3,53,2
14,99.8,436.83203125,"[1, 18, 3]",34,3,56,2
15,99.8,458.734375,"[1, 18, 3]",34,3,60,2
16,100.8,478.31640625,"[1, 18, 3]",34,3,63,2
17,99.8,489.90625,"[1, 18, 3]",34,3,65,2
18,99.8,503.0546875,"[1, 18, 3]",34,3,68,2
19,99.8,516.96875,"[1, 18, 3]",34,3,71,2
20,99.8,532.94921875,"[1, 18, 3]",34,3,76,2
21,99.8,545.83984375,"[1, 18, 3]",34,3,78,2
22,99.8,564.14453125,"[1, 18, 3]",34,3,83,2
23,99.8,577.8046875,"[1, 18, 3]",34,3,89,2
24,99.8,589.921875,"[1, 18, 3]",34,3,91,2
25,99.8,610.8046875,"[1, 18, 3]",34,3,92,2
26,100.8,629.62109375,"[1, 18, 3]",34,3,95,2
27,99.8,650.76171875,"[1, 18, 3]",34,3,98,2
28,98.8,667.26171875,"[1, 18, 3]",34,3,104,2
29,100.8,686.85546875,"[1, 18, 3]",34,3,106,2
30,99.8,704.90234375,"[1, 18, 3]",34,3,110,2
31,99.8,722.69140625,"[1, 18, 3]",34,3,113,2
32,99.8,748.21484375,"[1, 18, 3]",34,3,117,2
33,99.7,772.96484375,"[1, 18, 3]",34,3,121,2
34,99.8,798.23046875,"[1, 18, 3]",34,3,125,2
35,99.8,825.04296875,"[1, 18, 3]",34,3,128,2
36,99.8,851.08203125,"[1, 18, 3]",34,3,130,2
37,99.8,877.37890625,"[1, 18, 3]",34,3,133,2
38,99.8,902.1171875,"[1, 18, 3]",34,3,137,2
39,99.8,927.8984375,"[1, 18, 3]",34,3,140,2
40,100.8,954.19140625,"[1, 18, 3]",34,3,144,2
41,99.8,979.19921875,"[1, 18, 3]",34,3,145,2
42,98.8,1005.75390625,"[1, 18, 3]",34,3,150,2
43,99.8,1032.05078125,"[1, 18, 3]",34,3,154,2
44,100.8,1058.60546875,"[1, 18, 3]",34,3,157,2
45,98.8,1084.12890625,"[1, 18, 3]",34,3,159,2
46,100.8,1108.6171875,"[1, 18, 19]",34,3,162,2
47,99.8,1133.625,"[1, 18, 19]",34,3,163,2
48,99.8,1157.6015625,"[1, 18, 19]",34,3,166,2
49,98.8,1180.546875,"[1, 18, 19]",34,3,169,2
50,100.8,1203.234375,"[1, 18, 19]",34,3,171,2
51,99.8,1226.953125,"[1, 18, 19]",34,3,174,2
52,99.8,1250.3984375,"[1, 18, 19]",34,3,177,2
53,99.8,1274.890625,"[1, 18, 19]",34,3,183,2
54,99.8,1299.3828125,"[1, 18, 19]",34,3,185,2
55,100.8,1325.9375,"[1, 18, 19]",34,3,186,2
56,99.8,1352.4921875,"[1, 18, 19]",34,3,189,2
