Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.765625,[17],1,1,0,0
2,389.3,224.90625,"[17, 2, 19]",34,3,27,2
3,99.9,233.23046875,"[17, 2, 19]",34,3,27,2
4,99.9,247.40234375,"[17, 2, 19]",34,3,28,2
5,99.9,260.2890625,"[17, 2, 19]",34,3,31,2
6,100.9,272.1484375,"[17, 2, 19]",34,3,32,2
7,99.9,287.9921875,"[17, 2, 19]",34,3,35,2
8,98.9,307.58203125,"[17, 2, 19]",34,3,38,2
9,98.9,327.94921875,"[17, 2, 19]",34,3,42,2
10,99.9,350.89453125,"[17, 2, 19]",34,3,45,2
11,100.9,371.77734375,"[17, 2, 19]",34,3,48,2
12,99.0,393.69140625,"[17, 2, 19]",34,3,53,2
13,100.9,414.31640625,"[17, 2, 19]",34,3,56,2
14,99.8,434.94140625,"[17, 2, 3]",34,3,59,2
15,100.8,456.59765625,"[17, 2, 3]",34,3,60,2
16,99.8,475.41796875,"[17, 2, 3]",34,3,62,2
17,98.8,488.5546875,"[17, 2, 3]",34,3,65,2
18,100.8,501.69921875,"[17, 2, 3]",34,3,66,2
19,99.8,515.35546875,"[17, 2, 3]",34,3,67,2
20,100.8,529.7890625,"[17, 2, 3]",34,3,71,2
21,99.8,544.2265625,"[17, 2, 3]",34,3,74,2
22,99.8,561.5,"[17, 2, 3]",34,3,76,2
23,99.8,576.70703125,"[17, 2, 3]",34,3,80,2
24,99.8,588.05078125,"[17, 2, 3]",34,3,84,2
25,100.8,607.56640625,"[17, 2, 3]",34,3,86,2
26,99.8,625.59765625,"[17, 2, 3]",34,3,91,2
27,99.8,647.51171875,"[17, 2, 3]",34,3,94,2
28,99.8,664.52734375,"[17, 2, 3]",34,3,100,2
29,99.8,683.34375,"[17, 2, 3]",34,3,105,2
30,98.8,702.16015625,"[17, 2, 3]",34,3,106,2
31,100.8,717.62890625,"[17, 2, 3]",34,3,110,2
32,69.2,78.52734375,[17],32,2,18,0
33,100.9,79.46875,[17],32,2,19,0
34,99.0,80.26953125,[17],32,2,20,0
35,100.0,80.87109375,[17],32,2,21,0
36,101.0,81.2734375,[17],32,2,26,0
37,99.0,81.484375,[17],32,2,29,0
38,99.9,81.9921875,[17],32,2,31,0
39,100.0,82.48828125,[17],32,2,33,0
40,99.0,82.91796875,[1],32,2,35,0
41,101.0,83.48828125,[1],32,2,38,0
42,100.0,83.95703125,[1],32,2,40,0
43,98.9,84.171875,[1],32,2,44,0
44,100.9,84.625,[1],32,2,49,0
45,99.0,84.9609375,[1],32,2,53,0
46,101.0,85.4140625,[1],32,2,55,0
47,99.0,85.64453125,[17],32,2,57,0
48,99.9,85.85546875,[17],32,2,60,0
49,100.0,86.234375,[17],32,2,62,0
50,100.0,86.5,[17],32,2,63,0
51,100.0,86.8203125,[17],32,2,64,0
52,100.0,87.05859375,[17],32,2,67,0
53,98.9,87.49609375,[17],32,2,71,0
54,100.9,87.49609375,[17],32,2,73,0
55,99.9,87.63671875,[17],32,2,75,0
56,98.9,88.0625,[17],32,2,79,0
57,100.9,88.15234375,[17],32,2,82,0
58,98.9,88.37890625,[17],32,2,88,0
59,99.0,88.76953125,[17],32,2,91,0
60,100.9,88.953125,[17],32,2,94,0
61,100.0,89.1796875,[17],32,2,98,0
62,98.9,89.59765625,[17],32,2,100,0
63,100.0,89.59765625,[17],32,2,101,0
64,100.9,89.6640625,[17],32,2,105,0
65,99.9,89.81640625,[17],32,2,107,0
66,99.8,90.1171875,[17],32,2,108,0
67,99.9,90.484375,[17],32,2,111,0
68,98.9,90.484375,[17],32,2,116,0
69,100.9,90.9921875,[17],32,2,119,0
70,99.0,91.2421875,[17],32,2,120,0
71,100.0,91.46875,[17],32,2,121,0
72,100.0,91.71875,[17],32,2,124,0
73,100.9,91.97265625,[17],32,2,126,0
74,99.9,92.2421875,[17],32,2,129,0
75,99.9,92.46484375,[17],32,2,130,0
76,99.9,92.671875,[17],32,2,133,0
77,99.9,93.09375,[17],32,2,136,0
78,99.9,93.09375,[17],32,2,138,0
79,99.0,93.51953125,[17],32,2,140,0
80,99.9,93.77734375,[17],32,2,145,0
81,100.9,94.26171875,[17],32,2,146,0
82,99.9,94.515625,[17],32,2,149,0
83,98.9,95.25390625,[17],32,2,151,0
84,99.9,95.49609375,[17],32,2,156,0
85,99.9,95.73828125,[17],32,2,159,0
86,100.9,95.98828125,[17],32,2,163,0
87,99.9,95.98828125,[17],32,2,166,0
88,99.9,96.48046875,[17],32,2,172,0
89,99.9,96.6328125,[17],32,2,174,0
90,99.9,96.84375,[17],32,2,176,0
91,99.9,97.05859375,[17],32,2,179,0
92,99.9,97.22265625,[17],32,2,184,0
93,99.9,97.4609375,[17],32,2,185,0
94,100.9,97.6875,[17],32,2,188,0
95,98.9,97.90234375,[17],32,2,189,0
96,99.9,98.125,[17],32,2,196,0
97,99.9,98.3046875,[17],32,2,197,0
98,99.9,98.39453125,[17],32,2,200,0
99,99.9,98.74609375,[17],32,2,202,0
100,100.9,98.74609375,[17],32,2,208,0
101,99.9,98.99609375,[17],32,2,209,0
102,99.9,99.12890625,[17],32,2,211,0
103,99.9,99.2265625,[17],32,2,212,0
104,99.9,99.3203125,[17],32,2,217,0
105,99.9,99.3203125,[17],32,2,220,0
106,99.9,99.68359375,[17],32,2,222,0
107,100.9,99.91796875,[17],32,2,224,0
108,99.9,100.1015625,[17],32,2,227,0
109,99.9,100.24609375,[17],32,2,229,0
110,98.9,100.47265625,[17],32,2,230,0
111,100.9,100.47265625,[17],32,2,232,0
112,99.9,100.6953125,[17],32,2,236,0
113,99.9,100.94140625,[17],32,2,239,0
114,99.9,101.14453125,[17],32,2,242,0
115,99.9,101.3828125,[17],32,2,244,0
116,99.9,101.62109375,[17],32,2,251,0
117,99.9,101.62109375,[17],32,2,256,0
118,99.9,101.87109375,[17],32,2,259,0
119,99.9,102.11328125,[17],32,2,265,0
120,99.9,102.36328125,[17],32,2,269,0
121,99.9,102.36328125,[17],32,2,274,0
122,100.9,102.72265625,[17],32,2,276,0
123,99.9,102.72265625,[1],32,2,279,0
124,100.9,102.90625,[1],32,2,281,0
125,98.9,103.15234375,[1],32,2,282,0
126,100.9,103.39453125,[1],32,2,284,0
127,99.9,103.4140625,[1],32,2,289,0
128,99.9,103.6328125,[1],32,2,293,0
129,99.9,103.83203125,[1],32,2,295,0
130,99.9,103.90234375,[1],32,2,297,0
131,99.9,104.08984375,[17],32,2,300,0
132,99.9,104.19921875,[17],32,2,302,0
133,100.9,104.4375,[17],32,2,304,0
134,98.9,104.4375,[17],32,2,306,0
135,100.9,104.65234375,[17],32,2,310,0
136,99.9,104.7890625,[17],32,2,314,0
137,99.9,104.94921875,[17],32,2,316,0
138,98.9,105.1875,[17],32,2,318,0
139,100.9,105.1875,[17],32,2,323,0
140,98.9,105.44140625,[17],32,2,327,0
141,100.9,105.61328125,[17],32,2,330,0
142,99.9,105.61328125,[17],32,2,332,0
143,99.9,105.765625,[17],32,2,336,0
144,99.9,106.01171875,[17],32,2,340,0
145,99.9,106.23046875,[17],32,2,342,0
146,99.9,106.23046875,[17],32,2,348,0
147,99.9,106.4765625,[17],32,2,353,0
148,99.9,106.53515625,[17],32,2,357,0
149,99.9,106.6640625,[17],32,2,359,0
150,100.9,106.6640625,[17],32,2,363,0
151,99.9,106.88671875,[17],32,2,367,0
152,99.9,106.88671875,[17],32,2,370,0
153,99.9,107.13671875,[17],32,2,372,0
154,99.9,107.13671875,[17],32,2,374,0
155,99.9,107.390625,[1],32,2,379,0
156,99.9,107.390625,[1],32,2,381,0
157,100.9,107.63671875,[1],32,2,382,0
158,99.9,107.63671875,[1],32,2,386,0
159,99.9,108.015625,[1],32,2,389,0
160,99.9,108.015625,[1],32,2,392,0
161,99.9,108.17578125,[1],32,2,395,0
162,99.9,108.17578125,[1],32,2,397,0
163,100.8,108.29296875,[17],32,2,400,0
164,99.9,108.41796875,[17],32,2,401,0
165,99.9,108.6328125,[17],32,2,403,0
166,99.9,108.6328125,[17],32,2,405,0
167,100.9,108.84375,[17],32,2,411,0
168,99.9,108.90625,[17],32,2,414,0
169,99.9,108.98046875,[17],32,2,417,0
170,99.9,109.10546875,[17],32,2,419,0
171,99.9,109.2734375,[1],32,2,423,0
172,98.9,109.2734375,[1],32,2,425,0
173,100.8,109.2734375,[1],32,2,427,0
174,99.9,109.4453125,[1],32,2,430,0
175,99.9,109.4453125,[1],32,2,436,0
176,99.9,109.59765625,[17],32,2,439,0
177,99.9,109.59765625,[17],32,2,441,0
178,99.9,109.59765625,[17],32,2,442,0
179,99.9,111.01171875,[17],32,2,447,0
180,99.9,111.01171875,[17],32,2,452,0
181,99.9,111.26953125,[17],32,2,454,0
182,99.9,111.26953125,[17],32,2,457,0
183,99.9,111.26953125,[17],32,2,460,0
184,100.9,111.26953125,[17],32,2,464,0
185,100.0,111.26953125,[17],32,2,465,0
186,100.0,111.26953125,[17],32,2,469,0
187,99.9,111.26953125,[17],32,2,475,0
188,99.9,111.26953125,[17],32,2,479,0
189,99.9,111.26953125,[17],32,2,481,0
190,99.9,111.26953125,[17],32,2,484,0
191,100.9,111.4609375,[17],32,2,488,0
192,99.9,111.4609375,[17],32,2,491,0
193,99.9,111.4609375,[17],32,2,492,0
194,98.9,111.67578125,[17],32,2,495,0
195,100.8,111.67578125,[17],32,2,499,0
196,99.9,111.67578125,[17],32,2,504,0
197,99.8,111.67578125,[17],32,2,506,0
198,99.9,111.765625,[17],32,2,512,0
199,100.9,111.82421875,[17],32,2,515,0
200,98.8,111.98828125,[17],32,2,518,0
201,100.8,111.98828125,[17],32,2,519,0
202,99.9,112.08984375,[17],32,2,523,0
203,99.9,112.25,[1],32,2,526,0
204,99.9,112.25,[1],32,2,527,0
205,100.8,112.25,[1],32,2,530,0
206,98.9,112.421875,[1],32,2,533,0
207,99.9,112.484375,[1],32,2,538,0
208,99.9,112.484375,[1],32,2,540,0
209,100.9,112.484375,[1],32,2,542,0
210,99.9,112.6171875,[17],32,2,546,0
211,99.9,112.85546875,[17],32,2,547,0
212,99.9,112.85546875,[17],32,2,551,0
213,99.9,113.10546875,[17],32,2,552,0
214,99.9,113.10546875,[17],32,2,557,0
215,99.9,113.34375,[17],32,2,561,0
216,100.8,113.34375,[17],32,2,564,0
217,99.9,113.5859375,[17],32,2,566,0
218,99.9,113.8359375,[1],32,2,571,0
219,99.9,114.07421875,[1],32,2,573,0
220,99.9,114.07421875,[1],32,2,575,0
221,99.9,114.328125,[1],32,2,577,0
222,99.9,114.58203125,[1],32,2,581,0
