Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,8.21875,[21],1,0,0,0
2,392.5,223.5546875,"[21, 22, 23]",34,3,20,2
3,99.8,249.55078125,"[21, 22, 23]",34,3,21,2
4,99.8,269.1953125,"[21, 22, 23]",34,3,22,2
5,94.9,293.6875,"[21, 22, 23]",34,3,25,2
6,98.8,319.984375,"[21, 22, 23]",34,3,27,2
7,100.8,346.0234375,"[21, 22, 23]",34,3,30,2
8,63.3,78.47265625,[21],32,2,15,0
9,100.0,79.34375,[21],32,2,17,0
10,100.9,79.7109375,[21],32,2,23,0
11,100.0,79.7109375,[21],32,2,26,0
12,99.0,79.72265625,[21],32,2,28,0
13,100.0,79.7421875,[21],32,2,31,0
14,100.0,79.7421875,[21],32,2,36,0
15,100.9,79.7421875,[21],32,2,38,0
16,99.0,80.27734375,[21],32,2,42,0
17,100.0,81.44921875,[21],32,2,45,0
18,101.0,81.64453125,[21],32,2,52,0
19,100.0,81.87109375,[21],32,2,55,0
20,99.9,81.87109375,[21],32,2,58,0
21,100.0,81.9921875,[21],32,2,61,0
22,100.0,81.9921875,[21],32,2,68,0
23,99.0,81.9921875,[21],32,2,71,0
24,100.9,81.9921875,[21],32,2,74,0
25,100.0,82.3125,[21],32,2,76,0
26,100.0,82.85546875,[21],32,2,83,0
27,100.0,83.28125,[21],32,2,86,0
28,100.0,83.28125,[21],32,2,91,0
29,93.0,83.28125,[21],32,2,96,0
30,98.0,83.5078125,[21],32,2,101,0
31,100.0,83.7421875,[5],32,2,103,0
32,100.0,83.9921875,[5],32,2,104,0
33,99.0,84.01953125,[5],32,2,105,0
34,90.0,84.203125,[5],32,2,110,0
35,100.0,84.66015625,[5],32,2,111,0
36,100.0,85.11328125,[5],32,2,112,0
37,101.0,85.11328125,[5],32,2,116,0
38,99.0,85.11328125,[5],32,2,120,0
39,92.0,85.11328125,[5],32,2,122,0
40,100.0,85.30078125,[5],32,2,123,0
41,100.0,85.44140625,[5],32,2,126,0
42,100.0,85.44140625,[5],32,2,130,0
43,100.0,85.44140625,[5],32,2,131,0
44,91.0,85.44140625,[5],32,2,133,0
45,100.0,85.44140625,[5],32,2,137,0
46,100.0,85.44140625,[5],32,2,140,0
47,100.0,85.44140625,[5],32,2,142,0
48,100.0,85.44140625,[5],32,2,146,0
49,90.1,85.44140625,[5],32,2,149,0
50,100.0,85.44140625,[5],32,2,153,0
51,100.0,85.44921875,[5],32,2,156,0
52,101.0,85.44921875,[5],32,2,158,0
53,99.0,85.44921875,[5],32,2,160,0
54,90.1,85.45703125,[5],32,2,164,0
55,100.0,85.45703125,[5],32,2,165,0
56,100.0,85.45703125,[5],32,2,166,0
57,100.0,85.45703125,[5],32,2,168,0
58,100.0,85.45703125,[21],32,2,172,0
59,91.1,85.45703125,[21],32,2,175,0
60,100.0,85.45703125,[21],32,2,179,0
61,100.0,85.45703125,[21],32,2,185,0
62,100.0,85.45703125,[21],32,2,189,0
63,100.0,85.45703125,[21],32,2,192,0
64,90.0,85.45703125,[21],32,2,196,0
65,100.0,85.48046875,[21],32,2,201,0
66,100.0,85.48046875,[21],32,2,205,0
67,101.0,85.48046875,[21],32,2,208,0
68,99.0,85.48046875,[21],32,2,212,0
69,90.0,85.48046875,[21],32,2,220,0
70,100.0,85.48046875,[21],32,2,225,0
71,101.0,85.48046875,[21],32,2,227,0
72,99.0,85.48046875,[5],32,2,228,0
73,101.0,85.48046875,[5],32,2,231,0
74,90.1,85.48046875,[5],32,2,233,0
75,100.0,85.48046875,[5],32,2,236,0
76,101.0,85.48046875,[5],32,2,239,0
77,99.0,85.48046875,[5],32,2,245,0
78,101.0,85.48046875,[5],32,2,248,0
79,90.1,85.48046875,[5],32,2,253,0
80,100.0,85.48046875,[5],32,2,256,0
81,100.0,85.48046875,[5],32,2,260,0
82,101.0,85.48046875,[5],32,2,264,0
83,99.0,85.48046875,[5],32,2,265,0
84,90.1,85.48046875,[5],32,2,268,0
85,101.0,85.48046875,[5],32,2,272,0
86,100.0,85.48046875,[5],32,2,276,0
87,100.0,85.48046875,[5],32,2,279,0
88,100.0,85.48046875,[5],32,2,282,0
89,90.0,85.48046875,[5],32,2,287,0
90,100.0,85.5,[5],32,2,291,0
91,100.0,85.5,[5],32,2,292,0
92,100.0,85.5,[21],32,2,295,0
93,100.0,85.5,[21],32,2,296,0
94,90.0,85.5,[21],32,2,300,0
95,100.0,85.5,[21],32,2,301,0
96,101.0,85.5,[21],32,2,305,0
97,99.0,85.5,[21],32,2,310,0
98,99.9,85.5,[21],32,2,315,0
99,91.0,85.5,[21],32,2,318,0
100,99.0,85.5,[21],32,2,322,0
101,101.0,85.5,[21],32,2,327,0
102,100.0,85.5,[21],32,2,332,0
103,99.0,85.5,[21],32,2,334,0
104,94.0,85.5,[21],32,2,339,0
105,99.0,85.5,[21],32,2,344,0
106,101.0,85.5,[21],32,2,348,0
107,100.0,85.5,[5],32,2,351,0
108,99.0,85.5,[5],32,2,353,0
109,92.0,85.5,[5],32,2,357,0
110,100.0,85.5,[5],32,2,361,0
111,100.0,85.5,[5],32,2,363,0
112,100.0,85.5,[5],32,2,366,0
