Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.85546875,[21],1,0,0,0
2,382.6,223.703125,"[30, 16, 1]",34,3,19,2
3,100.8,249.171875,"[30, 16, 1]",34,3,20,2
4,99.8,267.734375,"[30, 16, 1]",34,3,23,2
5,91.9,291.1953125,"[30, 16, 1]",34,3,26,2
6,100.8,316.71875,"[30, 16, 1]",34,3,28,2
7,99.8,341.984375,"[30, 16, 1]",34,3,30,2
8,99.8,367.50390625,"[30, 16, 1]",34,3,36,2
9,99.8,392.76953125,"[30, 16, 17]",34,3,38,2
10,88.9,415.45703125,"[30, 16, 17]",34,3,40,2
11,100.8,441.48828125,"[30, 16, 17]",34,3,42,2
12,99.8,467.77734375,"[30, 16, 17]",34,3,44,2
13,99.8,493.55859375,"[30, 16, 17]",34,3,47,2
14,100.8,518.5625,"[30, 16, 1]",34,3,51,2
15,88.9,541.765625,"[30, 16, 1]",34,3,53,2
16,99.8,567.546875,"[30, 16, 1]",34,3,55,2
17,99.8,593.125,"[30, 16, 1]",34,3,56,2
18,100.8,618.64453125,"[30, 16, 1]",34,3,61,2
19,99.8,644.68359375,"[30, 16, 1]",34,3,63,2
20,88.9,667.88671875,"[30, 16, 17]",34,3,66,2
21,100.8,693.15234375,"[30, 16, 17]",34,3,67,2
22,99.8,718.93359375,"[30, 16, 17]",34,3,70,2
23,99.8,743.16796875,"[30, 16, 1]",34,3,72,2
24,99.8,768.69140625,"[30, 16, 1]",34,3,74,2
25,89.9,791.89453125,"[30, 16, 1]",34,3,77,2
26,99.8,817.93359375,"[30, 16, 1]",34,3,82,2
27,100.8,844.23046875,"[30, 16, 1]",34,3,83,2
28,99.8,870.76953125,"[30, 16, 1]",34,3,88,2
29,99.8,896.03515625,"[30, 16, 1]",34,3,89,2
30,90.9,919.75,"[30, 16, 1]",34,3,96,2
31,99.8,943.2109375,"[30, 16, 1]",34,3,99,2
32,99.8,968.4765625,"[30, 16, 1]",34,3,104,2
33,100.8,994.7734375,"[30, 16, 1]",34,3,107,2
34,98.8,1020.0390625,"[30, 16, 17]",34,3,112,2
35,86.0,1041.6953125,"[30, 16, 17]",34,3,115,2
36,95.8,1064.8984375,"[30, 16, 17]",34,3,132,2
37,88.9,1088.1015625,"[30, 16, 17]",34,3,195,2
38,99.8,1113.625,"[30, 16, 17]",34,3,198,2
39,99.8,1136.828125,"[30, 16, 17]",34,3,200,2
40,93.9,1160.03125,"[30, 16, 17]",34,3,205,2
41,99.8,1180.9140625,"[30, 16, 17]",34,3,209,2
42,99.8,1206.953125,"[30, 16, 1]",34,3,213,2
43,99.8,1232.9921875,"[30, 16, 1]",34,3,214,2
44,99.8,1259.03125,"[30, 16, 1]",34,3,216,2
45,90.9,1283.0078125,"[30, 16, 1]",34,3,219,2
46,99.8,1308.01171875,"[30, 16, 1]",34,3,223,2
47,99.8,1333.79296875,"[30, 16, 1]",34,3,226,2
48,100.8,1359.05859375,"[30, 16, 1]",34,3,231,2
49,99.8,1384.58203125,"[30, 16, 1]",34,3,235,2
50,89.9,1406.75,"[30, 16, 1]",34,3,242,2
51,98.8,1432.53125,"[30, 16, 1]",34,3,247,2
52,100.8,1457.796875,"[30, 16, 1]",34,3,252,2
53,99.8,1481.2578125,"[30, 16, 1]",34,3,255,2
54,98.8,1506.5234375,"[30, 16, 1]",34,3,260,2
55,90.9,1528.6953125,"[30, 16, 1]",34,3,263,2
56,99.8,1553.703125,"[30, 16, 1]",34,3,266,2
57,99.8,1579.7421875,"[30, 16, 17]",34,3,270,2
58,100.8,1605.265625,"[30, 16, 17]",34,3,271,2
59,91.9,1626.9140625,"[30, 16, 17]",34,3,274,2
60,53.4,78.34375,[16],32,2,12,0
61,100.0,79.0390625,[16],32,2,12,0
62,100.0,79.5859375,[16],32,2,14,0
63,100.0,79.64453125,[16],32,2,15,0
64,99.9,79.65625,[0],32,2,17,0
65,101.0,79.65625,[0],32,2,18,0
66,99.0,79.67578125,[0],32,2,20,0
67,100.0,79.67578125,[0],32,2,22,0
68,100.0,80.12109375,[0],32,2,27,0
69,99.9,81.06640625,[0],32,2,29,0
70,100.0,81.5859375,[0],32,2,33,0
71,100.0,81.82421875,[0],32,2,37,0
72,100.0,81.82421875,[0],32,2,39,0
73,100.0,81.92578125,[0],32,2,41,0
74,99.9,81.92578125,[0],32,2,44,0
75,100.0,81.92578125,[0],32,2,47,0
76,101.0,81.92578125,[0],32,2,48,0
77,100.0,81.96875,[0],32,2,50,0
78,99.0,82.40625,[0],32,2,53,0
79,90.0,83.01171875,[0],32,2,57,0
80,100.0,83.2265625,[0],32,2,59,0
81,99.0,83.2265625,[0],32,2,62,0
82,101.0,83.2265625,[16],32,2,64,0
83,99.0,83.44921875,[16],32,2,65,0
84,91.0,83.83203125,[16],32,2,67,0
85,99.0,83.83203125,[16],32,2,68,0
86,100.0,83.83203125,[16],32,2,71,0
87,101.0,84.3828125,[16],32,2,76,0
88,100.0,84.796875,[16],32,2,80,0
89,91.0,85.04296875,[16],32,2,84,0
90,100.0,85.04296875,[0],32,2,86,0
91,100.0,85.04296875,[0],32,2,87,0
92,100.0,85.12890625,[16],32,2,89,0
93,100.0,85.296875,[16],32,2,91,0
94,96.0,85.375,[16],32,2,93,0
95,100.0,85.375,[16],32,2,94,0
96,100.0,85.375,[16],32,2,96,0
97,100.0,85.375,[16],32,2,99,0
98,100.0,85.375,[16],32,2,101,0
99,91.0,85.375,[16],32,2,105,0
100,100.0,85.375,[16],32,2,109,0
101,100.0,85.375,[16],32,2,113,0
102,100.0,85.375,[16],32,2,117,0
103,99.0,85.3828125,[16],32,2,120,0
104,91.0,85.3828125,[16],32,2,122,0
105,100.0,85.3828125,[0],32,2,124,0
106,100.0,85.3828125,[0],32,2,126,0
107,100.0,85.390625,[0],32,2,127,0
108,100.0,85.390625,[0],32,2,129,0
109,89.1,85.390625,[0],32,2,133,0
110,101.0,85.390625,[0],32,2,136,0
111,99.0,85.390625,[0],32,2,138,0
112,101.0,85.390625,[0],32,2,143,0
113,100.0,85.390625,[16],32,2,146,0
114,90.0,85.390625,[16],32,2,149,0
115,100.0,85.390625,[16],32,2,150,0
116,101.0,85.390625,[16],32,2,151,0
117,100.0,85.4140625,[0],32,2,155,0
118,100.0,85.4140625,[0],32,2,157,0
119,89.1,85.4140625,[0],32,2,159,0
120,101.0,85.4140625,[0],32,2,162,0
121,99.0,85.4140625,[0],32,2,166,0
122,100.0,85.4140625,[0],32,2,170,0
123,101.0,85.4140625,[0],32,2,172,0
124,97.0,85.4140625,[0],32,2,176,0
125,100.0,85.4140625,[0],32,2,179,0
126,101.0,85.4140625,[0],32,2,182,0
127,99.0,85.4140625,[0],32,2,186,0
128,99.0,85.4140625,[0],32,2,189,0
129,88.1,85.4140625,[16],32,2,193,0
130,100.0,85.4140625,[16],32,2,193,0
131,99.0,85.4140625,[16],32,2,195,0
132,101.0,85.4140625,[16],32,2,196,0
133,94.0,85.4140625,[16],32,2,200,0
134,96.0,85.4140625,[16],32,2,201,0
135,101.0,85.4140625,[16],32,2,204,0
136,100.0,85.4140625,[16],32,2,207,0
137,99.0,85.4140625,[0],32,2,210,0
138,91.0,85.4140625,[0],32,2,212,0
139,100.0,85.4140625,[0],32,2,213,0
140,100.0,85.4140625,[0],32,2,216,0
141,100.0,85.4140625,[0],32,2,221,0
142,100.0,85.4140625,[0],32,2,223,0
143,90.0,85.43359375,[0],32,2,226,0
144,100.0,85.43359375,[0],32,2,230,0
145,101.0,85.43359375,[0],32,2,234,0
146,100.0,85.43359375,[0],32,2,236,0
147,100.0,85.43359375,[16],32,2,239,0
148,90.1,85.43359375,[16],32,2,241,0
149,100.0,85.43359375,[16],32,2,243,0
150,100.0,85.43359375,[16],32,2,244,0
151,100.0,85.43359375,[16],32,2,246,0
152,100.0,85.43359375,[16],32,2,247,0
153,100.0,85.43359375,[0],32,2,251,0
154,100.0,85.43359375,[0],32,2,252,0
155,100.0,85.43359375,[0],32,2,255,0
156,100.0,85.43359375,[0],32,2,258,0
157,100.0,85.48828125,[0],32,2,261,0
158,91.0,85.48828125,[0],32,2,263,0
159,99.0,85.48828125,[0],32,2,268,0
160,100.0,85.48828125,[0],32,2,271,0
161,101.0,85.48828125,[16],32,2,275,0
162,99.0,85.48828125,[16],32,2,275,0
163,90.0,85.48828125,[16],32,2,277,0
164,100.0,85.48828125,[16],32,2,278,0
165,101.0,85.48828125,[16],32,2,282,0
166,100.0,85.48828125,[16],32,2,284,0
167,99.0,85.48828125,[16],32,2,290,0
