Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,8.05078125,[25],1,0,0,0
2,281.6,754.46484375,"[1, 3, 5, 7, 9, 10, 13, 15, 16, 18, 20, 22, 24, 26, 28, 30]",31,16,4757,15
3,960.8,760.8359375,"[1, 2, 5, 7, 9, 11, 13, 15, 16, 19, 20, 22, 24, 26, 28, 30]",31,16,34160,15
4,889.6999999999998,764.37890625,"[1, 2, 5, 7, 9, 11, 12, 15, 16, 19, 20, 22, 24, 26, 28, 30]",31,16,64653,15
5,913.4000000000001,768.1015625,"[1, 2, 5, 7, 9, 11, 13, 15, 16, 19, 20, 22, 24, 26, 28, 30]",31,16,94935,15
6,895.6000000000001,768.75,"[1, 2, 5, 6, 9, 10, 13, 15, 16, 19, 20, 23, 24, 26, 28, 30]",31,16,126414,15
7,890.3000000000001,770.109375,"[1, 3, 5, 6, 9, 10, 13, 15, 16, 19, 20, 23, 24, 27, 28, 30]",31,16,156264,15
8,920.9999999999999,771.62890625,"[1, 2, 5, 6, 8, 10, 13, 15, 16, 19, 20, 23, 25, 27, 28, 30]",31,16,185129,15
9,955.0,773.5078125,"[1, 2, 5, 6, 9, 10, 13, 14, 16, 19, 20, 23, 25, 27, 28, 31]",31,16,217048,15
10,1143.1000000000001,774.4765625,"[1, 3, 5, 6, 8, 10, 12, 14, 16, 18, 20, 23, 25, 27, 29, 31]",31,16,247921,15
11,1126.5,777.55859375,"[1, 2, 5, 6, 8, 10, 12, 14, 16, 19, 20, 23, 25, 27, 29, 31]",31,16,280346,15
12,1062.6,782.828125,"[1, 2, 5, 6, 8, 10, 12, 14, 16, 19, 20, 23, 25, 27, 29, 31]",31,16,309769,15
13,1581.6999999999998,790.30859375,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,320817,15
14,1465.2,796.75390625,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,327368,15
15,1218.9,798.296875,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,352359,15
16,1109.2,799.3359375,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,380365,15
17,967.1,799.5078125,"[0, 2, 4, 6, 8, 10, 13, 15, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,405137,15
18,1003.9,800.796875,"[0, 2, 4, 6, 9, 10, 12, 14, 16, 19, 21, 23, 24, 27, 29, 31]",31,16,430477,15
19,859.4999999999999,801.4921875,"[0, 2, 4, 6, 9, 10, 12, 14, 16, 19, 21, 23, 24, 27, 29, 31]",31,16,455698,15
20,872.0999999999999,801.60546875,"[0, 2, 5, 6, 9, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,479816,15
21,859.4,802.48046875,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,504318,15
22,870.8,803.4609375,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,528553,15
23,854.8,803.78515625,"[0, 2, 4, 6, 8, 10, 13, 14, 16, 19, 21, 23, 25, 27, 28, 31]",31,16,553724,15
24,873.8,804.7578125,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,579200,15
25,787.2999999999998,805.43359375,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,606028,15
26,838.1,805.93359375,"[0, 2, 4, 6, 9, 10, 12, 14, 16, 19, 21, 23, 24, 27, 29, 30]",31,16,631497,15
