Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.171875,16,1,0,1
2,302.7,63.40625,0,1,1,98
3,15.0,63.44921875,1,1,1,199
4,6.0,63.44921875,1,1,1,307
5,2.0,63.44921875,1,1,1,389
6,0.0,63.44921875,1,1,1,400
7,0.0,63.44921875,1,1,1,410
8,1.0,63.44921875,1,1,1,424
9,0.0,63.44921875,1,1,1,445
10,1.0,63.44921875,1,1,1,462
11,3.0,63.44921875,1,1,1,505
12,1.0,63.44921875,1,1,1,565
13,1.0,63.44921875,1,1,1,581
14,26.0,63.44921875,1,1,1,610
15,65.9,63.44921875,1,1,1,710
