Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,8.0,[19],1,0,3,0
2,292.6,746.23046875,"[1, 2, 4, 6, 8, 10, 12, 15, 17, 18, 20, 22, 24, 26, 29, 30]",31,16,4408,15
3,1010.0,756.09765625,"[1, 2, 4, 7, 9, 11, 12, 15, 17, 19, 21, 22, 24, 26, 29, 30]",31,16,24328,15
4,886.0000000000001,759.71484375,"[1, 2, 4, 7, 9, 11, 12, 15, 17, 19, 21, 22, 24, 26, 29, 30]",31,16,49559,15
5,823.9999999999999,762.2265625,"[1, 2, 4, 7, 9, 11, 12, 15, 17, 19, 21, 22, 24, 27, 29, 30]",31,16,75430,15
6,793.0999999999999,762.67578125,"[1, 3, 4, 7, 9, 11, 13, 15, 17, 19, 21, 22, 24, 26, 28, 30]",31,16,100797,15
7,827.6999999999998,763.80859375,"[1, 2, 4, 7, 9, 11, 12, 15, 17, 19, 21, 22, 24, 26, 29, 30]",31,16,126587,15
8,825.8999999999997,764.44140625,"[0, 2, 4, 7, 9, 11, 12, 15, 17, 19, 21, 22, 24, 26, 29, 30]",31,16,153198,15
9,840.0000000000002,764.49609375,"[1, 2, 5, 7, 9, 11, 12, 15, 17, 19, 21, 22, 24, 26, 29, 30]",31,16,181525,15
10,888.8000000000001,764.86328125,"[1, 2, 4, 7, 9, 11, 12, 15, 17, 19, 21, 22, 24, 26, 29, 30]",31,16,209173,15
11,871.5000000000001,766.54296875,"[1, 2, 4, 6, 9, 11, 12, 15, 17, 19, 21, 23, 24, 26, 29, 30]",31,16,235881,15
12,837.6999999999997,766.94140625,"[1, 2, 4, 6, 9, 11, 12, 15, 17, 19, 21, 23, 24, 26, 29, 30]",31,16,262402,15
13,827.6000000000001,767.4296875,"[1, 2, 4, 6, 9, 11, 12, 15, 16, 19, 21, 23, 24, 26, 29, 30]",31,16,290109,15
14,817.5999999999998,767.96484375,"[1, 2, 4, 6, 9, 11, 12, 15, 16, 19, 21, 23, 24, 26, 29, 30]",31,16,316885,15
15,829.1999999999999,768.56640625,"[1, 2, 4, 6, 8, 11, 12, 15, 16, 19, 21, 23, 25, 26, 29, 30]",31,16,342943,15
16,845.2000000000003,770.25,"[1, 2, 5, 6, 8, 11, 12, 15, 16, 19, 21, 23, 25, 26, 29, 30]",31,16,369233,15
17,854.5000000000001,774.1640625,"[1, 2, 4, 6, 8, 11, 12, 15, 16, 19, 21, 23, 25, 26, 29, 30]",31,16,394527,15
18,840.7000000000002,774.74609375,"[1, 2, 4, 6, 8, 11, 12, 15, 16, 19, 21, 23, 25, 26, 29, 30]",31,16,420434,15
19,1012.6999999999999,784.21484375,"[1, 2, 4, 6, 8, 11, 12, 14, 16, 19, 21, 23, 25, 26, 29, 30]",31,16,442185,15
20,774.3,783.3359375,"[1, 2, 4, 6, 8, 11, 13, 15, 17, 19, 21, 23, 25, 26, 28, 30]",31,16,468236,15
21,791.2,783.4375,"[1, 2, 5, 6, 8, 11, 13, 15, 16, 19, 21, 23, 25, 26, 28, 30]",31,16,494381,15
22,784.8999999999999,785.171875,"[1, 2, 4, 6, 8, 11, 13, 15, 16, 19, 21, 23, 25, 26, 28, 30]",31,16,522031,15
23,1472.1000000000001,811.6484375,"[1, 2, 5, 6, 8, 11, 13, 15, 16, 19, 21, 23, 25, 26, 28, 30]",31,16,536364,15
24,1483.3999999999999,819.8359375,"[1, 3, 5, 6, 8, 11, 13, 15, 16, 19, 21, 23, 25, 26, 28, 30]",31,16,558135,15
25,1240.3000000000002,821.1171875,"[1, 2, 4, 6, 8, 10, 12, 15, 16, 19, 21, 23, 25, 27, 28, 30]",31,16,585264,15
26,1101.5,821.51953125,"[1, 2, 4, 7, 8, 10, 13, 15, 16, 19, 21, 23, 24, 26, 28, 30]",31,16,617260,15
27,1497.7000000000003,823.6484375,"[1, 2, 4, 6, 9, 10, 12, 15, 16, 19, 21, 23, 24, 26, 29, 30]",31,16,638599,15
28,1516.4,835.875,"[1, 2, 4, 6, 8, 11, 13, 14, 16, 19, 21, 23, 25, 26, 29, 30]",31,16,656255,15
29,1277.8000000000002,841.18359375,"[1, 2, 4, 6, 8, 11, 12, 15, 16, 19, 21, 23, 25, 27, 29, 30]",31,16,675983,15
30,988.8999999999999,843.05859375,"[1, 2, 5, 6, 9, 11, 12, 15, 17, 19, 21, 23, 25, 27, 29, 30]",31,16,689447,15
31,818.9,844.5703125,"[0, 3, 5, 6, 8, 11, 13, 15, 17, 19, 20, 23, 25, 27, 28, 31]",31,16,703663,15
32,944.1999999999999,843.890625,"[0, 3, 5, 6, 9, 10, 12, 14, 16, 18, 20, 23, 25, 26, 28, 31]",31,16,719924,15
33,964.8000000000001,844.1875,"[1, 2, 4, 7, 9, 10, 13, 14, 16, 18, 20, 23, 25, 27, 28, 31]",31,16,733095,15
34,838.9000000000001,844.1875,"[1, 2, 5, 7, 8, 10, 13, 14, 16, 18, 20, 23, 25, 27, 28, 31]",31,16,748890,15
35,870.4,844.39453125,"[1, 2, 4, 6, 8, 10, 13, 14, 16, 18, 20, 23, 24, 26, 28, 31]",31,16,764665,15
36,1026.6000000000001,844.140625,"[1, 3, 5, 6, 9, 10, 13, 15, 17, 18, 21, 23, 24, 26, 28, 31]",31,16,779101,15
37,1273.7,843.1796875,"[1, 3, 5, 7, 9, 11, 13, 14, 17, 18, 21, 23, 24, 26, 28, 31]",31,16,791762,15
38,1152.1,844.94921875,"[0, 2, 5, 6, 8, 11, 13, 14, 17, 18, 21, 23, 25, 27, 29, 30]",31,16,808160,15
39,701.7,845.1171875,"[0, 2, 5, 6, 8, 11, 12, 14, 17, 18, 21, 23, 25, 26, 28, 30]",31,16,822084,15
40,1259.7999999999997,845.5625,"[0, 3, 4, 7, 8, 11, 13, 15, 17, 18, 21, 22, 25, 26, 28, 30]",31,16,841455,15
41,880.9000000000001,845.5625,"[1, 2, 4, 7, 8, 11, 12, 15, 16, 18, 21, 22, 25, 27, 29, 31]",31,16,857840,15
42,1066.6,851.87890625,"[1, 2, 4, 7, 8, 11, 12, 14, 16, 18, 20, 22, 25, 27, 29, 31]",31,16,876128,15
43,1478.8999999999999,960.35546875,"[1, 3, 5, 6, 8, 11, 13, 15, 16, 18, 20, 22, 25, 26, 28, 30]",31,16,894746,15
44,1506.3,1240.546875,"[1, 3, 4, 7, 8, 11, 12, 15, 16, 18, 20, 22, 25, 26, 28, 30]",31,16,910934,15
45,742.9000000000001,1289.375,"[1, 2, 4, 6, 8, 11, 12, 15, 16, 18, 20, 23, 25, 26, 29, 30]",31,16,924951,15
46,299.4,1289.84765625,"[1, 2, 5, 7, 8, 11, 12, 15, 16, 18, 21, 23, 25, 26, 29, 30]",31,16,933788,15
47,271.0000000000001,1289.85546875,"[1, 2, 5, 7, 8, 11, 12, 15, 16, 18, 21, 23, 25, 26, 29, 30]",31,16,942411,15
48,264.20000000000005,1289.86328125,"[1, 2, 5, 7, 9, 11, 12, 15, 16, 18, 21, 23, 25, 26, 28, 30]",31,16,950930,15
49,289.7000000000001,1289.1796875,"[1, 2, 5, 6, 8, 11, 13, 15, 16, 18, 21, 22, 25, 26, 28, 30]",31,16,960091,15
50,259.20000000000005,1287.79296875,"[1, 2, 4, 7, 8, 10, 12, 15, 16, 18, 21, 22, 24, 26, 28, 30]",31,16,968824,15
51,263.3,1285.546875,"[1, 2, 4, 6, 8, 11, 13, 15, 16, 19, 21, 22, 25, 26, 28, 30]",31,16,977571,15
52,271.90000000000003,1284.5546875,"[1, 2, 4, 6, 8, 10, 13, 15, 16, 18, 21, 22, 24, 26, 28, 30]",31,16,986498,15
53,293.50000000000006,1282.59765625,"[1, 2, 4, 6, 8, 10, 13, 15, 16, 18, 21, 23, 24, 26, 29, 30]",31,16,995590,15
54,276.9000000000001,1280.59765625,"[1, 2, 4, 7, 9, 10, 13, 15, 16, 18, 21, 23, 24, 27, 28, 30]",31,16,1004415,15
55,260.90000000000003,1279.375,"[1, 2, 4, 7, 8, 10, 13, 15, 16, 18, 21, 23, 24, 27, 28, 30]",31,16,1013198,15
56,267.0000000000001,1277.66796875,"[1, 2, 4, 6, 8, 11, 12, 14, 16, 18, 21, 23, 24, 26, 28, 30]",31,16,1021881,15
57,294.0,1274.7109375,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 29, 30]",31,16,1030763,15
58,290.50000000000006,1271.03125,"[1, 3, 4, 6, 8, 10, 13, 14, 16, 18, 21, 22, 24, 26, 29, 30]",31,16,1039772,15
59,277.9000000000001,1265.28125,"[1, 2, 4, 6, 8, 10, 13, 15, 16, 18, 21, 22, 25, 26, 29, 30]",31,16,1048495,15
60,356.4000000000001,1260.51171875,"[1, 2, 5, 6, 9, 10, 13, 14, 16, 18, 20, 22, 25, 26, 29, 30]",31,16,1058399,15
61,391.50000000000006,1254.66015625,"[1, 2, 4, 6, 9, 10, 12, 14, 16, 18, 20, 22, 25, 26, 29, 30]",31,16,1068689,15
62,399.6000000000001,1249.91015625,"[1, 2, 4, 6, 9, 10, 12, 14, 17, 18, 20, 22, 25, 26, 29, 30]",31,16,1079366,15
63,586.3,1245.87109375,"[1, 2, 5, 6, 8, 10, 12, 14, 17, 19, 20, 22, 25, 26, 29, 30]",31,15,1089732,15
