Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.11328125,22,1,0,0
2,285.6,63.4140625,0,1,1,214
3,1.0,63.4140625,0,1,1,272
4,7.0,63.4140625,0,1,1,394
5,0.0,63.4140625,0,1,1,427
6,1.0,63.4140625,0,1,1,448
7,1.0,63.4140625,0,1,1,485
8,2.0,63.4140625,0,1,1,591
9,2.0,63.4140625,0,1,1,651
10,1.0,63.4140625,0,1,1,694
11,2.0,63.4140625,0,1,1,761
12,33.0,63.4140625,0,1,1,809
13,86.9,63.4140625,0,1,1,810
14,0.0,63.4140625,0,1,1,816
15,0.0,63.4140625,0,1,1,819
