Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.921875,[19],1,1,0,0
2,276.8,758.07421875,"[0, 3, 5, 7, 9, 11, 13, 15, 16, 18, 20, 23, 24, 26, 28, 30]",31,16,7166,15
3,824.7999999999998,760.83203125,"[0, 3, 5, 6, 9, 11, 13, 14, 16, 18, 20, 23, 24, 26, 28, 31]",31,16,32776,15
4,810.5999999999999,763.55859375,"[0, 3, 5, 6, 9, 10, 13, 14, 16, 18, 20, 23, 24, 27, 28, 31]",31,16,60197,15
5,807.6999999999999,767.4609375,"[0, 3, 5, 6, 8, 10, 13, 14, 16, 18, 20, 23, 25, 27, 28, 31]",31,16,86846,15
6,800.8999999999999,768.03125,"[0, 2, 5, 7, 8, 10, 13, 14, 16, 19, 20, 22, 25, 26, 28, 31]",31,16,114453,15
7,795.0999999999998,769.32421875,"[0, 2, 5, 7, 8, 11, 13, 14, 16, 19, 20, 22, 25, 26, 28, 31]",31,16,141840,15
8,800.0999999999998,769.9765625,"[0, 2, 5, 6, 8, 11, 13, 14, 16, 19, 20, 23, 25, 26, 28, 31]",31,16,168435,15
9,841.8999999999999,772.421875,"[0, 3, 5, 6, 8, 11, 13, 14, 16, 18, 20, 23, 25, 26, 28, 31]",31,16,194401,15
10,809.2999999999998,773.34765625,"[0, 2, 5, 6, 8, 11, 13, 14, 16, 19, 20, 23, 25, 26, 28, 31]",31,16,221408,15
11,789.5999999999998,773.84375,"[0, 2, 5, 6, 8, 11, 13, 14, 16, 19, 20, 23, 25, 26, 29, 31]",31,16,247746,15
12,781.6999999999999,775.80078125,"[0, 2, 5, 6, 8, 11, 12, 14, 16, 19, 20, 23, 25, 26, 29, 31]",31,16,274855,15
13,774.5999999999999,776.46484375,"[0, 2, 5, 6, 8, 11, 12, 14, 16, 19, 20, 23, 25, 26, 29, 31]",31,16,302275,15
14,860.8999999999999,779.67578125,"[1, 2, 5, 6, 8, 11, 12, 14, 16, 19, 20, 23, 25, 26, 29, 31]",31,16,328019,15
15,1158.0,789.4296875,"[1, 2, 5, 6, 9, 11, 13, 15, 16, 19, 20, 23, 24, 26, 28, 31]",31,16,353729,15
16,824.1,790.03125,"[1, 3, 5, 6, 9, 10, 13, 14, 17, 18, 20, 23, 24, 27, 28, 31]",31,16,380930,15
17,806.7,791.078125,"[1, 3, 5, 6, 9, 10, 13, 14, 17, 18, 20, 23, 24, 27, 28, 31]",31,16,408637,15
18,1015.4,796.87890625,"[1, 3, 5, 6, 8, 10, 13, 14, 17, 18, 20, 23, 25, 27, 28, 31]",31,16,429761,15
19,805.7999999999998,797.40625,"[0, 3, 5, 6, 8, 10, 13, 14, 17, 18, 20, 23, 25, 27, 28, 31]",31,16,455224,15
20,795.6000000000001,798.4609375,"[0, 3, 5, 6, 8, 10, 13, 14, 17, 18, 20, 23, 25, 27, 28, 31]",31,16,481739,15
21,812.7999999999998,799.203125,"[0, 3, 5, 6, 8, 10, 13, 14, 17, 18, 21, 23, 25, 27, 28, 31]",31,16,508640,15
22,794.2,799.265625,"[0, 2, 4, 6, 8, 10, 13, 15, 17, 19, 21, 23, 25, 27, 28, 30]",31,16,535037,15
23,772.6,799.41796875,"[0, 2, 4, 6, 8, 10, 12, 15, 17, 19, 21, 23, 25, 27, 29, 30]",31,16,561265,15
24,858.8999999999999,800.48828125,"[0, 2, 4, 6, 8, 10, 12, 15, 17, 19, 21, 23, 25, 27, 29, 30]",31,16,589831,15
25,793.0,800.71484375,"[0, 2, 4, 6, 8, 10, 12, 15, 17, 19, 21, 23, 25, 27, 29, 30]",31,16,616461,15
26,820.4,801.56640625,"[0, 2, 5, 6, 8, 10, 12, 15, 17, 19, 21, 23, 25, 27, 29, 30]",31,16,641427,15
27,770.7,802.0078125,"[0, 2, 4, 6, 8, 10, 12, 15, 17, 19, 21, 23, 25, 27, 29, 30]",31,16,666838,15
