Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,1.10546875,7,1,0,0
2,262.8,63.46875,0,1,1,86
3,2.0,63.46875,0,1,1,171
4,1.0,63.46875,0,1,1,195
5,0.0,63.46875,0,1,1,218
6,2.0,63.46875,0,1,1,227
7,2.0,63.46875,0,1,1,267
8,0.0,63.46875,0,1,1,281
9,0.0,63.46875,0,1,1,288
10,4.0,63.46875,0,1,1,376
11,2.0,63.46875,0,1,1,444
12,0.0,63.46875,0,1,1,463
13,8.0,63.46875,1,1,1,545
14,1.0,63.46875,1,1,1,595
15,91.9,63.5390625,1,1,1,608
16,11.0,63.5390625,1,1,1,686
17,0.0,63.5390625,1,1,1,691
