Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,8.00390625,[19],1,1,4,0
2,276.0,751.46875,"[0, 3, 5, 7, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 31]",31,16,2730,15
3,886.1999999999999,756.59765625,"[0, 3, 5, 7, 9, 11, 13, 14, 16, 18, 20, 22, 24, 26, 28, 31]",31,16,25628,15
4,768.4999999999998,757.73046875,"[0, 2, 5, 6, 8, 11, 13, 14, 16, 19, 20, 23, 25, 26, 28, 31]",31,16,52121,15
5,743.1999999999999,758.77734375,"[0, 2, 5, 6, 8, 11, 13, 14, 16, 19, 20, 23, 25, 26, 28, 31]",31,16,79417,15
6,781.6999999999999,760.73046875,"[0, 2, 5, 6, 8, 11, 13, 14, 16, 19, 20, 23, 25, 26, 28, 31]",31,16,105746,15
7,729.0000000000001,761.31640625,"[0, 2, 5, 6, 8, 11, 13, 14, 16, 19, 20, 23, 25, 26, 28, 31]",31,16,132843,15
8,744.6999999999998,762.66015625,"[0, 2, 5, 6, 8, 11, 13, 14, 16, 19, 20, 23, 25, 26, 28, 31]",31,16,159876,15
9,758.1,764.05859375,"[0, 2, 5, 6, 8, 11, 13, 14, 16, 19, 21, 23, 25, 26, 28, 30]",31,16,186581,15
10,809.5999999999999,767.48828125,"[0, 2, 4, 6, 8, 11, 13, 15, 16, 19, 21, 23, 25, 26, 28, 30]",31,16,212993,15
11,769.0000000000001,768.87109375,"[0, 2, 4, 6, 8, 11, 13, 15, 16, 19, 21, 22, 25, 26, 28, 30]",31,16,240313,15
12,756.8000000000001,769.203125,"[0, 2, 4, 7, 8, 11, 13, 15, 16, 19, 21, 22, 25, 26, 28, 30]",31,16,266895,15
13,765.7,771.47265625,"[0, 2, 4, 7, 8, 11, 13, 15, 16, 19, 21, 22, 25, 26, 29, 30]",31,16,293654,15
14,795.5999999999999,772.94921875,"[0, 2, 4, 7, 8, 11, 12, 15, 16, 19, 21, 22, 25, 26, 29, 30]",31,16,320039,15
15,800.0,774.08203125,"[0, 2, 4, 7, 8, 10, 12, 14, 16, 19, 21, 22, 25, 27, 29, 31]",31,16,345667,15
16,769.1000000000001,775.68359375,"[0, 2, 4, 7, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,371317,15
17,768.5000000000001,776.3984375,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,398810,15
18,779.4000000000001,778.1015625,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 19, 21, 23, 25, 27, 29, 31]",31,16,425566,15
19,1136.8,801.37890625,"[1, 2, 4, 6, 9, 10, 13, 14, 16, 19, 21, 23, 24, 27, 28, 31]",31,16,445473,15
20,1036.2000000000003,817.41015625,"[1, 2, 4, 6, 9, 10, 13, 14, 16, 19, 21, 23, 24, 27, 28, 31]",31,16,471732,15
21,646.3,817.66015625,"[1, 2, 4, 6, 8, 10, 13, 15, 16, 19, 21, 23, 25, 27, 28, 31]",31,16,503688,15
22,688.8999999999999,820.63671875,"[0, 2, 4, 6, 9, 10, 13, 15, 16, 18, 21, 23, 24, 27, 28, 31]",31,16,535645,15
23,1059.1,830.62109375,"[1, 3, 4, 6, 8, 11, 13, 14, 16, 18, 21, 22, 25, 27, 28, 31]",31,16,560159,15
24,1503.9,836.765625,"[1, 3, 4, 7, 8, 11, 13, 14, 16, 18, 21, 22, 25, 27, 28, 31]",31,16,579296,15
25,1477.7000000000003,841.32421875,"[1, 3, 4, 7, 9, 10, 13, 14, 16, 18, 21, 22, 24, 27, 28, 31]",31,16,600270,15
26,1343.7,847.4453125,"[1, 3, 4, 7, 9, 10, 13, 14, 16, 19, 21, 22, 24, 27, 28, 31]",31,16,620877,15
