Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,7.9921875,[3],1,1,1,0
2,290.6,754.93359375,"[0, 3, 5, 7, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",31,16,3855,15
3,1276.7,772.86328125,"[1, 3, 5, 7, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",31,16,15756,15
4,1345.9,788.578125,"[1, 3, 5, 7, 8, 10, 13, 15, 16, 18, 20, 22, 24, 26, 28, 30]",31,16,34073,15
5,995.5,789.4140625,"[1, 2, 4, 6, 9, 11, 13, 15, 16, 19, 21, 22, 24, 26, 28, 31]",31,16,53256,15
6,917.3,792.84375,"[1, 2, 4, 7, 9, 11, 13, 14, 16, 19, 21, 22, 24, 26, 28, 31]",31,16,77952,15
7,855.9999999999998,793.87109375,"[1, 3, 4, 7, 9, 11, 13, 14, 17, 18, 21, 22, 24, 26, 28, 31]",31,16,104150,15
8,807.3999999999999,794.31640625,"[1, 3, 4, 7, 9, 11, 13, 14, 16, 18, 21, 22, 24, 26, 28, 31]",31,16,131183,15
9,907.9999999999999,794.74609375,"[1, 2, 4, 7, 8, 10, 13, 15, 16, 19, 21, 23, 24, 26, 28, 31]",31,16,153627,15
10,813.3999999999999,795.78125,"[1, 2, 4, 6, 9, 11, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",31,16,178391,15
11,793.5,796.05078125,"[1, 2, 4, 6, 9, 11, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",31,16,203945,15
12,809.4,796.23046875,"[1, 2, 4, 6, 9, 11, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",31,16,230624,15
13,794.4000000000001,798.421875,"[1, 2, 4, 6, 9, 11, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",31,2,254884,15
14,295.6000000000001,750.37109375,"[1, 2, 4, 6, 9, 11, 13, 14, 16, 19, 21, 23, 24, 26, 28, 31]",30,2,254893,15
