Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,3.70703125,23,1,0,0
2,282.8,63.7421875,0,1,1,194
3,20.0,63.78125,0,1,1,520
4,71.9,63.78125,1,1,1,707
5,1.0,63.78125,1,1,1,750
6,12.0,63.78125,1,1,1,878
7,3.0,63.78125,1,1,1,931
8,1.0,63.78125,1,1,1,969
9,3.0,63.78125,1,1,1,1019
10,2.0,63.78125,1,1,1,1070
11,0.0,63.78125,1,1,1,1095
12,3.0,63.78125,1,1,1,1143
13,1.0,63.78125,0,1,1,1158
14,1.0,63.78125,0,1,1,1174
15,1.0,63.78125,0,1,1,1225
16,6.0,63.78125,0,1,1,1419
17,1.0,63.78125,0,1,1,1441
18,0.0,63.78125,0,1,1,1452
19,13.0,63.78125,0,1,1,1562
20,1.0,63.78125,0,1,1,1606
21,0.0,63.78125,0,1,1,1619
22,1.0,63.78125,0,1,1,1645
23,2.0,63.78125,0,1,1,1696
24,4.0,63.78125,0,1,1,1746
25,8.0,63.78125,0,1,1,1943
26,14.0,63.78125,0,1,1,2120
27,2.0,63.78125,0,1,1,2168
28,1.0,63.78125,0,1,1,2225
29,1.0,63.78125,0,1,1,2236
30,0.0,63.78125,0,1,1,2242
31,1.0,63.78125,0,1,1,2263
32,3.0,63.78125,0,1,1,2334
33,8.0,63.78125,0,1,1,2512
34,4.0,63.78125,0,1,1,2602
35,4.0,63.78125,0,1,1,2715
36,63.9,63.78125,1,1,1,3600
37,5.0,63.78125,1,1,1,3813
38,15.0,63.78125,1,1,1,4013
39,8.0,63.78125,1,1,1,4137
40,44.0,63.78125,1,1,1,4367
41,94.9,63.78125,1,1,1,4380
42,100.9,63.78125,1,1,1,4384
43,98.9,63.78125,1,1,1,4386
44,100.9,63.78125,0,1,1,4400
45,98.9,63.78125,0,1,1,4411
46,99.9,63.78125,1,1,1,4414
47,100.9,63.78125,1,1,1,4416
48,98.9,63.78125,1,1,1,4427
49,99.9,63.78125,1,1,1,4432
50,99.9,63.78125,1,1,1,4436
51,99.9,63.78125,1,1,1,4442
52,99.9,63.78125,1,1,1,4450
53,99.9,63.78125,1,1,1,4457
54,99.9,63.78125,1,1,1,4465
