Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,8.0,[2],1,1,0,0
2,272.8,740.03125,"[0, 2, 4, 6, 9, 10, 12, 14, 16, 18, 21, 22, 24, 26, 28, 30]",25,16,4745,15
3,997.2999999999998,741.578125,"[0, 2, 5, 7, 9, 11, 12, 14, 17, 18, 21, 22, 24, 26, 28, 30]",28,16,23731,15
4,912.6999999999999,743.79296875,"[0, 3, 4, 7, 9, 11, 12, 14, 17, 18, 20, 22, 24, 26, 28, 30]",29,16,45659,15
5,913.6999999999999,746.609375,"[0, 2, 4, 7, 8, 11, 13, 15, 16, 18, 20, 23, 25, 26, 28, 30]",31,16,68087,15
6,874.3000000000001,747.1640625,"[0, 3, 5, 7, 8, 11, 13, 15, 17, 19, 20, 22, 25, 26, 28, 30]",31,16,92019,15
7,755.4999999999999,747.99609375,"[0, 2, 5, 7, 8, 11, 13, 15, 17, 19, 20, 22, 25, 26, 28, 30]",31,16,119181,15
8,792.2999999999998,749.4921875,"[0, 3, 5, 7, 8, 11, 13, 15, 16, 19, 20, 22, 24, 26, 28, 30]",31,16,145629,15
9,896.2999999999998,750.03125,"[0, 2, 5, 7, 8, 11, 13, 15, 16, 19, 20, 22, 24, 26, 28, 30]",31,16,168465,15
10,815.4,750.78515625,"[0, 2, 5, 7, 8, 10, 13, 15, 16, 19, 20, 22, 24, 27, 28, 30]",31,16,193933,15
11,821.2,753.1953125,"[0, 2, 5, 7, 9, 10, 13, 15, 16, 19, 20, 22, 24, 27, 28, 30]",31,16,219454,15
12,768.5999999999999,753.68359375,"[0, 2, 5, 7, 9, 10, 13, 15, 16, 19, 20, 22, 24, 27, 28, 30]",31,16,246051,15
13,768.8,755.30078125,"[0, 3, 5, 7, 9, 10, 13, 15, 16, 19, 20, 22, 24, 27, 28, 30]",31,16,273287,15
14,795.2,755.484375,"[0, 2, 4, 6, 9, 10, 13, 15, 16, 19, 20, 23, 24, 27, 28, 30]",31,16,299609,15
15,818.5999999999999,756.73828125,"[1, 3, 5, 6, 9, 10, 13, 15, 16, 19, 20, 23, 24, 27, 28, 30]",31,16,326664,15
16,860.4999999999998,757.5625,"[1, 2, 5, 6, 9, 10, 13, 14, 16, 19, 20, 23, 24, 27, 28, 31]",31,16,352029,15
17,864.9000000000001,759.2421875,"[1, 2, 5, 6, 9, 10, 13, 15, 16, 19, 20, 23, 24, 27, 28, 31]",31,16,377943,15
18,830.6,759.80078125,"[1, 2, 5, 6, 9, 10, 13, 14, 16, 19, 20, 23, 24, 27, 28, 31]",31,16,403306,15
19,790.5999999999998,759.6484375,"[1, 2, 5, 6, 9, 10, 13, 14, 16, 19, 20, 23, 24, 27, 28, 31]",31,16,429067,15
20,745.2999999999998,759.69140625,"[1, 2, 5, 6, 9, 10, 13, 14, 16, 19, 20, 23, 24, 27, 28, 31]",31,16,455863,15
21,778.9999999999998,760.8515625,"[1, 2, 5, 6, 9, 10, 13, 14, 16, 19, 20, 23, 24, 27, 28, 31]",31,16,483284,15
22,775.8000000000001,762.03515625,"[1, 2, 5, 6, 9, 10, 13, 14, 16, 19, 20, 23, 24, 27, 28, 31]",31,16,510636,15
23,755.3999999999999,762.80859375,"[1, 2, 5, 6, 9, 10, 13, 14, 16, 19, 20, 23, 24, 27, 28, 31]",31,16,537790,15
24,782.5999999999999,762.890625,"[1, 2, 5, 6, 9, 10, 13, 15, 16, 19, 20, 23, 24, 27, 28, 30]",31,16,565702,15
25,760.3999999999997,762.890625,"[1, 2, 5, 6, 8, 10, 13, 15, 16, 19, 20, 23, 25, 27, 28, 30]",31,16,593562,15
26,736.4,764.8203125,"[1, 2, 5, 6, 8, 10, 13, 14, 16, 19, 20, 23, 25, 27, 28, 31]",31,2,619150,15
27,214.20000000000005,109.78125,"[1, 2, 5, 6, 8, 11, 12, 14, 16, 19, 21, 23, 25, 27, 28, 31]",17,2,619176,15
