Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches
1,0.0,3.64453125,5,1,0,0
2,270.8,63.5859375,0,1,1,15
3,1.0,63.5859375,0,1,1,24
4,0.0,63.5859375,0,1,1,31
5,0.0,63.5859375,0,1,1,40
6,1.0,63.5859375,0,1,1,43
7,0.0,63.5859375,0,1,1,49
8,1.0,63.5859375,0,1,1,75
9,0.0,63.5859375,0,1,1,82
10,0.0,63.5859375,0,1,1,88
11,3.0,63.5859375,0,1,1,146
12,4.0,63.5859375,0,1,1,164
13,2.0,63.6171875,0,1,1,196
14,2.0,63.6171875,0,1,1,235
15,17.0,63.6171875,0,1,1,285
16,6.0,63.6171875,0,1,1,348
17,3.0,63.6171875,0,1,1,404
18,5.0,63.6171875,0,1,1,431
19,2.0,63.6171875,0,1,1,465
20,1.0,63.6171875,0,1,1,473
21,6.0,63.6171875,0,1,1,524
22,4.0,63.6171875,0,1,1,570
23,4.0,63.64453125,0,1,1,596
24,9.0,63.64453125,0,1,1,622
25,5.0,63.64453125,1,1,1,635
26,0.0,63.64453125,1,1,1,645
27,1.0,63.64453125,0,1,1,671
28,2.0,63.64453125,0,1,1,699
29,2.0,63.64453125,0,1,1,767
30,1.0,63.64453125,0,1,1,791
31,1.0,63.64453125,0,1,1,806
32,22.0,63.64453125,1,1,1,853
33,1.0,63.64453125,1,1,1,862
34,18.0,63.64453125,1,1,1,943
35,0.0,63.64453125,1,1,1,970
36,10.0,63.64453125,1,1,1,1067
37,6.0,63.64453125,1,1,1,1158
38,61.9,63.64453125,1,1,1,1575
39,93.9,63.64453125,0,1,1,1694
40,98.9,63.64453125,0,1,1,1705
41,90.9,63.64453125,0,1,1,1721
42,97.9,63.64453125,1,1,1,1730
43,99.9,63.64453125,1,1,1,1732
44,96.9,63.64453125,1,1,1,1749
45,98.9,63.64453125,1,1,1,1762
46,99.9,63.64453125,1,1,1,1765
47,99.9,63.64453125,1,1,1,1768
48,96.9,63.64453125,1,1,1,1774
49,100.9,63.64453125,1,1,1,1776
50,99.9,63.64453125,1,1,1,1783
