Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,14.7109375,[0],1,2,3,0
2,88.2,306.5703125,[0],3,2,602,0
3,93.1,385.53515625,[0],3,2,1632,0
4,83.3,407.76171875,[0],3,2,2873,0
5,67.6,415.3046875,[0],3,2,4520,0
6,71.6,448.52734375,[0],3,2,6238,0
7,67.7,479.75390625,[0],3,2,7906,0
8,83.4,497.4921875,[0],3,2,9212,0
9,81.6,520.76953125,[0],3,2,10056,0
10,67.6,599.82421875,[0],3,2,11252,0
11,91.2,800.4453125,[0],3,2,11654,0
12,92.2,993.93359375,[0],3,2,12041,0
13,88.3,1043.8203125,[0],3,2,12489,0
14,79.4,1059.3125,[0],3,2,13622,0
15,67.7,1063.01171875,[0],3,2,15369,0
16,75.5,1087.07421875,[0],3,2,16747,0
17,69.6,1108.0546875,[0],3,2,18382,0
18,74.5,1138.578125,[0],3,2,19968,0
19,80.4,1186.95703125,[0],3,2,21201,0
20,78.5,1220.984375,[0],3,2,22462,0
21,74.5,1241.28515625,[0],3,2,24023,0
22,73.6,1268.3125,[0],3,2,25449,0
23,91.1,1607.64453125,[0],3,2,25932,0
24,84.3,1704.30078125,[0],3,2,27064,0
25,82.3,1854.2578125,[0],3,2,28237,0
26,98.0,2324.140625,[0],3,2,28330,0
27,99.0,2712.234375,[0],3,2,28409,0
28,98.1,3108.65234375,[0],3,2,28482,0
29,98.0,3514.3515625,[0],3,2,28612,0
30,98.0,3885.6015625,[0],3,2,28695,0
31,97.0,4258.484375,[0],3,2,28829,0
32,99.0,4682.4921875,[0],3,2,28856,0
33,98.0,5049.015625,[0],3,2,28987,0
34,97.0,5402.890625,[0],3,2,29145,0
35,98.0,5756.25390625,[0],3,2,29240,0
36,98.0,6116.6171875,[0],3,2,29344,0
37,99.0,6504.94140625,[0],3,2,29418,0
38,99.0,6889.5859375,[0],3,2,29444,0
39,99.0,7246.62109375,[0],3,2,29513,0
40,99.0,7614.22265625,[0],3,2,29550,0
41,96.9,7989.29296875,[0],3,2,29699,0
42,97.9,8437.52734375,[0],3,2,29835,0
43,97.8,8930.3046875,[0],3,2,29923,0
44,96.9,9363.7421875,[0],3,2,30066,0
45,94.9,9729.29296875,[0],3,2,30291,0
46,95.9,10129.69921875,[0],3,2,30514,0
47,92.0,10472.55078125,[0],3,2,30830,0
48,93.9,10838.0,[0],3,2,31104,0
49,96.8,11232.4375,[0],3,2,31288,0
50,88.0,11480.5390625,[0],3,2,31991,0
51,98.7,11893.2890625,[0],3,2,32043,0
52,98.8,12343.8984375,[0],3,2,32090,0
53,98.9,12725.61328125,[0],3,2,32225,0
54,94.9,13076.69921875,[0],3,2,32585,0
55,93.9,13445.18359375,[0],3,2,32856,0
56,95.9,13858.875,[0],3,2,33062,0
57,87.1,14071.40234375,[0],3,2,33908,0
58,93.9,14404.3984375,[0],3,2,34297,0
59,84.2,14487.1640625,[0],3,2,35248,0
60,81.3,14582.046875,[0],3,2,36263,0
61,68.6,14598.19921875,[0],3,2,38026,0
62,66.5,14612.08203125,[0],3,2,39490,0
63,66.6,14640.0703125,[0],3,2,40806,0
64,65.6,14652.7265625,[0],3,2,42249,0
65,69.5,14657.76171875,[0],3,2,43892,0
66,69.4,14663.73046875,[0],3,2,45740,0
67,76.3,14697.52734375,[0],3,2,47030,0
68,79.0,14741.3125,[20],3,2,48038,0
69,67.1,14744.8984375,[21],3,2,49513,0
70,68.2,14773.046875,[20],3,2,50813,0
71,73.0,14781.61328125,[21],3,2,52306,0
72,72.1,14794.72265625,[21],3,2,53655,0
73,79.0,14812.59375,[21],3,2,54760,0
74,80.0,14896.0625,[21],3,2,55758,0
75,79.0,14942.5546875,[21],3,2,56837,0
76,73.0,14961.5390625,[21],3,2,58312,0
77,76.0,14963.37890625,[21],3,2,59537,0
78,81.9,14999.8203125,[21],3,2,60582,0
79,87.8,15093.78125,[21],3,2,61374,0
80,86.9,15148.203125,[21],3,2,62300,0
81,94.8,15463.09375,[21],3,2,62542,0
82,95.7,15802.078125,[21],3,2,62921,0
83,71.1,15820.5625,[21],3,2,64409,0
84,79.0,15927.109375,[21],3,2,65748,0
85,97.8,16273.90234375,[21],3,2,65865,0
86,97.8,16636.078125,[21],3,2,65973,0
87,97.8,16963.16015625,[21],3,2,66095,0
88,93.8,17280.3671875,[21],3,2,66331,0
89,94.8,17577.625,[21],3,2,66635,0
90,93.8,17921.6796875,[21],3,2,66941,0
91,98.7,18319.16796875,[21],3,2,67058,0
92,96.8,18710.5859375,[21],3,2,67253,0
93,95.8,19069.9140625,[21],3,2,67482,0
94,95.8,19438.45703125,[21],3,2,67658,0
95,96.8,19739.9296875,[21],3,2,67839,0
96,93.8,19900.58203125,[21],3,2,68198,0
97,77.0,19900.58203125,[21],3,2,69275,0
98,85.8,19900.5859375,[21],3,2,70138,0
99,89.8,19900.58984375,[21],3,2,70675,0
100,87.9,19900.59375,[21],3,2,71372,0
101,86.9,19900.609375,[21],3,2,72078,0
102,85.9,19900.61328125,[20],3,2,72716,0
