Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,14.2734375,[0],1,2,1,0
2,92.9,262.390625,[0],3,2,668,0
3,93.9,352.36328125,[0],3,2,1444,0
4,95.9,380.53515625,[0],3,2,1949,0
5,92.9,389.6640625,[0],3,2,2663,0
6,87.0,397.0703125,[0],3,2,3771,0
7,82.0,409.78515625,[0],3,2,4882,0
8,83.0,436.47265625,[0],3,2,5986,0
9,78.1,440.1171875,[0],3,2,7303,0
10,84.0,454.03125,[0],3,2,8576,0
11,91.9,489.01171875,[0],3,2,9258,0
12,92.9,558.89453125,[0],3,2,10039,0
13,95.9,713.01953125,[0],3,2,10453,0
14,91.9,720.67578125,[0],3,2,11649,0
15,91.0,838.82421875,[0],3,2,12793,0
16,100.7,1249.1796875,[0],3,2,12831,0
17,97.8,1658.99609375,[0],3,2,12998,0
18,112.6,1770.41015625,[0],2,2,13071,0
19,19.8,1770.171875,[0],1,2,13072,0
20,0.0,1770.171875,[0],1,2,13072,0
