Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,14.6484375,[0],1,2,1,0
2,89.9,306.51171875,[0],3,2,628,0
3,84.0,345.73828125,[0],3,2,1982,0
4,90.9,407.2265625,[0],3,2,2873,0
5,86.9,414.51953125,[0],3,2,4085,0
6,87.8,448.625,[0],3,2,5146,0
7,88.8,481.421875,[21],3,2,6182,0
8,86.8,505.21484375,[21],3,2,7366,0
9,86.8,521.94140625,[21],3,2,8578,0
10,91.8,678.64453125,[21],3,2,9313,0
11,90.8,797.09375,[21],3,2,10067,0
12,85.9,900.734375,[21],3,2,11229,0
13,91.8,1009.28515625,[21],3,2,11896,0
14,84.9,1044.24609375,[21],3,2,13292,0
15,80.0,1060.12890625,[20],3,2,14850,0
16,80.0,1063.27734375,[20],3,2,16406,0
17,84.9,1093.73828125,[21],3,2,17552,0
18,88.8,1127.84375,[21],3,2,18588,0
19,91.8,1176.4296875,[21],3,2,19473,0
20,86.8,1209.84375,[21],3,2,20576,0
21,88.8,1239.60546875,[21],3,2,21727,0
22,84.9,1251.671875,[21],3,2,23079,0
23,88.9,1496.22265625,[21],3,2,23830,0
24,83.8,1640.93359375,[21],3,2,24980,0
25,89.8,1733.14453125,[21],3,2,25833,0
26,89.8,2017.4140625,[21],3,2,26565,0
27,98.7,2427.47265625,[21],3,2,26594,0
28,100.8,2830.05078125,[21],3,2,26626,0
29,99.8,3241.28125,[21],3,2,26667,0
30,99.8,3644.33203125,[21],3,2,26692,0
31,99.9,4065.11328125,[21],3,2,26717,0
32,100.8,4476.6796875,[21],3,2,26738,0
33,98.9,4897.16015625,[21],3,2,26745,0
34,99.8,5247.73828125,[21],3,2,26794,0
35,100.8,5600.98046875,[21],3,2,26803,0
36,97.9,5984.56640625,[21],3,2,26885,0
37,134.2,6053.7890625,[21],2,2,26959,0
38,98.8,6053.7890625,[21],2,2,26960,0
39,99.8,6053.7890625,[21],2,2,26961,0
40,63.3,6053.7890625,[21],2,2,26962,0
41,0.0,6053.36328125,[21],1,2,26963,0
42,0.0,6053.36328125,[21],1,2,26963,0
