Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,14.33984375,[0],1,2,2,0
2,94.8,241.97265625,[0],3,2,383,0
3,95.7,270.0703125,[0],3,2,1185,0
4,93.7,301.13671875,[0],3,2,2160,0
5,89.8,316.5703125,[0],3,2,3393,0
6,84.9,368.765625,[0],3,2,4636,0
7,84.9,409.12890625,[0],3,2,5962,0
8,80.9,437.1015625,[21],3,2,7485,0
9,79.0,460.9140625,[21],3,2,9193,0
10,78.0,501.04296875,[21],3,2,10814,0
11,85.8,517.66796875,[21],3,2,12169,0
12,92.8,680.0234375,[21],3,2,12951,0
13,100.7,1158.5078125,[21],3,2,12975,0
14,82.9,1200.984375,[21],3,2,14833,0
15,83.9,1332.5703125,[21],3,2,16610,0
16,99.7,1734.11328125,[21],3,2,16666,0
17,98.8,2133.390625,[21],3,2,16773,0
18,105.7,2259.92578125,[21],2,2,16807,0
19,28.7,2259.92578125,[21],1,2,16808,0
20,0.0,2259.92578125,[21],1,2,16808,0
