Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,14.18359375,[0],1,2,3,0
2,96.9,324.9921875,[0],3,2,432,0
3,97.8,718.98046875,[0],3,2,725,0
4,91.7,833.55859375,[0],3,2,1459,0
5,88.8,929.3125,[0],3,2,2339,0
6,83.9,947.5390625,[0],3,2,3789,0
7,84.8,985.9296875,[0],3,2,5053,0
8,84.9,994.93359375,[0],3,2,6426,0
9,79.9,1005.078125,[0],3,2,7982,0
10,82.9,1013.39453125,[0],3,2,9470,0
11,88.8,1082.56640625,[0],3,2,10412,0
12,80.9,1089.5703125,[0],3,2,11911,0
13,83.9,1116.0859375,[0],3,2,13272,0
14,80.9,1128.53125,[0],3,2,14795,0
15,82.9,1146.66015625,[0],3,2,16195,0
16,82.9,1173.078125,[0],3,2,17496,0
17,92.8,1275.55859375,[0],3,2,18093,0
18,84.9,1296.8515625,[0],3,2,19382,0
19,80.9,1309.71484375,[0],3,2,20862,0
20,79.0,1314.91796875,[0],3,2,22482,0
21,78.0,1352.0078125,[0],3,2,24053,0
22,93.7,1464.0546875,[0],3,2,24597,0
23,92.8,1518.12109375,[0],3,2,25276,0
24,99.7,1902.82421875,[0],3,2,25349,0
25,94.7,2150.3515625,[16],3,2,25837,0
26,75.0,2178.2109375,[16],3,2,27585,0
27,85.9,2366.1171875,[16],3,2,28562,0
28,100.7,2741.6328125,[16],3,2,28607,0
29,98.7,3100.921875,[16],3,2,28643,0
30,100.7,3452.30859375,[16],3,2,28679,0
31,99.7,3769.16015625,[16],3,2,28757,0
32,98.7,4132.95703125,[16],3,2,28811,0
33,97.8,4524.78125,[16],3,2,29017,0
34,99.7,4966.93359375,[16],3,2,29059,0
35,99.7,5343.16015625,[16],3,2,29110,0
36,121.6,5370.91796875,[16],2,2,29112,0
37,99.0,5370.91796875,[16],2,2,29113,0
38,75.3,5370.4921875,[16],2,2,29114,0
39,0.0,5370.4921875,[16],1,2,29115,0
40,0.0,5370.4921875,[16],1,2,29115,0
