Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,14.06640625,[0],1,2,2,0
2,91.9,74.3125,[0],3,2,961,0
3,83.8,104.890625,[0],3,2,2197,0
4,84.9,115.19140625,[0],3,2,3607,0
5,85.8,143.75390625,[0],3,2,4913,0
6,79.9,148.75,[0],3,2,6526,0
7,85.8,215.43359375,[0],3,2,7716,0
8,81.9,236.61328125,[0],3,2,9274,0
9,83.9,250.9765625,[0],3,2,10750,0
10,85.8,303.41015625,[0],3,2,12016,0
11,82.9,339.5859375,[0],3,2,13403,0
12,79.9,348.1171875,[0],3,2,15078,0
13,84.8,360.1953125,[0],3,2,16419,0
14,88.8,391.6484375,[0],3,2,17621,0
15,82.9,409.64453125,[0],3,2,18969,0
16,84.9,414.25,[0],3,2,20396,0
17,78.9,416.05859375,[0],3,2,22171,0
18,87.8,440.5390625,[0],3,2,23432,0
19,89.8,499.64453125,[0],3,2,24400,0
20,84.9,541.015625,[0],3,2,25705,0
21,76.0,561.85546875,[21],3,2,27389,0
22,76.0,686.2734375,[21],3,2,28899,0
23,75.1,706.578125,[20],3,2,30927,0
24,83.9,956.92578125,[20],3,2,31855,0
25,99.7,1403.8046875,[20],3,2,31941,0
26,98.8,1815.484375,[20],3,2,32030,0
27,98.8,2238.4609375,[20],3,2,32185,0
28,99.8,2647.9609375,[20],3,2,32227,0
29,98.8,3101.7890625,[20],3,2,32246,0
30,99.8,3517.21484375,[20],3,2,32266,0
31,99.7,3666.328125,[20],3,2,32293,0
32,97.8,3746.5625,[20],3,2,32400,0
33,97.8,3767.38671875,[20],3,2,32608,0
34,109.6,3820.578125,[20],3,2,32741,0
35,100.0,3820.640625,[20],2,2,32742,0
36,48.5,3818.6875,[20],1,2,32743,0
37,0.0,3818.6875,[20],1,2,32743,0
38,16.8,0.0,[20],1,0,32744,0
