Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.01953125,[3],33,0,32,0
2,189.7,8.25390625,[3],33,2,11653,0
3,177.9,9.74609375,[3],33,2,24965,0
4,141.3,9.74609375,[3],33,2,31657,0
5,161.1,9.74609375,[1],33,2,40550,0
6,185.7,9.8203125,[1],33,2,55292,0
7,229.3,10.23828125,[1],33,2,65836,0
8,221.4,10.23828125,[3],33,2,80272,0
9,192.8,10.23828125,[3],33,2,104876,0
10,195.8,10.90625,[6],33,2,115315,0
11,166.1,10.90625,[6],33,2,124273,0
12,209.6,10.90625,[6],33,2,163567,0
13,191.8,10.90625,[6],33,2,189455,0
14,224.4,11.1953125,[6],33,2,202466,0
15,286.8,11.1953125,[6],33,2,211775,0
16,405.5,11.2578125,[22],33,2,211855,0
17,378.9,11.79296875,[8],33,2,211933,0
18,351.4,11.79296875,[12],33,2,212168,0
19,393.0,12.046875,[14],33,2,212246,0
20,331.6,12.36328125,[10],33,2,212775,0
21,324.6,12.36328125,[10],33,2,213289,0
22,353.3,12.36328125,[10],33,2,213396,0
23,343.4,12.36328125,[10],33,2,213682,0
24,297.8,12.6640625,[10],33,2,214897,0
25,235.5,12.90234375,[10],33,2,217779,0
26,226.7,12.90234375,[10],33,2,240692,0
27,186.0,12.90234375,[10],33,2,241353,0
28,158.3,12.90234375,[10],33,2,242642,0
29,188.1,12.90234375,[10],33,2,243412,0
30,187.0,12.90234375,[10],33,2,244247,0
31,211.7,12.90234375,[10],33,2,245719,0
32,153.3,12.90234375,[10],33,2,247098,0
33,190.0,12.90234375,[11],33,2,252018,0
34,240.4,12.90234375,[11],33,2,255330,0
35,182.1,13.02734375,[11],33,2,256530,0
36,236.6,13.26171875,[10],33,2,257435,0
37,184.1,13.546875,[10],33,2,258713,0
38,291.0,13.546875,[11],33,2,259667,0
39,303.8,13.546875,[11],33,2,260209,0
40,349.4,13.546875,[11],33,2,260535,0
41,352.4,13.5546875,[11],33,2,260619,0
42,350.3,13.5546875,[11],33,2,260771,0
43,322.7,13.5546875,[11],33,2,261381,0
44,365.2,13.58984375,[11],33,2,261668,0
45,370.1,13.671875,[11],33,2,261994,0
46,193.0,13.671875,[11],33,2,287957,0
47,207.9,13.671875,[11],33,2,328119,0
48,198.8,13.671875,[11],33,2,338091,0
49,193.0,13.671875,[11],33,2,339076,0
50,206.9,13.671875,[12],33,2,343897,0
51,205.9,14.02734375,[12],33,2,361986,0
52,177.9,14.03515625,[8],33,2,372169,0
53,199.8,14.03515625,[8],33,2,402353,0
54,140.5,14.03515625,[9],33,2,409382,0
55,132.6,14.03515625,[9],33,2,410983,0
56,157.1,14.10546875,[2],33,2,412237,0
57,191.9,14.10546875,[8],33,2,418835,0
58,283.0,14.10546875,[9],33,2,419797,0
59,382.6,14.2265625,[8],33,2,419973,0
60,353.2,14.2109375,[8],33,2,420661,0
61,394.9,14.5859375,[8],33,2,421090,0
62,364.3,14.80078125,[9],33,2,421702,0
63,281.1,14.80078125,[12],33,2,422800,0
64,343.3,14.96875,[12],33,2,423529,0
65,247.5,15.0859375,[12],33,2,424622,0
66,212.8,15.0859375,[12],33,2,425682,0
67,304.8,15.0859375,[15],33,2,426405,0
68,348.5,15.0859375,[15],33,2,427007,0
69,367.2,15.0859375,[15],33,2,427413,0
70,263.3,15.0859375,[13],33,2,428223,0
71,292.9,15.87109375,[13],33,2,429128,0
72,288.9,15.87109375,[13],33,2,430104,0
73,261.4,15.87109375,[12],33,2,431041,0
74,240.5,15.87109375,[15],33,2,431849,0
75,165.4,15.87109375,[10],33,2,437429,0
76,196.0,15.87109375,[10],33,2,452067,0
77,208.9,15.87109375,[10],33,2,462740,0
78,211.8,15.87109375,[10],33,2,495602,0
79,174.3,15.87109375,[15],33,2,504929,0
80,280.1,15.87109375,[15],33,2,515502,0
81,261.2,15.87109375,[15],33,2,516929,0
82,342.5,15.90234375,[27],33,2,517280,0
83,278.0,15.90234375,[27],33,2,517865,0
84,279.1,15.90234375,[11],33,2,518374,0
85,293.9,15.90234375,[11],33,2,519155,0
86,307.7,15.90234375,[11],33,2,519745,0
87,268.1,15.90234375,[11],33,2,520616,0
88,250.4,15.90234375,[11],33,2,521806,0
89,344.4,16.61328125,[8],33,2,522317,0
90,303.5,16.82421875,[8],33,2,523166,0
91,319.5,16.82421875,[8],33,2,523825,0
92,199.0,16.82421875,[10],33,2,524839,0
93,192.0,16.82421875,[10],33,2,532244,0
94,151.4,16.82421875,[8],33,2,533492,0
95,164.2,16.82421875,[9],33,2,534517,0
96,157.3,16.82421875,[9],33,2,535609,0
97,142.4,16.82421875,[9],33,2,539327,0
98,129.6,16.82421875,[10],33,2,541071,0
99,162.3,16.82421875,[10],33,2,542319,0
100,135.5,16.82421875,[26],33,2,544968,0
101,330.5,17.2890625,[10],33,2,545354,0
102,176.2,17.25390625,[13],33,2,546809,0
103,334.4,17.4609375,[13],33,2,547390,0
104,340.1,17.4609375,[13],33,2,547868,0
105,288.9,17.4609375,[13],33,2,548635,0
106,374.0,17.4609375,[13],33,2,548788,0
107,453.1,17.578125,[13],33,2,549106,0
108,275.0,17.3828125,[13],33,2,550122,0
109,294.8,17.3828125,[13],33,2,551115,0
110,314.6,17.3828125,[13],33,2,551729,0
111,369.9,17.3828125,[13],33,2,552273,0
112,340.4,17.3828125,[13],33,2,552925,0
