Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,5.19140625,[17],33,0,35,0
2,172.0,8.1796875,[17],33,2,2473,0
3,105.7,9.42578125,[17],33,2,4462,0
4,116.6,9.42578125,[17],33,2,6642,0
5,103.8,9.42578125,[17],33,2,8579,0
6,106.7,9.42578125,[17],33,2,10610,0
7,102.7,9.4609375,[17],33,2,12599,0
8,129.4,9.5234375,[19],33,2,14812,0
9,120.5,9.5234375,[19],33,2,17043,0
10,123.4,9.5234375,[3],33,2,19257,0
11,114.6,9.5234375,[3],33,2,21377,0
12,108.6,9.70703125,[3],33,2,23106,0
13,99.8,9.70703125,[3],33,2,24820,0
14,122.5,9.921875,[3],33,2,26510,0
15,90.8,9.921875,[3],33,2,28331,0
16,109.0,9.9453125,[3],33,2,29954,0
17,236.6,10.2421875,[3],33,2,31088,0
18,146.7,10.3359375,[3],33,2,32630,0
19,129.5,10.3359375,[3],33,2,34128,0
20,221.8,11.3671875,[3],33,2,35259,0
21,236.7,11.3671875,[3],33,2,36301,0
22,230.5,11.40234375,[3],33,2,37345,0
23,255.3,11.40234375,[3],33,2,38462,0
24,235.6,11.40234375,[3],33,2,39611,0
25,250.5,11.40234375,[3],33,2,40654,0
26,311.3,11.40234375,[3],33,2,41570,0
27,335.9,11.40234375,[16],33,2,42200,0
