Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,6.18359375,[19],33,2,77,0
2,143.1,7.73046875,[23],33,2,1891,0
3,103.7,8.81640625,[25],33,2,3607,0
4,108.3,8.81640625,[25],33,2,5511,0
5,96.9,8.81640625,[25],33,2,7373,0
6,105.2,8.81640625,[25],33,2,9265,0
7,113.5,9.1875,[0],33,2,11216,0
8,110.0,9.1875,[0],33,2,13095,0
9,111.5,9.1875,[0],33,2,15081,0
10,113.2,9.1875,[0],33,2,17025,0
11,142.2,9.703125,[3],33,2,18731,0
12,97.8,9.71875,[3],33,2,20708,0
13,140.9,9.71875,[3],33,2,22470,0
14,117.5,10.14453125,[0],33,2,24446,0
15,109.1,10.14453125,[16],33,2,26357,0
16,111.5,10.14453125,[16],33,2,28332,0
17,118.5,10.14453125,[16],33,2,30437,0
18,127.7,10.14453125,[16],33,2,32583,0
19,130.2,10.14453125,[16],33,2,34616,0
20,130.4,10.14453125,[0],33,2,36469,0
21,122.5,10.14453125,[17],33,2,38559,0
22,119.5,10.14453125,[17],33,2,40635,0
23,125.5,10.14453125,[17],33,2,42836,0
24,173.9,10.67578125,[17],33,2,44667,0
25,139.3,10.875,[16],33,2,46967,0
26,276.8,10.875,[16],33,2,48006,0
27,311.4,11.3125,[16],33,2,48813,0
28,331.2,11.3125,[16],33,2,49478,0
29,310.4,11.3125,[16],33,2,50299,0
